n_eval_from,n_eval_to,step_norm,frac_step_norm_in_scale_directions,frac_step_norm_in_relative_directions,Delta_dual_from,Delta_dual_to
2,3,0.04169903462380613,0.04984468464199833,0.9501553153580017,0.002072037813184022,0.0018363364707145214
3,11,0.03805829305588537,0.02492321512043922,0.9750767848795607,0.0018363364707145214,0.0018256257532333732
11,12,0.03827161671651033,0.055182007676764455,0.9448179923232356,0.0018256257532333732,0.0015243829855646177
12,13,0.10836473275827456,0.03749708213078386,0.9625029178692162,0.0015243829855646177,0.001246434932825106
13,19,0.03125111130524288,0.031880856362459915,0.96811914363754,0.001246434932825106,0.0012129133390230554
19,20,0.03125057613806232,0.044260728818326836,0.9557392711816731,0.0012129133390230554,0.0010354741622327012
20,21,0.09502737315682445,0.038491527476879915,0.9615084725231201,0.0010354741622327012,0.0008920176947340193
21,22,0.04586503569843372,0.037445539777929,0.962554460222071,0.0008920176947340193,0.0008128850292692588
22,23,0.08478530055385877,0.03969199306662198,0.960308006933378,0.0008128850292692588,0.0006989562472142177
23,29,0.02074954651266466,0.07629445746648482,0.9237055425335152,0.0006989562472142177,0.0006518022629321167
29,30,0.020752100660292094,0.063579469173643,0.936420530826357,0.0006518022629321167,0.0006065779243865962
30,31,0.09401804536427087,0.045654904845687516,0.9543450951543124,0.0006065779243865962,0.0005192160826970442
31,32,0.003359957059867786,0.05401504759082874,0.9459849524091712,0.0005192160826970442,0.0005115750108901723
32,33,0.06131971742379392,0.045815324831113974,0.954184675168886,0.0005115750108901723,0.0004632473343258539
33,34,0.08754325781107387,0.06151593317686157,0.9384840668231385,0.0004632473343258539,0.0004247670717012682
34,35,0.02374776446266077,0.06708710322274344,0.9329128967772565,0.0004247670717012682,0.0004115141614554267
35,36,0.052023755083131354,0.050576942323709226,0.9494230576762908,0.0004115141614554267,0.000381503902877614
36,37,0.0018879983869736518,0.05392286866136689,0.9460771313386331,0.000381503902877614,0.00037551232027358943
37,39,0.07657811017221564,0.04164523179024303,0.958354768209757,0.00037551232027358943,0.00034669441952840126
39,40,0.03399642826121328,0.040263892617142125,0.9597361073828579,0.00034669441952840126,0.00031857518454657456
40,44,0.029793187295026072,0.048225063461669174,0.9517749365383308,0.00031857518454657456,0.0003108226258592858
44,45,0.029710810050606357,0.03634792424532684,0.9636520757546732,0.0003108226258592858,0.00027309811525436003
45,46,0.05148278240218274,0.06103411540117157,0.9389658845988285,0.00027309811525436003,0.0002676802917896295
46,51,0.012996706205824392,0.043316639809832296,0.9566833601901678,0.0002676802917896295,0.0002493422715780028
51,52,0.025995415322200576,0.05351054950318645,0.9464894504968135,0.0002493422715780028,0.0002326808520595601
52,53,0.05210789183630453,0.0379182787487417,0.9620817212512583,0.0002326808520595601,0.0002245754058992174
53,54,0.015399515525063339,0.042379272206804174,0.9576207277931958,0.0002245754058992174,0.00021958549872771186
54,56,0.03448113387838907,0.053710268104966305,0.9462897318950337,0.00021958549872771186,0.00021431101577076256
56,57,0.02010013702980998,0.047489878764539896,0.9525101212354601,0.00021431101577076256,0.00020632495872215947
57,62,0.008831960494609077,0.02103796803075927,0.9789620319692407,0.00020632495872215947,0.00020041489937865808
62,63,0.01761387183232903,0.060768753760794665,0.9392312462392053,0.00020041489937865808,0.00018473446852332074
63,69,0.0038524497631535876,0.035250472435347666,0.9647495275646524,0.00018473446852332074,0.00018024781621292128
69,70,0.026930853745219235,0.033062588770024076,0.9669374112299759,0.00018024781621292128,0.000166633363922428
70,76,0.0059171996933025765,0.03590787184170792,0.964092128158292,0.000166633363922428,0.00016464922717080287
76,77,0.00589282795421257,0.03219813039795544,0.9678018696020445,0.00016464922717080287,0.00015764171821480434
77,78,0.04124167974888399,0.03287380429760323,0.9671261957023968,0.00015764171821480434,0.0001480567367289293
78,82,0.01035030996460832,0.03234190245898382,0.9676580975410162,0.0001480567367289293,0.00014370438007088818
82,83,0.010323717608580186,0.021318491778225535,0.9786815082217745,0.00014370438007088818,0.0001390034670340315
83,88,0.0029226221097797605,0.030348127560132988,0.9696518724398671,0.0001390034670340315,0.00013764321758934892
88,91,0.005092507596173716,0.03185346842842853,0.9681465315715715,0.00013764321758934892,0.00013529331231012945
91,92,0.010201155451190274,0.030753086803973432,0.9692469131960265,0.00013529331231012945,0.0001332576649505858
92,94,0.010177089758770097,0.03340606890944635,0.9665939310905537,0.0001332576649505858,0.00013157242747345075
94,95,0.020395566270665143,0.03218315051859509,0.9678168494814049,0.00013157242747345075,0.00012675636788165502
95,98,0.015632502994802712,0.030372441882617212,0.9696275581173828,0.00012675636788165502,0.00012516116390971186
98,101,0.007859099159635516,0.030074060009262372,0.9699259399907376,0.00012516116390971186,0.00012214620029713056
101,102,0.015679623604059563,0.0322394862847062,0.9677605137152938,0.00012214620029713056,0.00011604980940239767
102,106,0.013750736652339602,0.039912783930842556,0.9600872160691575,0.00011604980940239767,0.00011570815095242397
106,107,0.013669788884139724,0.026163674277857478,0.9738363257221425,0.00011570815095242397,0.00011164470391280015
107,112,0.0059868117595669465,0.03104206110789557,0.9689579388921045,0.00011164470391280015,0.00011097556577440373
112,113,0.0060481117475178715,0.047883462542809806,0.9521165374571902,0.00011097556577440373,0.00010788609113612045
113,118,0.0026176531281599303,0.03513447525925857,0.9648655247407414,0.00010788609113612045,0.00010699954937613165
118,119,0.005249649313638741,0.04104422707273982,0.9589557729272602,0.00010699954937613165,0.00010598012814885834
119,121,0.005235914520613255,0.021840590735827472,0.9781594092641726,0.00010598012814885834,0.00010424946923874619
121,122,0.03678220342829322,0.024777143705908635,0.9752228562940913,0.00010424946923874619,0.00010347937911353145
122,126,0.004599074132859434,0.027454736322161274,0.9725452636778388,0.00010347937911353145,0.00010158754854151632
126,127,0.00916324866265303,0.025978180039865337,0.9740218199601347,0.00010158754854151632,9.999902344190917e-5
127,130,0.00457914228268421,0.025606844407283016,0.974393155592717,9.999902344190917e-5,9.849742808384265e-5
130,131,0.009158248820546657,0.024287556410813718,0.9757124435891863,9.849742808384265e-5,9.810461522368202e-5
131,133,0.004584588184507158,0.052179578436850886,0.9478204215631492,9.810461522368202e-5,9.800685360220483e-5
133,134,0.004580584806326491,0.03032748899124717,0.9696725110087528,9.800685360220483e-5,9.679156133490989e-5
134,138,0.004013040798429944,0.04283837138771866,0.9571616286122814,9.679156133490989e-5,9.641424479452334e-5
138,139,0.008016209480793244,0.044364372619247326,0.9556356273807527,9.641424479452334e-5,9.619803989166829e-5
139,141,0.0040325570602782294,0.018374358037193388,0.9816256419628067,9.619803989166829e-5,9.412219116982927e-5
141,142,0.008016729119309665,0.035103323638028164,0.9648966763619719,9.412219116982927e-5,9.250120469544828e-5
