family,scale,point_label,objective_abs_diff,gradient_max_abs_diff,hessian_max_abs_diff,status_match,delta_star_abs_diff,dual_max_abs_diff
flexible_cm,D4,x=0,0.0,0.0,0.0,,,
flexible_cm,D4,random[1],0.0,0.0,0.0,,,
flexible_cm,D4,random[2],0.0,0.0,0.0,,,
flexible_cm,D4,random[3],0.0,0.0,0.0,,,
flexible_cm,D4,random[4],0.0,0.0,0.0,,,
flexible_cm,D4,real_solved_x_star,0.0,0.0,0.0,,,
flexible_cm,D4,full_inner_solve_serial,,,,true,0.0,0.0
flexible_cm,D4,full_inner_solve_threaded,,,,true,0.0,0.0
common_frechet,D4,x=0,0.0,0.0,0.0,,,
common_frechet,D4,random[1..4]_avg,0.0,0.0,0.0,,,
common_frechet,D4,real_solved_x_star,0.0,0.0,0.0,,,
common_frechet,D4,full_inner_solve,,,,true,0.0,0.0
cm_plus_zc,D4,x=0,0.0,0.0,0.0,,,
cm_plus_zc,D4,random[1..4]_avg,0.0,0.0,0.0,,,
cm_plus_zc,D4,real_solved_x_star,0.0,0.0,0.0,,,
cm_plus_zc,D4,full_inner_solve,,,,true,0.0,0.0
zc_only,D4,x=0,0.0,0.0,0.0,,,
zc_only,D4,random[1..4]_avg,0.0,0.0,0.0,,,
zc_only,D4,real_solved_x_star,0.0,0.0,0.0,,,
zc_only,D4,full_inner_solve,,,,true,0.0,0.0
unrestricted,D4,x=0,0.0,0.0,0.0,,,
unrestricted,D4,random[1..4]_avg,0.0,0.0,0.0,,,
unrestricted,D4,real_solved_x_star,0.0,0.0,0.0,,,
unrestricted,D4,full_inner_solve,,,,true,0.0,0.0
flexible_cm,D20_W100000,x=0,0.0,0.0,0.0,,,
flexible_cm,D20_W100000,random[1..2]_avg,0.0,0.0,0.0,,,
flexible_cm,D20_W100000,real_solved_x_star,0.0,0.0,0.0,,,
flexible_cm,D20_W100000,full_inner_solve,,,,true,0.0,0.0
common_frechet,D20_W100000,x=0,0.0,0.0,0.0,,,
common_frechet,D20_W100000,random[1..2]_avg,0.0,0.0,0.0,,,
common_frechet,D20_W100000,real_solved_x_star,0.0,0.0,0.0,,,
common_frechet,D20_W100000,full_inner_solve,,,,true,0.0,0.0
cm_plus_zc,D20_W100000,x=0,0.0,0.0,0.0,,,
cm_plus_zc,D20_W100000,random[1..2]_avg,0.0,0.0,0.0,,,
cm_plus_zc,D20_W100000,real_solved_x_star,0.0,0.0,0.0,,,
cm_plus_zc,D20_W100000,full_inner_solve,,,,true,0.0,0.0
zc_only,D20_W100000,x=0,0.0,0.0,0.0,,,
zc_only,D20_W100000,random[1..2]_avg,0.0,0.0,0.0,,,
zc_only,D20_W100000,real_solved_x_star,0.0,0.0,0.0,,,
zc_only,D20_W100000,full_inner_solve,,,,true,0.0,0.0
unrestricted,D20_W100000,x=0,0.0,0.0,0.0,,,
unrestricted,D20_W100000,random[1..2]_avg,0.0,0.0,0.0,,,
unrestricted,D20_W100000,real_solved_x_star,0.0,0.0,0.0,,,
unrestricted,D20_W100000,full_inner_solve,,,,true,0.0,0.0
