family,arm,W,ctx_setup_s,frozen_single_callback_s,mean_repeated_callback_s,bytes_per_callback,true_cold_inner_solve_s,hessian_callback_count_repeat,fg_time_s,verification_time_s,notes
unrestricted,baseline,100000,64.859,0.028961,0.029802,12034.16,2.195,100,not_separately_measured,not_separately_measured,"unaffected by this audit's 2 accepted fixes (no shared code path); n_fg=7 n_hess=6 at cold solve"
flexible_cm,baseline,100000,61.441,0.258233,0.253964,41621.68,14.830,100,not_separately_measured,not_separately_measured,"unaffected by this audit's 2 accepted fixes (ncore==NCORE always, never hits the widened-corner branch; no level blocks)"
common_frechet,baseline,100000,65.378,0.316962,0.290228,561683.76,15.491,100,not_separately_measured,not_separately_measured,"pre-fix; see 'accepted_fixes' arm for post-fix"
common_frechet,accepted_fixes,100000,67.58,not_remeasured_concurrent,41689.8_isolated_252.5ms,41689.8,15.4907,100,not_separately_measured,not_separately_measured,"post-fix: bytes/call -13.3x (561683.76->41689.8); isolated (non-concurrent) mean callback 259.7ms->252.5ms (-2.8%); cold_solve_s unchanged within noise (expected, dominated by O(W) KNITRO compute not allocation); nStatus=0 both arms"
origin_zc,baseline,100000,61.691,0.593615,0.583675,48094.64,15.321,100,not_separately_measured,not_separately_measured,"unaffected by this audit's 2 accepted fixes (no shared code path with cm_meanzc's widened corner or common_frechet's level blocks)"
cm_meanzc,baseline,100000,61.779,2.494249,1.435617,1996201.84,27.428,100,not_separately_measured,not_separately_measured,"pre-fix; see 'accepted_fixes' arm for post-fix"
cm_meanzc,accepted_fixes,100000,65.12,1.653458,1.208941,70807.0,27.5183,100,not_separately_measured,not_separately_measured,"post-fix: bytes/call -28.2x (1996201.84->70807.0); mean callback 1.436s->1.209s (-15.8%, measured under 5-way concurrent shared-host contention -- see correctness-gates doc's own caveat, not independently re-isolated); cold_solve_s unchanged within noise; nStatus=0 both arms"
unrestricted,combined_all_accepted,100000,same_as_baseline,same_as_baseline,same_as_baseline,same_as_baseline,same_as_baseline,,,,"combined = baseline for this family (0 of the 2 accepted fixes apply)"
flexible_cm,combined_all_accepted,100000,same_as_baseline,same_as_baseline,same_as_baseline,same_as_baseline,same_as_baseline,,,,"combined = baseline for this family (0 of the 2 accepted fixes apply)"
common_frechet,combined_all_accepted,100000,67.58,not_remeasured_concurrent,252.5ms_isolated,41689.8,15.4907,100,,,"only 1 fix applies to this family; combined == accepted_fixes row above"
origin_zc,combined_all_accepted,100000,same_as_baseline,same_as_baseline,same_as_baseline,same_as_baseline,same_as_baseline,,,,"combined = baseline for this family (0 of the 2 accepted fixes apply)"
cm_meanzc,combined_all_accepted,100000,65.12,1.653458,1.208941,70807.0,27.5183,100,,,"only 1 fix applies to this family; combined == accepted_fixes row above"
