family,W,arm,n_dual_dim,packed_hlen,bytes_single_call,bytes_per_call_mean_of_100,ratio_repeat_vs_single,t_single_s,t_mean_repeat_s,ctx_build_s,cold_solve_s,backend_summary,measurement_method
unrestricted,20000,baseline,382,73153,12784,11910.4,0.9316,0.007895,0.007114,51.859,1.753,"operator/exact_winner_pair_parallel",FROZEN_STATE_CALLBACK @allocated single + 100x repeat total/100 (JIT warm-up excluded)
unrestricted,100000,baseline,382,73153,11872,12034.16,1.0136,0.028961,0.029802,64.859,2.195,"operator/exact_winner_pair_parallel",FROZEN_STATE_CALLBACK @allocated single + 100x repeat total/100 (JIT warm-up excluded)
unrestricted,100000,post_fix_reverify,382,73153,11872,12034.16,1.0136,0.03927,,69.36,2.2822,"operator/exact_winner_pair_parallel (unaffected by fixes -- no shared code path)",FROZEN_STATE_CALLBACK re-run after commit 8f1151e; single-call bytes unchanged as expected
flexible_cm,20000,baseline,1332,887778,41456,41500.8,1.0011,0.087952,0.088433,48.372,13.777,"exact_winner_pair_parallel/winner_bin/cm_lookup",FROZEN_STATE_CALLBACK @allocated single + 100x repeat total/100 (JIT warm-up excluded)
flexible_cm,100000,baseline,1332,887778,41456,41621.68,1.0040,0.258233,0.253964,61.441,14.830,"exact_winner_pair_parallel/winner_bin/cm_lookup",FROZEN_STATE_CALLBACK @allocated single + 100x repeat total/100 (JIT warm-up excluded)
flexible_cm,100000,post_fix_reverify,1332,887778,,41631.6,,,0.225412,60.7,14.5124,"exact_winner_pair_parallel/winner_bin/cm_lookup (unaffected by fixes -- ncore==NCORE, never hits the widened-corner branch)",FROZEN_STATE_CALLBACK re-run after commit 8f1151e; bytes unchanged as expected (confirms fixes are correctly scoped, no regression)
common_frechet,20000,baseline,1382,955653,561504,561561.6,1.0001,0.090377,0.086828,48.639,12.547,"exact_winner_pair_parallel/winner_bin/cm_frechet_lookup",FROZEN_STATE_CALLBACK @allocated single + 100x repeat total/100 (JIT warm-up excluded)
common_frechet,100000,baseline,1382,955653,561504,561683.76,1.0003,0.316962,0.290228,65.378,15.491,"exact_winner_pair_parallel/winner_bin/cm_frechet_lookup",FROZEN_STATE_CALLBACK @allocated single + 100x repeat total/100 (JIT warm-up excluded)
common_frechet,20000,post_fix,1382,955653,42160,,,,,,"exact_winner_pair_parallel/winner_bin/cm_frechet_lookup",Profile.Allocs single-call post-fix (diag_allocation_stacktrace_2026-08-02.jl); packed Hessian verified bit-identical vs pre-fix (max|diff|=0.0)
common_frechet,100000,post_fix_reverify,1382,955653,,41689.8,,,0.311818,67.58,15.4907,"exact_winner_pair_parallel/winner_bin/cm_frechet_lookup",FROZEN_STATE_CALLBACK re-run after commit 8f1151e -- 13.3x reduction from 561683.76 to 41689.8 bytes/call, now at parity with flexible_cm
origin_zc,20000,baseline,1012,512578,47920,47958.4,1.0008,0.127502,0.128124,47.041,10.448,"exact_winner_pair_parallel/blas_syrk/drawmajor_v2",FROZEN_STATE_CALLBACK @allocated single + 100x repeat total/100 (JIT warm-up excluded)
origin_zc,100000,baseline,1012,512578,47952,48094.64,1.0030,0.593615,0.583675,61.691,15.321,"exact_winner_pair_parallel/blas_syrk/drawmajor_v2",FROZEN_STATE_CALLBACK @allocated single + 100x repeat total/100 (JIT warm-up excluded)
origin_zc,100000,post_fix_reverify,1012,512578,47920,48095.0,1.0037,0.679805,0.618762,68.96,17.1195,"exact_winner_pair_parallel/blas_syrk/drawmajor_v2 (unaffected by fixes -- no H_CZ block, no shared code path with cm_meanzc's widened corner)",FROZEN_STATE_CALLBACK re-run after commit 8f1151e; bytes unchanged as expected
cm_meanzc,20000,baseline,1962,1925703,1996064,1996076.8,1.0000,0.380788,0.370613,46.965,18.388,"exact_winner_pair_parallel/blas_syrk/draw_chunk_reordered/drawmajor_v2",FROZEN_STATE_CALLBACK @allocated single + 100x repeat total/100 (JIT warm-up excluded)
cm_meanzc,100000,baseline,1962,1925703,1996944,1996201.84,0.9996,2.494249,1.435617,61.779,27.428,"exact_winner_pair_parallel/blas_syrk/draw_chunk_reordered/drawmajor_v2",FROZEN_STATE_CALLBACK @allocated single + 100x repeat total/100 (JIT warm-up excluded)
cm_meanzc,20000,post_fix,1962,1925703,70392,,,,,,"exact_winner_pair_parallel/blas_syrk/draw_chunk_reordered/drawmajor_v2",Profile.Allocs single-call post-fix (diag_allocation_stacktrace_2026-08-02.jl); packed Hessian verified bit-identical vs pre-fix (max|diff|=0.0); 28.4x reduction from 1995792 to 70392 bytes
cm_meanzc,100000,post_fix_reverify,1962,1925703,71544,70807.0,0.9897,1.653458,1.208941,65.12,27.5183,"exact_winner_pair_parallel/blas_syrk/draw_chunk_reordered/drawmajor_v2",FROZEN_STATE_CALLBACK re-run after commit 8f1151e -- 28.2x reduction from 1996201.84 to 70807.0 bytes/call, confirmed at W=100000 production scale under real (heavy, ~50-60 load avg) shared-host contention
