test,pass,detail
invalid_mode_throws,true,mode=:bogus_mode
fixed_gp_ab_runs,true,n_eval=11 status=-400
fixed_gp_ab_manifest_excludes_gp,true,"gp_free=false n_free=11 names[1:2]=[""r_free_1"", ""r_free_2""]"
production_bound_search_runs,true,n_eval=10 status=-400
production_bound_search_manifest_includes_gp,true,gp_free=true n_free=12 (ab n_free=11)
ab_comparable_passes_with_allowed_gp_diff,true,"man_pb vs man_ab (concrete subsystems), allow_gp_free_diff=true"
ab_comparable_throws_on_unlabeled_gp_diff,true,default allow_gp_free_diff=false
ab_comparable_throws_on_unrecorded_placeholder_fields,true,both arms share :not_yet_wired subsystem fields
production_config_namespace_deterministic,true,cfg1=profiled_destination_scales__unrestricted__1ba976ed1b9966e8 cfg2=profiled_destination_scales__unrestricted__1ba976ed1b9966e8
production_config_invalid_parameterization_throws,true,economic_parameterization=:bogus_param
production_config_namespaces_differ_by_parameterization,true,full=full_gamma_normalized__unrestricted__1ba976ed1b9966e8 profiled=profiled_destination_scales__unrestricted__1ba976ed1b9966e8
checkpoint_compatible_positive,true,loaded_namespace == cfg1.checkpoint_namespace
checkpoint_compatible_negative_throws,true,loading a full-formulation namespace into a profiled cfg
