coord,fd_derivative_profiled,fd_derivative_reference_path,abs_diff,rel_diff
1,3.1633628843830075e15,644.4313952816206,3.163362884382363e15,4.908765940864742e12
2,0.011913365375545494,0.01191336537554529,2.0469737016526324e-16,1.7182161690889462e-14
3,-0.0052140599449444006,-0.005214059944944409,8.673617379884035e-18,1.6635054969580929e-15
4,-0.0021922556087462125,-0.002192255608746089,1.235990476633475e-16,5.6379852408744817e-14
5,0.006061199552884927,0.006061199552885102,1.7520707107365752e-16,2.890633603875652e-14
6,0.0008012784478980922,0.0008012784478981898,9.75781955236954e-17,1.2177813565265598e-13
7,0.005060020309580258,0.005060020309580203,5.551115123125783e-17,1.0970539214271105e-14
8,0.005766742531288953,0.005766742531288667,2.8622937353617317e-16,4.9634498502954814e-14
9,0.005589018603451418,0.005589018603451542,1.240327285323417e-16,2.2192219660128584e-14
10,0.0012700173058325629,0.0012700173058323677,1.951563910473908e-16,1.5366435571481095e-13
11,-0.004052224617441129,-0.004052224617441219,9.020562075079397e-17,2.226076520105502e-14
12,0.004907783114069817,0.004907783114069537,2.7929047963226594e-16,5.690766546541174e-14
