scale,label,wall_s,bytes_allocated,mib_allocated,dense_G_materialized,full_rebuild_per_coordinate,notes
D4_warm,unrestricted_pre_refactor_incremental,0.1499,28802960,27.47,false,false,"profiled_composite_gradient_at_incremental, unchanged code path, warm (post-compile) call"
D4_warm,unrestricted_post_refactor_shared_engine,0.0667,28860408,27.52,false,false,"shared_family_outer_gradient via UnrestrictedFamilyCtx; +57448 bytes (+0.05 MiB, ~0.2%) over pre-refactor for validate_family_layout_contract's structural checksum recompute -- not a per-coordinate or W-scale cost"
D4_warm,mock_flexible_CM_shared_engine,0.0676,29941536,28.55,false,false,"shared_family_outer_gradient via MockRestrictedFamilyCtx; +1138576 bytes (+1.09 MiB) over the real UnrestrictedFamilyCtx call, from mock_extended_beta/ev_with_beta test-harness allocations (vcat/merge of a 5-element synthetic restriction slice) -- not present in a real family adapter, not W-scale"
D4_cold_first_call_gp_D0.01_perturbation,unrestricted_pre_refactor_incremental,2.16677,,,false,false,"first (JIT-inclusive) call at calibration point, from PROFILED_UNRESTRICTED_SHARED_ENGINE_REGRESSION_2026-08-01_D4.csv"
D4_cold_first_call_gp_D0.01_perturbation,unrestricted_post_refactor_shared_engine,0.71671,,,false,false,"same point, from same CSV -- shared engine's own JIT warm-up is smaller since profiled_composite_gradient_from_cache's method body was already compiled by the pre-refactor call in the same test run"
D20_W20000_calibration,unrestricted_pre_refactor_incremental,8.573091983795166,,,false,false,"real D20 :exclude_row context, from PROFILED_UNRESTRICTED_SHARED_ENGINE_REGRESSION_2026-08-01_D20_W20000.csv"
D20_W20000_calibration,unrestricted_post_refactor_shared_engine,7.975133895874023,,,false,false,"same point, same CSV"
D20_W20000_small_perturbation,unrestricted_pre_refactor_incremental,6.555976867675781,,,false,false,"same CSV"
D20_W20000_small_perturbation,unrestricted_post_refactor_shared_engine,7.2935850620269775,,,false,false,"same CSV -- D20 wall-clock is dominated by KNITRO-external per-coordinate winner-update work common to both arms, not by the shared-engine refactor; treat D20 deltas as noise at this W, not a regression signal (D4 warm-call comparison above is the cleaner allocation-isolated signal)"
D4_mock_families_matched_bandwidth,flexible_CM,0.0777,,,false,false,"from PROFILED_RESTRICTION_MOCK_FAMILY_GATE_2026-08-01.csv, t_shared column"
D4_mock_families_matched_bandwidth,common_Frechet,0.0844,,,false,false,"same source"
D4_mock_families_matched_bandwidth,ZC_only,0.1232,,,false,false,"same source"
D4_mock_families_matched_bandwidth,CM_plus_ZC,0.0694,,,false,false,"same source"
all_scales,dense_economic_G_materialization_count,0,,,false,false,"grep-confirmed: neither profiled_shared_economic_gradient_engine_2026-08-01.jl nor profiled_restricted_full_rebuild_gradient_reference_2026-08-01.jl calls materialize_dense_factual_structured!/materialize_homogeneous_dense_G_reduced! or allocates a (W x n_reduced) dense matrix at any point"
all_scales,persistent_base_cache_reused_within_one_gradient_call,true,,,false,false,"build_price_winner_base_cache is called exactly once per build_shared_profiled_lfix_cache call (one time O(W*D*Ddest)); the coordinate loop in profiled_composite_gradient_from_cache only ever reads from the resulting ProfiledLFixCache, never rebuilds it"
