test,trial,metric,value,tolerance,pass
forward_vs_dense_reduced_G,1,max_abs_diff,8.881784197001252e-16,1e-8_relative,true
forward_vs_dense_reduced_G,2,max_abs_diff,1.3322676295501878e-15,1e-8_relative,true
forward_vs_dense_reduced_G,3,max_abs_diff,9.992007221626409e-16,1e-8_relative,true
transpose_vs_dense_reduced_G,1,max_abs_diff,1.1518563880486e-13,1e-8_relative,true
transpose_vs_dense_reduced_G,2,max_abs_diff,4.973799150320701e-14,1e-8_relative,true
transpose_vs_dense_reduced_G,3,max_abs_diff,1.127986593019159e-13,1e-8_relative,true
forward_exact_equivalence_to_full_kernel_zero_anchor,1,max_abs_diff,0.0,exact,true
forward_exact_equivalence_to_full_kernel_zero_anchor,2,max_abs_diff,0.0,exact,true
forward_exact_equivalence_to_full_kernel_zero_anchor,3,max_abs_diff,0.0,exact,true
transpose_exact_equivalence_to_full_kernel_zero_anchor_bilateral,1,max_abs_diff,0.0,exact,true
transpose_exact_equivalence_to_full_kernel_zero_anchor_bilateral,2,max_abs_diff,0.0,exact,true
transpose_exact_equivalence_to_full_kernel_zero_anchor_bilateral,3,max_abs_diff,0.0,exact,true
transpose_exact_equivalence_to_full_kernel_zero_anchor_france,1,max_abs_diff,0.0,exact,true
transpose_exact_equivalence_to_full_kernel_zero_anchor_france,2,max_abs_diff,0.0,exact,true
transpose_exact_equivalence_to_full_kernel_zero_anchor_france,3,max_abs_diff,0.0,exact,true
mutual_adjointness,1,abs_diff_dot_products,7.993605777301127e-15,1e-6_relative,true
