start_index,start_label,radius,candidate_index,checksum_w_hash,gp,family,ok,Delta_star,delta_budget,inner_status,verified_success,primal_dual_gap,mean_m_resid,max_abs_moment_kkt_resid,m_min,solve_wall_s,gradient_finite,gradient_norm,W,draw_design,draw_seed,start_seed
1,start1_calibration,0.0,1,c721262ca6eca80c,0.9748241960044154,unrestricted,true,6.412568677387287e-5,0.01,0,true,1.6019087098473328e-17,1.1102230246251565e-16,2.252837248306605e-12,0.4557654329982477,21.277,true,0.006859438378835621,500000,sobol_randomized,20260719,20260730
1,start1_calibration,0.0,1,c721262ca6eca80c,0.9748241960044154,flexible_cm,true,6.868796201012004e-5,0.01,0,true,8.632959798415829e-17,2.220446049250313e-16,7.912950242502857e-13,0.4155520630460022,23.04,true,0.008277405839253746,500000,sobol_randomized,20260719,20260730
1,start1_calibration,0.0,1,c721262ca6eca80c,0.9748241960044154,common_frechet,true,6.915235438327101e-5,0.01,0,true,8.443224418230866e-18,1.1102230246251565e-16,6.947956310490314e-13,0.4402836232680043,16.432,true,0.008623781392386887,500000,sobol_randomized,20260719,20260730
1,start1_calibration,0.0,1,c721262ca6eca80c,0.9748241960044154,cm_meanzc,true,9.783566784536098e-5,0.01,0,true,6.244462412430263e-16,0.0,5.403966019270244e-13,0.4122681097761745,68.463,true,0.011927926859158292,500000,sobol_randomized,20260719,20260730
1,start1_calibration,0.0,1,c721262ca6eca80c,0.9748241960044154,origin_zc,true,9.362342928635139e-5,0.01,0,true,3.1130154877490046e-17,0.0,2.701983009635122e-13,0.44769772882663783,46.028,true,0.009618703878341883,500000,sobol_randomized,20260719,20260730
2,start2_perturbation,0.01,2,d2fb08cd0277f5f6,0.9724400250740274,unrestricted,true,0.011842033287657339,0.01,0,true,3.2439329000766293e-16,2.220446049250313e-16,4.807457571587293e-12,0.010298676189524769,4.542,true,2.043638983382157,500000,sobol_randomized,20260719,20260730
2,start2_perturbation,0.01,2,d2fb08cd0277f5f6,0.9724400250740274,flexible_cm,true,0.1054464473413981,0.01,0,true,2.4452662117369073e-14,1.1102230246251565e-15,1.5439902912200696e-13,1.0293553900109027e-35,14.426,true,1.8133423158518345,500000,sobol_randomized,20260719,20260730
2,start2_perturbation,0.01,2,d2fb08cd0277f5f6,0.9724400250740274,common_frechet,true,0.15880871065595117,0.01,0,true,1.2490009027033011e-15,3.4416913763379853e-15,6.175961164880279e-13,6.36938169889169e-177,16.024,true,4.7047826031513225,500000,sobol_randomized,20260719,20260730
2,start2_perturbation,0.01,2,d2fb08cd0277f5f6,0.9724400250740274,cm_meanzc,true,0.11557389626830449,0.01,0,true,1.1007861289158427e-13,4.440892098500626e-16,4.4389720872577e-13,3.817857494154628e-48,84.069,true,12.71806936344428,500000,sobol_randomized,20260719,20260730
2,start2_perturbation,0.01,2,d2fb08cd0277f5f6,0.9724400250740274,origin_zc,true,0.020229862406478522,0.01,0,true,1.7263968032921184e-14,2.220446049250313e-16,2.5089842232326133e-13,0.000789475799604908,51.291,true,3.2255839377605207,500000,sobol_randomized,20260719,20260730
3,start4_perturbation,0.01,4,77967e5c5f739179,0.9733101261450909,unrestricted,true,0.00944307017230184,0.01,0,true,1.3341758253737623e-14,2.220446049250313e-16,3.620939537540835e-12,0.15282377266500372,4.899,true,0.6706692087008658,500000,sobol_randomized,20260719,20260730
3,start4_perturbation,0.01,4,77967e5c5f739179,0.9733101261450909,flexible_cm,true,0.06620883620020047,0.01,0,true,3.456956942926581e-14,1.5543122344752192e-15,5.162717536267109e-13,2.821503318114213e-8,11.983,true,1.1345042388713589,500000,sobol_randomized,20260719,20260730
3,start4_perturbation,0.01,4,77967e5c5f739179,0.9733101261450909,common_frechet,true,0.06829660072052733,0.01,0,true,9.466039063710241e-14,2.220446049250313e-16,6.947956310490314e-13,1.6821616468689225e-7,12.832,true,1.1520890521400815,500000,sobol_randomized,20260719,20260730
3,start4_perturbation,0.01,4,77967e5c5f739179,0.9733101261450909,cm_meanzc,true,0.06791706774161224,0.01,0,true,6.938893903907228e-15,2.220446049250313e-16,2.8949817960376305e-13,6.955745982155096e-8,84.375,true,1.6813978431186078,500000,sobol_randomized,20260719,20260730
3,start4_perturbation,0.01,4,77967e5c5f739179,0.9733101261450909,origin_zc,true,0.015184433103570786,0.01,0,true,1.5536183450848284e-14,1.1102230246251565e-16,2.412484830031359e-13,0.09342160292584471,50.037,true,0.4374812653935127,500000,sobol_randomized,20260719,20260730
