start,delta_nominal,category,checkpoint_dir,gp,kappa,delta_star,n_eval,inner_status,outer_knitro_status_code,outer_knitro_status_meaning
"s1_anchor (Phase 8 anchor)",1,"first-pass+push","delta_1_0",0.951763726799,0.079094114473,0.9999085629,1945,0,-401,"Time limit reached. Current point is feasible. (KNITRO's own wording, verbatim) -- ran out of the round's wall-clock budget while still feasible; NOT a stationarity claim."
"s2_calib",1,"multistart","delta_1_0_multistart_calib",0.951635872855,0.079300286401,0.9994662208,1863,0,-411,"Time limit reached. Current point is feasible. (same verbatim wording as -401.)"
"s4_D (new start)",1,"multistart","delta_1_0_multistart_D",0.951709652596,0.079181314527,0.9999729700,1441,0,-102,"Converged (feasible): the solution estimate could not be improved further; desired accuracy in dual feasibility could not be achieved (a numerical-precision limit, not a stall)."
"s5_E (new start)",1,"multistart","delta_1_0_multistart_E",0.951630678237,0.079308662635,0.9992612092,1509,0,-401,"Time limit reached. Current point is feasible. (KNITRO's own wording, verbatim) -- ran out of the round's wall-clock budget while still feasible; NOT a stationarity claim."
"s3_randjitter",1,"multistart","delta_1_0_multistart_randjitter_v2",0.952706532793,0.077573214869,0.9999991390,315,0,-103,"Converged (feasible): relative change in the objective value fell below ftol for several consecutive feasible iterations -- KNITRO declared this stationary by objective-value stall."
"s1_anchor (first-pass frontier)",2,"first-pass","delta_2_0",0.950359520471,0.081357466494,1.9985849142,25,0,-401,"Time limit reached. Current point is feasible. (KNITRO's own wording, verbatim) -- ran out of the round's wall-clock budget while still feasible; NOT a stationarity claim."
"s1_anchor",2,"cascade","delta_2_0_from_s1_anchor",0.947129688937,0.086554969943,1.9850085095,146,0,-401,"Time limit reached. Current point is feasible. (KNITRO's own wording, verbatim) -- ran out of the round's wall-clock budget while still feasible; NOT a stationarity claim."
"s2_calib",2,"cascade","delta_2_0_from_s2_calib",0.949085905067,0.083408400070,1.9701197627,5,0,-411,"Time limit reached. Current point is feasible. (same verbatim wording as -401.)"
"s3_randjitter",2,"cascade","delta_2_0_from_s3_randjitter",0.952704246917,0.077576903573,1.0002704495,21,0,-101,"Converged (feasible): relative change in the solution estimate fell below xtol for several consecutive iterations -- KNITRO declared this a stationary point by step-size stall, not by hitting KKT tolerance exactly."
"s4_D",2,"cascade","delta_2_0_from_s4_D",0.948970385242,0.083594333722,1.9185860271,11,0,-401,"Time limit reached. Current point is feasible. (KNITRO's own wording, verbatim) -- ran out of the round's wall-clock budget while still feasible; NOT a stationarity claim."
"s5_E",2,"cascade","delta_2_0_from_s5_E",0.949201276004,0.083222690999,1.8663525696,4,0,-411,"Time limit reached. Current point is feasible. (same verbatim wording as -401.)"
"s1_anchor (first-pass frontier)",5,"first-pass","delta_5_0",0.948042547022,0.085087178093,2.9048964978,6,-100,-401,"Time limit reached. Current point is feasible. (KNITRO's own wording, verbatim) -- ran out of the round's wall-clock budget while still feasible; NOT a stationarity claim."
"s1_anchor",5,"cascade+post-skipcold","delta_5_0_from_s1_anchor",0.946665363186,0.087301201320,2.8788408560,21,0,-401,"Time limit reached. Current point is feasible. (KNITRO's own wording, verbatim) -- ran out of the round's wall-clock budget while still feasible; NOT a stationarity claim."
"s2_calib",5,"cascade+post-skipcold","delta_5_0_from_s2_calib",0.948815162793,0.083844146534,2.8371114531,13,-100,-401,"Time limit reached. Current point is feasible. (KNITRO's own wording, verbatim) -- ran out of the round's wall-clock budget while still feasible; NOT a stationarity claim."
"s3_randjitter",5,"cascade (not pushed further, stuck basin)","delta_5_0_from_s3_randjitter",0.952704246917,0.077576903573,1.0002704495,12,0,-101,"Converged (feasible): relative change in the solution estimate fell below xtol for several consecutive iterations -- KNITRO declared this a stationary point by step-size stall, not by hitting KKT tolerance exactly."
"s4_D",5,"cascade+post-skipcold","delta_5_0_from_s4_D",0.948727917566,0.083984545807,2.5712773207,3,0,-401,"Time limit reached. Current point is feasible. (KNITRO's own wording, verbatim) -- ran out of the round's wall-clock budget while still feasible; NOT a stationarity claim."
"s5_E",5,"cascade+post-skipcold","delta_5_0_from_s5_E",0.948897044679,0.083712370380,2.8340584353,15,-100,-401,"Time limit reached. Current point is feasible. (KNITRO's own wording, verbatim) -- ran out of the round's wall-clock budget while still feasible; NOT a stationarity claim."
