family,point,nthreads,wall_s,knitro_status,n_eval,n_grad,kappa
origin_zc,calibration,1,101.21353793144226,-401,1,1,0.020293896607184836
origin_zc,non_calibration,1,74.4701669216156,-401,1,1,0.023676953971549564
origin_zc,solver_trajectory,1,200.46455597877502,-401,4,4,0.05838387926384725
cm_meanzc,calibration,1,81.51043105125427,-502,0,0,NaN
cm_meanzc,non_calibration,1,51.96021509170532,-502,0,0,NaN
cm_meanzc,solver_trajectory,1,51.75536608695984,-502,0,0,NaN
origin_zc,calibration,4,87.24408388137817,-401,1,1,0.020293896607184836
origin_zc,non_calibration,4,108.88612699508667,-401,3,2,0.03594176749091682
origin_zc,solver_trajectory,4,141.7189860343933,-401,4,4,0.05838387926385502
cm_meanzc,calibration,4,87.74928379058838,-502,0,0,NaN
cm_meanzc,non_calibration,4,52.28278207778931,-502,0,0,NaN
cm_meanzc,solver_trajectory,4,50.84949493408203,-502,0,0,NaN
origin_zc,calibration,8,84.86182284355164,-401,1,1,0.020293896607184836
origin_zc,non_calibration,8,98.1732771396637,-401,3,2,0.03594176749091227
origin_zc,solver_trajectory,8,158.8721239566803,-401,4,4,0.058383879263851246
cm_meanzc,calibration,8,74.70850396156311,-502,0,0,NaN
cm_meanzc,non_calibration,8,47.272711992263794,-502,0,0,NaN
cm_meanzc,solver_trajectory,8,49.19866394996643,-502,0,0,NaN
origin_zc,calibration,10,83.80836582183838,-401,1,1,0.020293896607184836
origin_zc,non_calibration,10,103.41937303543091,-401,3,2,0.03594176749091349
origin_zc,solver_trajectory,10,146.97432708740234,-401,4,4,0.05838387926384814
cm_meanzc,calibration,10,71.48856592178345,-502,0,0,NaN
cm_meanzc,non_calibration,10,49.65422201156616,-502,0,0,NaN
cm_meanzc,solver_trajectory,10,46.798136949539185,-502,0,0,NaN
origin_zc,calibration,20,83.26624298095703,-401,1,1,0.020293896607184836
origin_zc,non_calibration,20,100.64178490638733,-401,3,2,0.035941767490908605
origin_zc,solver_trajectory,20,136.48885798454285,-401,3,3,0.05287322210744161
cm_meanzc,calibration,20,78.9047338962555,-502,0,0,NaN
cm_meanzc,non_calibration,20,50.85941004753113,-502,0,0,NaN
cm_meanzc,solver_trajectory,20,48.47438406944275,-502,0,0,NaN
