family,column,production_backend,shared_function,default,reference_backend,d20_gate,calls_moments,reads_materializes_G,allocates_G_sized_storage
unrestricted,economic_moment_construction,build_economic_moment_state!/cf_build,shared,yes,:dense mode,pre-existing,no,no,no
unrestricted,outer_A_gradient,unchanged_out_of_scope,-,-,-,-,-,-,-
unrestricted,economic_FG,compressed_dual_index!/compressed_cc_value_grad!,dual_index!(CompressedCBState),yes,:dense,PASS,no,no,no
unrestricted,restriction_FG,n/a,-,-,-,-,-,-,-
unrestricted,H_EE,winner_pair_hessian!/hessian_core_winner_pair!,operator_prep_for_hessian!,yes,:dense_reference,PASS,no,no,no
unrestricted,H_ER,n/a,-,-,-,-,-,-,-
unrestricted,H_RR,n/a,-,-,-,-,-,-,-
flexible_cm,economic_moment_construction,wrap_moments_with_cm_archB,family-specific,yes,:dense_reference,PASS,yes_1_per_solve,economic_yes_CMgrid_no,yes
flexible_cm,outer_A_gradient,unchanged_out_of_scope,-,-,-,-,-,-,-
flexible_cm,economic_FG,CMLookupState_dual_index!,economic_forward!,yes,dense_gemv_fallback,PASS,no,no,no
flexible_cm,restriction_FG,CMLookupState_CM_bin_lookup,shared_bin_lookup_kernels,yes,dense_gemv_fallback,PASS,no,no,no
flexible_cm,H_EE,_fill_cm_HEE!_winner_pair,fill_core_hessian_upper!,yes,dense_else_branch_lazy_E,PASS,no,no,no
flexible_cm,H_ER,winner_pair_cross_hessian_fill!/_block!,shared,yes,dense_else_branch_lazy_E,PASS,no,no,no
flexible_cm,H_RR,build_bin_tables!_fill_S_false,shared,yes,n/a_always_structured,PASS,no,no,no
common_frechet,economic_moment_construction,wrap_moments_with_cm_frechet_archB,family-specific,yes,:dense_reference,PASS,yes_1_per_solve,economic_CMgrid_level_yes,yes
common_frechet,outer_A_gradient,unchanged_out_of_scope,-,-,-,-,-,-,-
common_frechet,economic_FG,CMFrechetLookupState_dual_index!,economic_forward!,yes,dense_gemv_fallback,PASS,no,no,no
common_frechet,restriction_FG,CM_bin_lookup_plus_level_anchor_forward,shared_plus_frechet_level_forward_sum!,yes,dense_gemv_fallback,PASS,no,no,no
common_frechet,H_EE,_fill_cm_HEE!_winner_pair,shared,yes,dense_else_branch_lazy_E,PASS,no,no,no
common_frechet,H_ER,winner_pair_cross_hessian_fill!_plus_esum_colsum,shared,yes,dense_else_branch_lazy_E_threaded_bins_fixed,PASS,no,no,no
common_frechet,H_RR,build_bin_tables!_fill_S_false,shared,yes,n/a,PASS,no,no,no
cm_plus_zc,economic_moment_construction,wrap_moments_with_cm_meanzc,family-specific,yes,:dense_reference,PASS,yes_1_per_solve,economic_CMgrid_meanpair_yes,yes
cm_plus_zc,outer_A_gradient,unchanged_out_of_scope,-,-,-,-,-,-,-
cm_plus_zc,economic_FG,CMMeanZCOperatorState_dual_index!,economic_forward!,yes,dense_gemv_fallback,PASS,no,no,no
cm_plus_zc,restriction_FG,restriction_forward!_ZC_plus_CM_bin_lookup,shared,yes,dense_gemv_fallback,PASS,no,no,no
cm_plus_zc,H_EE,_fill_cm_HEE!_winner_pair_widened,shared,yes,dense_else_branch_lazy_E,PASS,no,no,no
cm_plus_zc,H_ER,winner_pair_cross_hessian_zc_block!_sourced_from_hzz_centered,shared_with_originzc,yes,dense_else_branch,PASS,no,no_fixed_this_session,no
cm_plus_zc,H_RR,zc_restriction_gram!,shared_with_originzc,yes,dense_EMtEM_else_branch,PASS,no,no,no
zc_only,economic_moment_construction,wrap_moments_with_originzc,family-specific,yes,:dense_reference,PASS,yes_1_per_solve,economic_meanpair_yes,yes
zc_only,outer_A_gradient,unchanged_out_of_scope,-,-,-,-,-,-,-
zc_only,economic_FG,OriginZCOperatorState_dual_index!,economic_forward!,yes,dense_gemv_fallback,PASS,no,no,no
zc_only,restriction_FG,restriction_forward!_ZC,shared,yes,dense_gemv_fallback,PASS,no,no,no
zc_only,H_EE,fill_core_hessian_upper!,shared,yes,dense_else_branch,PASS,no,no,no
zc_only,H_ER,winner_pair_cross_hessian_zc_block!_sourced_from_hzz_centered,shared_with_cmpluszc,yes,dense_else_branch,PASS,no,no_fixed_this_session,no
zc_only,H_RR,zc_restriction_gram!,shared_with_cmpluszc,yes,dense_HCetatHCeta_else_branch,PASS,no,no,no
