family,L,contrasts,method,point,n_var,ferr_abs,frel,gerr_abs,grel,pass
flexible_cm,10,anchored,suffix,knitro_init,48,0.0,0.0,3.469446951953614e-18,3.469446951953614e-18,PASS
flexible_cm,10,anchored,suffix,solver_derived_calib,48,0.0,0.0,3.393257896888713e-16,3.393257896888713e-16,PASS
flexible_cm,10,anchored,suffix,random_1,48,3.469446951953614e-18,3.469446951953614e-18,4.202367620553815e-16,4.202367620553815e-16,PASS
flexible_cm,10,anchored,suffix,random_2,48,3.469446951953614e-18,3.469446951953614e-18,5.863365348801608e-16,5.863365348801608e-16,PASS
flexible_cm,10,anchored,suffix,random_3,48,0.0,0.0,2.3505503099485736e-16,2.3505503099485736e-16,PASS
flexible_cm,10,anchored,suffix,random_4,48,9.75781955236954e-19,9.75781955236954e-19,4.397524011601206e-16,4.397524011601206e-16,PASS
flexible_cm,10,anchored,suffix,random_5,48,3.469446951953614e-18,3.469446951953614e-18,4.0939474033052647e-16,4.0939474033052647e-16,PASS
flexible_cm,10,anchored,suffix,random_6,48,0.0,0.0,2.896988204881268e-16,2.896988204881268e-16,PASS
flexible_cm,10,orthonormal,suffix,knitro_init,48,0.0,0.0,2.3418766925686896e-17,2.3418766925686896e-17,PASS
flexible_cm,10,orthonormal,suffix,solver_derived_calib,48,8.673617379884035e-19,8.673617379884035e-19,2.5174249259259558e-16,2.5174249259259558e-16,PASS
flexible_cm,10,orthonormal,suffix,random_1,48,0.0,0.0,2.8362728832220796e-16,2.8362728832220796e-16,PASS
flexible_cm,10,orthonormal,suffix,random_2,48,0.0,0.0,2.931682674400804e-16,2.931682674400804e-16,PASS
flexible_cm,10,orthonormal,suffix,random_3,48,0.0,0.0,2.0767892613959837e-16,2.0767892613959837e-16,PASS
flexible_cm,10,orthonormal,suffix,random_4,48,1.0842021724855044e-19,1.0842021724855044e-19,2.723515857283587e-16,2.723515857283587e-16,PASS
flexible_cm,10,orthonormal,suffix,random_5,48,0.0,0.0,1.6653345369377348e-16,1.6653345369377348e-16,PASS
flexible_cm,10,orthonormal,suffix,random_6,48,0.0,0.0,2.1163626406917047e-16,2.1163626406917047e-16,PASS
flexible_cm,20,anchored,suffix,knitro_init,78,0.0,0.0,1.734723475976807e-18,1.734723475976807e-18,PASS
flexible_cm,20,anchored,suffix,solver_derived_calib,78,3.469446951953614e-18,3.469446951953614e-18,2.0308754677955676e-16,2.0308754677955676e-16,PASS
flexible_cm,20,anchored,suffix,random_1,78,0.0,0.0,2.636779683484747e-16,2.636779683484747e-16,PASS
flexible_cm,20,anchored,suffix,random_2,78,6.938893903907228e-18,6.938893903907228e-18,3.95516952522712e-16,3.95516952522712e-16,PASS
flexible_cm,20,anchored,suffix,random_3,78,0.0,0.0,2.2898349882893854e-16,2.2898349882893854e-16,PASS
flexible_cm,20,anchored,suffix,random_4,78,0.0,0.0,2.255140518769849e-16,2.255140518769849e-16,PASS
flexible_cm,20,anchored,suffix,random_5,78,6.938893903907228e-18,6.938893903907228e-18,2.3592239273284576e-16,2.3592239273284576e-16,PASS
flexible_cm,20,anchored,suffix,random_6,78,0.0,0.0,1.8041124150158794e-16,1.8041124150158794e-16,PASS
flexible_cm,20,orthonormal,suffix,knitro_init,78,0.0,0.0,2.7755575615628914e-17,2.7755575615628914e-17,PASS
flexible_cm,20,orthonormal,suffix,solver_derived_calib,78,1.734723475976807e-18,1.734723475976807e-18,1.2502961628986972e-16,1.2502961628986972e-16,PASS
flexible_cm,20,orthonormal,suffix,random_1,78,0.0,0.0,1.8214596497756474e-16,1.8214596497756474e-16,PASS
flexible_cm,20,orthonormal,suffix,random_2,78,3.469446951953614e-18,3.469446951953614e-18,1.9255430583342559e-16,1.9255430583342559e-16,PASS
flexible_cm,20,orthonormal,suffix,random_3,78,3.469446951953614e-18,3.469446951953614e-18,2.636779683484747e-16,2.636779683484747e-16,PASS
flexible_cm,20,orthonormal,suffix,random_4,78,0.0,0.0,3.673276960380889e-16,3.673276960380889e-16,PASS
flexible_cm,20,orthonormal,suffix,random_5,78,6.938893903907228e-18,6.938893903907228e-18,1.7564075194265172e-16,1.7564075194265172e-16,PASS
flexible_cm,20,orthonormal,suffix,random_6,78,0.0,0.0,2.47198095326695e-16,2.47198095326695e-16,PASS
flexible_cm,50,anchored,suffix,knitro_init,168,0.0,0.0,3.469446951953614e-18,3.469446951953614e-18,PASS
flexible_cm,50,anchored,suffix,solver_derived_calib,168,1.734723475976807e-18,1.734723475976807e-18,2.3306573684878096e-16,2.3306573684878096e-16,PASS
flexible_cm,50,anchored,suffix,random_1,168,0.0,0.0,3.694961003830599e-16,3.694961003830599e-16,PASS
flexible_cm,50,anchored,suffix,random_2,168,2.6020852139652106e-18,2.6020852139652106e-18,3.1051550219984847e-16,3.1051550219984847e-16,PASS
flexible_cm,50,anchored,suffix,random_3,168,5.204170427930421e-18,5.204170427930421e-18,3.191891195797325e-16,3.191891195797325e-16,PASS
flexible_cm,50,anchored,suffix,random_4,168,1.734723475976807e-18,1.734723475976807e-18,4.666406150377611e-16,4.666406150377611e-16,PASS
flexible_cm,50,anchored,suffix,random_5,168,6.938893903907228e-18,6.938893903907228e-18,6.418476861114186e-16,6.418476861114186e-16,PASS
flexible_cm,50,anchored,suffix,random_6,168,0.0,0.0,6.741569108514867e-16,6.741569108514867e-16,PASS
flexible_cm,50,orthonormal,suffix,knitro_init,168,0.0,0.0,2.688821387764051e-17,2.688821387764051e-17,PASS
