idx,t_elapsed,gp,Delta,feasible,verified
1,11.95033884048462,0.9840278851786317,0.0004779437524774336,true,true
2,50.976584911346436,0.965396504877754,0.5681043325830083,true,true
3,85.79641604423523,0.9662292220507225,0.4723114637097075,true,true
4,120.47626399993896,0.963304659691954,0.9634915583978715,true,true
5,154.92680597305298,0.9628973121461564,1.0856163045388882,false,true
6,189.02358293533325,0.9632721588749453,0.970131453473566,true,true
7,231.6959249973297,0.9540563991642785,6.496332185596327,false,true
8,233.6441638469696,0.9814542075777649,0.5238415012496758,true,true
9,236.4448640346527,0.9586642790196119,1.2624809854248997,false,true
10,238.91798782348633,0.9601094733318776,0.8100970942655484,true,true
11,273.61190581321716,0.9560502197168894,1.4688224265647243,false,true
12,276.0187339782715,0.9596695581480038,0.7433161642526381,true,true
13,310.65574383735657,0.9568924815653093,1.1686118543076094,false,true
14,313.089879989624,0.9591537086230358,0.7589387333541563,true,true
15,347.64206099510193,0.9567969976795045,1.1933561129885615,false,true
16,350.11360597610474,0.9590514479535969,0.7643400381360899,true,true
17,384.83439683914185,0.9569798156110636,1.339176642153771,false,true
18,387.4270210266113,0.9580156317823302,0.9776093080476165,true,true
19,421.9572579860687,0.9578560394906372,1.0118873692456387,false,true
20,424.6313648223877,0.9579534642213908,0.9843630177113067,true,true
