family,W,arm,wall_s,iters,nStatus,Delta_dual
cm_meanzc,100000,reference,24.01010489463806,7,0,0.002131412759485318
cm_meanzc,100000,hzz_only,21.261282920837402,7,0,0.002131412759485169
cm_meanzc,100000,hcz_only,19.318551778793335,7,0,0.002131412759485318
cm_meanzc,100000,hez_only,21.32366919517517,7,0,0.0021314127594851896
cm_meanzc,100000,all_optimized,15.207046031951904,7,0,0.002131412759485009
origin_zc,100000,reference,19.046306133270264,9,0,0.002072976384978871
origin_zc,100000,hzz_only,13.76068115234375,8,0,0.002072976384979298
origin_zc,100000,hez_only,16.214354991912842,9,0,0.0020729763849791573
origin_zc,100000,all_optimized,11.134552001953125,8,0,0.0020729763849790164
cm_meanzc,500000,reference,106.33850908279419,7,0,0.0002125547897855846
cm_meanzc,500000,hzz_only,92.19209003448486,7,0,0.00021255478978564598
cm_meanzc,500000,hcz_only,92.7651481628418,7,0,0.0002125547897855846
cm_meanzc,500000,hez_only,107.3309268951416,8,0,0.00021255478978562847
cm_meanzc,500000,all_optimized,77.05835390090942,7,0,0.00021255478978563053
origin_zc,500000,reference,87.29663300514221,8,0,0.00020821510821346733
origin_zc,500000,hzz_only,69.62190794944763,8,0,0.00020821510821348582
origin_zc,500000,hez_only,79.42253184318542,8,0,0.00020821510821345261
origin_zc,500000,all_optimized,61.33481693267822,8,0,0.00020821510821350663
