cdf_col,pow_col,quantile_index_l,quantile_prob,z_cutoff,origin_position,origin_index,ref_index1
1,31,1,0.1,0.10536051565782628,1,2,1
2,32,1,0.1,0.10536051565782628,2,3,1
3,33,1,0.1,0.10536051565782628,3,4,1
4,34,2,0.18888888888888888,0.20935022918187393,1,2,1
5,35,2,0.18888888888888888,0.20935022918187393,2,3,1
6,36,2,0.18888888888888888,0.20935022918187393,3,4,1
7,37,3,0.2777777777777778,0.325422400434628,1,2,1
8,38,3,0.2777777777777778,0.325422400434628,2,3,1
9,39,3,0.2777777777777778,0.325422400434628,3,4,1
10,40,4,0.36666666666666664,0.456758402495715,1,2,1
11,41,4,0.36666666666666664,0.456758402495715,2,3,1
12,42,4,0.36666666666666664,0.456758402495715,3,4,1
13,43,5,0.45555555555555555,0.6079893722196383,1,2,1
14,44,5,0.45555555555555555,0.6079893722196383,2,3,1
15,45,5,0.45555555555555555,0.6079893722196383,3,4,1
16,46,6,0.5444444444444444,0.7862376036259572,1,2,1
17,47,6,0.5444444444444444,0.7862376036259572,2,3,1
18,48,6,0.5444444444444444,0.7862376036259572,3,4,1
19,49,7,0.6333333333333333,1.0033021088637848,1,2,1
20,50,7,0.6333333333333333,1.0033021088637848,2,3,1
21,51,7,0.6333333333333333,1.0033021088637848,3,4,1
22,52,8,0.7222222222222222,1.2809338454620642,1,2,1
23,53,8,0.7222222222222222,1.2809338454620642,2,3,1
24,54,8,0.7222222222222222,1.2809338454620642,3,4,1
25,55,9,0.8111111111111111,1.666596326274049,1,2,1
26,56,9,0.8111111111111111,1.666596326274049,2,3,1
27,57,9,0.8111111111111111,1.666596326274049,3,4,1
28,58,10,0.9,2.302585092994046,1,2,1
29,59,10,0.9,2.302585092994046,2,3,1
30,60,10,0.9,2.302585092994046,3,4,1
