j,beta_j,s_c_j,s_p_j,s_r_j,paired_corr,residual_to_original_rms_ratio,degenerate
1,-1.1017943191488737,0.4252940159466155,0.5799452339759424,0.34170621536978807,-0.8079841048533032,0.5892042823201524,false
2,-1.0913646795595648,0.4232316150761897,0.5727099314234028,0.33859270861108015,-0.8065165463764614,0.5912115191883404,false
3,-1.1048208549171503,0.41982139059366663,0.5758782969349948,0.3413208611020561,-0.805426129334682,0.5926961702128262,false
4,-1.0394227328676813,0.5565518843737752,0.6306820648601393,0.2512092462151672,-0.9172492970237456,0.3983136039723527,false
5,-1.0382363671061452,0.5515886148208645,0.6255712764420015,0.25174942504467157,-0.9154502151152073,0.4024312408915597,false
6,-1.0440170380518485,0.552268050859363,0.6295211890212147,0.2526966498100135,-0.9158980900473381,0.40141087260765373,false
7,-1.0020772888287222,0.6354132513569417,0.6670867006904578,0.19893595269735165,-0.9544983996031798,0.29821603772260197,false
8,-0.9965073217813919,0.6271961415697644,0.6557966697650812,0.19858836310333702,-0.9530477602016452,0.3028200237346053,false
9,-1.0017455117165874,0.6327519261132281,0.6638668004800099,0.19734535820609686,-0.9547945484781601,0.29726649692891105,false
10,-0.9631657020510394,0.6827334765484991,0.6760568338360896,0.15695284170156124,-0.9726777917801714,0.23215924142202302,false
11,-0.9591744318164268,0.6786935980249114,0.6693978478590241,0.1559208044969265,-0.9724942324584362,0.23292695815443312,false
12,-0.9627057599660386,0.6783251432757008,0.6713719465892363,0.15586964247236873,-0.9726762130572691,0.2321658556992612,false
13,-0.9299620045930992,0.7059567975450056,0.6682826833167972,0.12486964198282707,-0.9823881644556398,0.18685153019838618,false
14,-0.9287479279036207,0.7048049375536468,0.6664554006115103,0.1252190302261048,-0.9821904432443201,0.18788808690155306,false
15,-0.930143071083106,0.7034735247328076,0.6660255759201957,0.12426173130886889,-0.982441288109083,0.18657201134834217,false
16,-0.8981429331937892,0.709401155905458,0.6445782388793408,0.09761708071014848,-0.9884659402770501,0.15144333894961276,false
17,-0.8972764739637992,0.7079901129253148,0.6428426169175436,0.09842618260671536,-0.9882090194532679,0.15311085484449194,false
18,-0.8975018936033669,0.7003570517957252,0.6361386424155441,0.09782581218258476,-0.9881050108798977,0.15378064726758436,false
19,-0.8669366977751378,0.6862033226384145,0.5996543437650786,0.0754019782695992,-0.9920629254434806,0.12574240319209423,false
20,-0.8644288166157642,0.6809001395212076,0.5934656829245583,0.07591890210755782,-0.9917838870468406,0.12792467078034683,false
21,-0.8647975025304129,0.6761101981186203,0.5895111581004221,0.07517429061783916,-0.9918360369164094,0.12751970778648666,false
22,-0.8332029909789516,0.6369850861676434,0.5336113040838134,0.055302148570431954,-0.9946151345408969,0.10363751319958121,false
23,-0.8315691144710453,0.63727937358744,0.5328528298822351,0.05562175747647918,-0.994536980280074,0.1043848401607852,false
24,-0.8318490551650409,0.6325543454913578,0.5290661887522046,0.055094421159246815,-0.9945631488539044,0.10413521470571813,false
25,-0.7970953679115321,0.557897840110535,0.44630403624641707,0.037830854717335355,-0.9964009912615394,0.08476476044336706,false
26,-0.7959281339594811,0.557897840110535,0.4457135294465545,0.038512063901076206,-0.9962600582723586,0.08640541818171169,false
27,-0.7959231911148839,0.5544141051596722,0.44288408982885025,0.03776483743894101,-0.9963578595661798,0.08527025085397624,false
28,-0.7513719392780139,0.4263214749458441,0.3210530870556267,0.02159496861007171,-0.9977352852253417,0.06726292155642813,false
29,-0.7505274158772245,0.4312771730569565,0.32444286467815503,0.022157880577022074,-0.9976651591409341,0.06829516993385733,false
30,-0.7515001883634913,0.43171170936169895,0.3251577986793297,0.021721894105800582,-0.9977661068618424,0.06680416153026886,false
