base_point,delta_frontier,class,coord,h_prod,step_scale,h_actual,flips_at_hprod,true_secant,fixed_dual_secant_ref,fixed_dual_secant_C,sign_convention,C_vs_ref_absdiff,C_vs_ref_sign_agree,ref_vs_true_abserr,ref_vs_true_relerr_excl_nearzero,ref_vs_true_sign_agree,C_err_le_ref_err_vs_true
baseA,1.0,optimizer,23,0.08,0.5,0.04,477,1.5666978119546398,1.5639420086296527,1.5639420086294347,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,2.1804780203638074e-13,1,0.0027558033249870384,0.0017589884302888312,1,1
baseA,1.0,optimizer,23,0.08,1.0,0.08,963,1.5915639996765971,1.5768423655251704,1.5768423655252668,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,9.636735853746359e-14,1,0.014721634151426688,0.009249790868867415,1,1
baseA,1.0,optimizer,23,0.08,2.0,0.16,1837,1.6894580461567796,1.6119694133910165,1.6119694133910893,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,7.283063041541027e-14,1,0.07748863276576312,0.045865970416984404,1,1
baseA,1.0,random_tangent,46,0.1,0.5,0.05,5,0.0028636138975823844,0.002863859851035544,0.002863859851036654,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,1.1102230246251565e-15,1,2.459534531595864e-07,8.588918127797655e-05,1,1
baseA,1.0,random_tangent,46,0.1,1.0,0.1,13,0.0036147089429383605,0.005286312087346978,0.005286312087346423,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,5.551115123125783e-16,1,0.0016716031444086177,0.46244474196857144,1,1
baseA,1.0,random_tangent,46,0.1,2.0,0.2,25,0.006183982228151752,0.007547414328884783,0.007547414328884783,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,0.0013634321007330308,0.22047801084003582,1,1
baseA,1.0,random_tangent,342,0.1,0.5,0.05,26,-0.00031403851748934564,-0.00030259012109734584,-0.00030259012109734584,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,1.1448396391999793e-05,,1,1
baseA,1.0,random_tangent,342,0.1,1.0,0.1,54,-0.0006234367134083652,-0.0005087513435625413,-0.0005087513435625413,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,0.00011468536984582389,,1,1
baseA,1.0,random_tangent,342,0.1,2.0,0.2,107,-0.00031574112870552673,-0.00037225298717441513,-0.0003722529871746927,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,2.7755575615628914e-16,1,5.65118584688884e-05,,1,1
baseA,1.0,random_tangent,82,0.1,0.5,0.05,0,0.00010415887220949216,0.00010649013596264467,0.00010649013596264467,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,2.3312637531525127e-06,,1,1
baseA,1.0,random_tangent,82,0.1,1.0,0.1,3,-0.000492385640346038,0.00011825301874102134,0.00011825301874046623,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,5.551115123125783e-16,1,0.0006106386590870594,,0,1
baseA,1.0,random_tangent,82,0.1,2.0,0.2,8,-0.00018340247276121824,0.00014479990835869483,0.00014479990835897238,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,2.7755575615628914e-16,1,0.00032820238111991307,,0,1
baseA,1.0,random_tangent,400,0.08,0.5,0.04,406,0.08874288610545428,0.08832465525095562,0.08832465525095562,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,0.00041823085449865793,0.004712838097260765,1,1
baseA,1.0,random_tangent,400,0.08,1.0,0.08,753,0.092332824958552,0.09240385594211573,0.09240385594211503,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,6.938893903907228e-16,1,7.103098356373017e-05,0.0007692928662760597,1,1
baseA,1.0,random_tangent,400,0.08,2.0,0.16,1463,0.09434836071402497,0.09696692179830858,0.09696692179830754,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,1.0408340855860843e-15,1,0.0026185610842836132,0.0277541768025055,1,1
