delta,idx,t_cplus,t_buffered,max_absdiff
0.1,1.0,4.815304976,19.798185348,9.97465998686664e-16
0.1,2.0,3.817960086,15.831024148,1.880440247958859e-13
0.1,3.0,3.730720334,16.159146247,8.326672684688674e-15
0.1,4.0,3.751079033,15.301225318,1.8041124150158794e-14
0.1,5.0,3.805445273,15.0535602,2.6367796834847468e-14
0.1,6.0,3.871325889,14.949965618,4.232725281383409e-14
1.0,1.0,3.574869371,14.979231828,9.54097911787244e-16
1.0,2.0,3.703688189,14.589727341,1.3322676295501878e-13
1.0,3.0,3.890817015,14.799009725,2.7478019859472624e-13
1.0,4.0,3.653729073,14.017969158,3.858025010572419e-13
1.0,5.0,3.866404551,15.228746838,1.3322676295501878e-13
1.0,6.0,3.775515672,14.906807099,1.2212453270876722e-13
1.0,7.0,3.829037555,15.649891385,9.381384558082573e-13
