base_point,delta_frontier,class,coord,h_prod,step_scale,h_actual,sign,flips_at_hprod,plus_status,minus_status,feas_class,true_secant,fixed_dual_secant_ref,fixed_dual_secant_C,C_vs_ref_absdiff,C_vs_true_abserr,ref_vs_true_abserr,plus_iters,minus_iters,plus_wall,minus_wall
baseA,1.0,optimizer,23,0.08,0.5,0.04,both,477,0,0,VerifiedSolved/VerifiedSolved,1.5666978119546398,1.5639420086296527,1.5639420086294347,2.1804780203638074e-13,0.002755803325205086,0.0027558033249870384,473,484,13.066905975341797,13.461918115615845
baseA,1.0,optimizer,23,0.08,1.0,0.08,both,963,0,0,VerifiedSolved/VerifiedSolved,1.5915639996765971,1.5768423655251704,1.5768423655252668,9.636735853746359e-14,0.01472163415133032,0.014721634151426688,497,508,14.716790199279785,12.927796840667725
baseA,1.0,optimizer,23,0.08,2.0,0.16,both,1837,0,0,VerifiedSolved/VerifiedSolved,1.6894580461567796,1.6119694133910165,1.6119694133910893,7.283063041541027e-14,0.07748863276569029,0.07748863276576312,523,533,16.072407960891724,12.999456882476807
baseA,1.0,random_tangent,46,0.1,0.5,0.05,both,5,0,0,VerifiedSolved/VerifiedSolved,0.0028636138975823844,0.002863859851035544,0.002863859851036654,1.1102230246251565e-15,2.459534542698094e-7,2.459534531595864e-7,545,557,13.3770170211792,14.056926965713501
baseA,1.0,random_tangent,46,0.1,1.0,0.1,both,13,0,0,VerifiedSolved/VerifiedSolved,0.0036147089429383605,0.005286312087346978,0.005286312087346423,5.551115123125783e-16,0.0016716031444080626,0.0016716031444086177,569,581,14.481419086456299,13.508713006973267
baseA,1.0,random_tangent,46,0.1,2.0,0.2,both,25,0,0,VerifiedSolved/VerifiedSolved,0.006183982228151752,0.007547414328884783,0.007547414328884783,0.0,0.0013634321007330308,0.0013634321007330308,593,605,13.67386794090271,13.729933023452759
baseA,1.0,random_tangent,342,0.1,0.5,0.05,both,26,0,0,VerifiedSolved/VerifiedSolved,-0.00031403851748934564,-0.00030259012109734584,-0.00030259012109734584,0.0,1.1448396391999793e-5,1.1448396391999793e-5,617,629,13.271542072296143,14.016788005828857
baseA,1.0,random_tangent,342,0.1,1.0,0.1,both,54,0,0,VerifiedSolved/VerifiedSolved,-0.0006234367134083652,-0.0005087513435625413,-0.0005087513435625413,0.0,0.00011468536984582389,0.00011468536984582389,641,653,14.146503925323486,13.486815929412842
baseA,1.0,random_tangent,342,0.1,2.0,0.2,both,107,0,0,VerifiedSolved/VerifiedSolved,-0.00031574112870552673,-0.00037225298717441513,-0.0003722529871746927,2.7755575615628914e-16,5.6511858469165954e-5,5.65118584688884e-5,665,677,14.288184881210327,13.820387125015259
baseA,1.0,random_tangent,82,0.1,0.5,0.05,both,0,0,0,VerifiedSolved/VerifiedSolved,0.00010415887220949216,0.00010649013596264467,0.00010649013596264467,0.0,2.3312637531525127e-6,2.3312637531525127e-6,689,701,13.482503175735474,13.450423955917358
baseA,1.0,random_tangent,82,0.1,1.0,0.1,both,3,0,0,VerifiedSolved/VerifiedSolved,-0.000492385640346038,0.00011825301874102134,0.00011825301874046623,5.551115123125783e-16,0.0006106386590865043,0.0006106386590870594,713,725,13.808770895004272,13.358443021774292
baseA,1.0,random_tangent,82,0.1,2.0,0.2,both,8,0,0,VerifiedSolved/VerifiedSolved,-0.00018340247276121824,0.00014479990835869483,0.00014479990835897238,2.7755575615628914e-16,0.0003282023811201906,0.00032820238111991307,737,749,14.005292177200317,13.949345827102661
baseA,1.0,random_tangent,400,0.08,0.5,0.04,both,406,0,0,VerifiedSolved/VerifiedSolved,0.08874288610545428,0.08832465525095562,0.08832465525095562,0.0,0.00041823085449865793,0.00041823085449865793,761,773,13.183854818344116,14.23101806640625
baseA,1.0,random_tangent,400,0.08,1.0,0.08,both,753,0,0,VerifiedSolved/VerifiedSolved,0.092332824958552,0.09240385594211573,0.09240385594211503,6.938893903907228e-16,7.103098356303628e-5,7.103098356373017e-5,785,797,14.189413070678711,13.243844985961914
baseA,1.0,random_tangent,400,0.08,2.0,0.16,both,1463,0,0,VerifiedSolved/VerifiedSolved,0.09434836071402497,0.09696692179830858,0.09696692179830754,1.0408340855860843e-15,0.0026185610842825724,0.0026185610842836132,809,821,13.833930969238281,13.866041898727417
baseA,1.0,high_switch,233,0.08,0.5,0.04,both,380,0,0,VerifiedSolved/VerifiedSolved,0.08962617419406155,0.09776599869893848,0.09776599869893432,4.163336342344337e-15,0.008139824504872772,0.008139824504876936,833,845,13.61949896812439,14.209104061126709
baseA,1.0,high_switch,233,0.08,1.0,0.08,both,752,0,0,VerifiedSolved/VerifiedSolved,0.09262885620476002,0.09817881972305209,0.09817881972304932,2.7755575615628914e-15,0.0055499635182892915,0.005549963518292067,857,868,13.914578914642334,12.927332162857056
baseA,1.0,high_switch,233,0.08,2.0,0.16,both,1447,0,0,VerifiedSolved/VerifiedSolved,0.09727260032876377,0.09976854203980132,0.09976854203979889,2.42861286636753e-15,0.002495941711035121,0.00249594171103755,880,891,13.574548959732056,13.56977915763855
baseA,1.0,high_switch,241,0.1,0.5,0.05,both,235,0,0,VerifiedSolved/VerifiedSolved,-0.009615513255633035,-0.17150113554969093,-0.17150113554969093,0.0,0.1618856222940579,0.1618856222940579,903,915,12.919407844543457,13.834312200546265
baseA,1.0,high_switch,241,0.1,1.0,0.1,both,421,0,0,VerifiedSolved/VerifiedSolved,-0.0014159542727154584,-0.08053278778299144,-0.080532787782992,5.551115123125783e-16,0.07911683351027654,0.07911683351027599,927,939,14.877511978149414,13.788058996200562
baseA,1.0,high_switch,241,0.1,2.0,0.2,both,940,0,0,VerifiedSolved/VerifiedSolved,0.005774502702050599,-0.034295147692310346,-0.034295147692310346,0.0,0.040069650394360945,0.040069650394360945,951,963,14.65068793296814,14.11871600151062
baseA,1.0,high_switch,247,0.1,0.5,0.05,both,82,0,0,VerifiedSolved/VerifiedSolved,0.0013496827300396586,0.0014305891489962974,0.0014305891489962974,0.0,8.090641895663886e-5,8.090641895663886e-5,975,987,13.901331901550293,14.047293901443481
baseA,1.0,high_switch,247,0.1,1.0,0.1,both,170,0,0,VerifiedSolved/VerifiedSolved,-0.0030673333948488812,-0.0014927603844822057,-0.0014927603844827608,5.551115123125783e-16,0.0015745730103661204,0.0015745730103666755,999,1011,14.133984088897705,13.817423820495605
baseA,1.0,high_switch,247,0.1,2.0,0.2,both,370,0,0,VerifiedSolved/VerifiedSolved,-0.004903107343961766,-0.0022838208717773645,-0.0022838208717768094,5.551115123125783e-16,0.0026192864721849562,0.002619286472184401,1023,1035,13.977139949798584,14.427158117294312
baseA,1.0,high_switch,123,0.1,0.5,0.05,both,49,0,0,VerifiedSolved/VerifiedSolved,0.0007780824777869899,0.0006765676070108473,0.0006765676070119575,1.1102230246251565e-15,0.0001015148707750324,0.00010151487077614263,1047,1059,13.682326078414917,14.06485390663147
baseA,1.0,high_switch,123,0.1,1.0,0.1,both,102,0,0,VerifiedSolved/VerifiedSolved,0.000859661862863681,0.0006191935346377964,0.0006191935346372412,5.551115123125783e-16,0.0002404683282264397,0.0002404683282258846,1071,1083,13.790985107421875,13.394893884658813
baseA,1.0,high_switch,123,0.1,2.0,0.2,both,208,0,0,VerifiedSolved/VerifiedSolved,0.0008675417487538639,0.0007265103884321333,0.0007265103884321333,0.0,0.00014103136032173058,0.00014103136032173058,1095,1107,14.285028219223022,14.265416860580444
baseB,2.0,optimizer,128,0.04,0.5,0.02,both,336,0,0,VerifiedSolved/VerifiedSolved,-0.646395279692169,-0.6471309132886821,-0.6471309132886655,1.6653345369377348e-14,0.0007356335964964211,0.0007356335965130745,1116,1125,11.836265087127686,12.498167037963867
baseB,2.0,optimizer,128,0.04,1.0,0.04,both,627,0,0,VerifiedSolved/VerifiedSolved,-0.6430033429876386,-0.6432946905569905,-0.6432946905569809,9.658940314238862e-15,0.0002913475693422374,0.0002913475693518963,1134,1143,11.981597900390625,12.097568988800049
baseB,2.0,optimizer,128,0.04,2.0,0.08,both,1176,0,0,VerifiedSolved/VerifiedSolved,-0.6392423394405017,-0.6397807657055242,-0.6397807657055277,3.4416913763379853e-15,0.0005384262650259819,0.0005384262650225402,1152,1161,11.990174055099487,12.842145919799805
baseB,2.0,random_tangent,13,0.1,0.5,0.05,both,9,0,0,VerifiedSolved/VerifiedSolved,0.0032381467657083274,0.004693071750523359,0.004693071750523359,0.0,0.0014549249848150314,0.0014549249848150314,1170,1179,12.372526168823242,12.122874975204468
baseB,2.0,random_tangent,13,0.1,1.0,0.1,both,19,0,0,VerifiedSolved/VerifiedSolved,0.0025800584714330554,0.003336801900478692,0.003336801900478137,5.551115123125783e-16,0.0007567434290450814,0.0007567434290456365,1188,1197,12.61741590499878,11.772449970245361
baseB,2.0,random_tangent,13,0.1,2.0,0.2,both,35,0,0,VerifiedSolved/VerifiedSolved,0.002075960682340894,0.002700384704644454,0.002700384704644454,0.0,0.0006244240223035602,0.0006244240223035602,1206,1215,12.059484004974365,12.036137104034424
baseB,2.0,random_tangent,212,0.08,0.5,0.04,both,338,0,0,VerifiedSolved/VerifiedSolved,0.1630459125235184,0.16376463731194862,0.16376463731195418,5.551115123125783e-15,0.000718724788435765,0.0007187247884302139,1224,1233,11.792686939239502,12.397755146026611
baseB,2.0,random_tangent,212,0.08,1.0,0.08,both,671,0,0,VerifiedSolved/VerifiedSolved,0.15624777772341308,0.15765199029594557,0.1576519902959428,2.7755575615628914e-15,0.001404212572529706,0.0014042125725324817,1242,1251,12.445518016815186,11.705581903457642
baseB,2.0,random_tangent,212,0.08,2.0,0.16,both,1323,0,0,VerifiedSolved/VerifiedSolved,0.16257115341574943,0.16016406498895983,0.1601640649889612,1.3877787807814457e-15,0.0024070884267882176,0.0024070884267896053,1260,1269,12.637051820755005,12.190675020217896
baseB,2.0,random_tangent,196,0.1,0.5,0.05,both,0,0,0,VerifiedSolved/VerifiedSolved,-6.159412113015961e-5,-6.172388778535876e-5,-6.172388778535876e-5,0.0,1.2976665519914832e-7,1.2976665519914832e-7,1278,1287,11.200518131256104,12.417593955993652
baseB,2.0,random_tangent,196,0.1,1.0,0.1,both,2,0,0,VerifiedSolved/VerifiedSolved,-0.0002949164555426931,-0.0002659912709856993,-0.0002659912709856993,0.0,2.8925184556993777e-5,2.8925184556993777e-5,1296,1305,12.974242925643921,12.019840002059937
baseB,2.0,random_tangent,196,0.1,2.0,0.2,both,5,0,0,VerifiedSolved/VerifiedSolved,-0.000352690249643961,-0.00022095791122361819,-0.00022095791122389574,2.7755575615628914e-16,0.00013173233842006526,0.00013173233842034282,1314,1323,12.709150075912476,12.323866844177246
baseB,2.0,random_tangent,68,0.1,0.5,0.05,both,11,0,0,VerifiedSolved/VerifiedSolved,-0.019436537097872186,-0.020468007819266498,-0.02046800781926761,1.1102230246251565e-15,0.0010314707213954222,0.001031470721394312,1332,1341,11.709074974060059,12.197888851165771
baseB,2.0,random_tangent,68,0.1,1.0,0.1,both,22,0,0,VerifiedSolved/VerifiedSolved,-0.016530799753952663,-0.01681250383061328,-0.01681250383061328,0.0,0.00028170407666061603,0.00028170407666061603,1350,1359,12.136774063110352,11.548564910888672
baseB,2.0,random_tangent,68,0.1,2.0,0.2,both,41,0,0,VerifiedSolved/VerifiedSolved,-0.012686426849355947,-0.012676193469367547,-0.012676193469367547,0.0,1.0233379988400237e-5,1.0233379988400237e-5,1368,1377,11.979159832000732,12.348525047302246
baseB,2.0,high_switch,37,0.1,0.5,0.05,both,44,0,0,VerifiedSolved/VerifiedSolved,0.013658863158194645,0.013556579924622891,0.013556579924624002,1.1102230246251565e-15,0.00010228323357064362,0.00010228323357175384,1386,1395,11.795279026031494,11.752649068832397
baseB,2.0,high_switch,37,0.1,1.0,0.1,both,85,0,0,VerifiedSolved/VerifiedSolved,0.01282064270659633,0.012603576583418707,0.012603576583419263,5.551115123125783e-16,0.00021706612317706764,0.00021706612317762275,1404,1413,12.119879961013794,11.33186411857605
baseB,2.0,high_switch,37,0.1,2.0,0.2,both,183,0,0,VerifiedSolved/VerifiedSolved,0.01241912788638555,0.011593195512976384,0.011593195512976384,0.0,0.0008259323734091661,0.0008259323734091661,1422,1431,12.659018993377686,12.795416831970215
