L,contrasts,arch,cold_wall_s,cold_iters,cold_nStatus,cold_hess_total_s,cold_hess_mean_s,cold_n_hess,cold_n_fg,cold_alloc_bytes,warm_wall_s,warm_iters,warm_hess_total_s,warm_alloc_bytes,wp_wall_s,wp_iters,wp_hess_total_s,wp_n_hess
10,anchored,A_dense_BLAS,0.01862192153930664,4,0,0.008563672,0.00203608425,4,5,5.322528e6,0.0077779293060302734,0,0.0,5.30904e6,0.01752305030822754,4,0.0,4
10,anchored,B_chunked_moments+BLAS,0.017980098724365234,4,0,0.008140987,0.0019333555,4,5,4.21856e6,0.007662057876586914,0,0.0,4.20504e6,0.008208990097045898,4,0.0,4
10,anchored,C_structured_bintables,0.01694011688232422,4,0,0.006331838000000001,0.0015536680000000002,4,5,5.324976e6,0.009173154830932617,0,0.0,5.309248e6,0.007825136184692383,4,0.0,4
10,anchored,D_matrixfree_HVP,0.11799001693725586,6,-100,0.104469027,0.000488173023364486,214,7,1.9453304e7,0.008901119232177734,1,0.000921715,5.442592e6,0.011615991592407227,6,0.000915946,195
20,anchored,A_dense_BLAS,0.028209924697875977,4,0,0.016579165,0.00414479125,4,5,5.325792e6,0.008931875228881836,0,0.0,5.31032e6,0.02994513511657715,4,0.0,4
20,anchored,B_chunked_moments+BLAS,0.02842402458190918,4,0,0.016966617,0.004245624999999999,4,5,4.221792e6,0.008475065231323242,0,0.0,4.206416e6,0.008506059646606445,4,0.0,4
20,anchored,C_structured_bintables,0.018911123275756836,4,0,0.007242004999999999,0.0017508435000000001,4,5,5.328176e6,0.01039886474609375,0,0.0,5.310336e6,0.008892059326171875,4,0.0,4
20,anchored,D_matrixfree_HVP,0.22461795806884766,6,-100,0.20522533,0.0007280064216027873,287,7,2.4399888e7,0.010515928268432617,1,0.0013700869999999999,5.445056e6,0.013244152069091797,6,0.001391895,253
50,anchored,A_dense_BLAS,0.07875204086303711,4,0,0.055874867,0.01334787675,4,5,5.337488e6,0.012799978256225586,0,0.0,5.314672e6,0.012340068817138672,4,0.0,4
50,anchored,B_chunked_moments+BLAS,0.07922816276550293,4,0,0.054966895,0.012502180500000001,4,5,4.234e6,0.011610984802246094,0,0.0,4.21064e6,0.012151002883911133,4,0.0,4
50,anchored,C_structured_bintables,0.02934098243713379,4,0,0.010708225,0.00267705625,4,5,5.339712e6,0.012330055236816406,0,0.0,5.315072e6,0.011802196502685547,4,0.0,4
50,anchored,D_matrixfree_HVP,0.5819230079650879,6,-100,0.553453403,0.001404704068527919,394,7,3.2158776e7,0.014742136001586914,1,0.002880335,5.453424e6,0.017429113388061523,6,0.002919263,381
50,orthonormal,A_dense_BLAS,0.0758819580078125,4,0,0.053751891999999996,0.01269562,4,5,5.337456e6,0.011574983596801758,0,0.0,5.314704e6,0.012298822402954102,4,0.0,4
50,orthonormal,B_chunked_moments+BLAS,0.07751607894897461,4,0,0.052976198,0.01293506,4,5,1.3852496e7,0.013848066329956055,0,0.0,1.3829104e7,0.02167201042175293,4,0.0,4
50,orthonormal,C_structured_bintables,0.03478503227233887,4,0,0.012001913000000001,0.0030004782500000003,4,5,8.328512e6,0.012221813201904297,0,0.0,5.31472e6,0.018337011337280273,4,0.0,4
50,orthonormal,D_matrixfree_HVP,0.5790119171142578,6,0,0.54855433,0.0014548467984496123,387,7,3.1681632e7,0.01124715805053711,0,0.0,5.314608e6,0.01878190040588379,6,0.003034184,307
