point,blas_threads,wall_s,n_eval,n_grad,best_gp,best_Delta,knitro_status
P0,1,53.007,5,5,0.973581352715489,0.30650335169890663,-401
P0,4,50.189,8,7,0.970211490340413,0.4204971944090966,-401
P0,8,50.308,10,8,0.9671593387941755,0.4944737810144003,-401
P0,10,44.805,8,7,0.9702114903404166,0.42049719440889555,-401
P0,20,46.695,10,8,0.9671593387943369,0.49447378100322503,-401
P1,1,48.453,5,5,0.9669806607092244,0.9950278870723324,-401
P1,4,53.04,9,9,0.9663466803332853,0.517113955844489,-401
P1,8,47.698,10,10,0.9663466803332186,0.5171139558514315,-401
P1,10,45.517,9,9,0.9663466803330403,0.5171139558703497,-401
P1,20,46.402,10,10,0.9663466803328967,0.5171139558853397,-401
P2,1,54.407,3,1,0.9582345083655425,0.9809232960284228,-401
P2,4,52.175,7,2,0.9582345083655425,0.980923296028422,-401
P2,8,46.243,5,1,0.9582345083655425,0.9809232960284214,-401
P2,10,45.962,5,1,0.9582345083655425,0.9809232960284214,-401
P2,20,46.234,3,1,0.9582345083655425,0.9809232960284228,-401
