family,point,workers_requested,workers_effective,maxdiff,pass
common_frechet,calibration(idx=1),1,1,0.0,true
common_frechet,calibration(idx=1),4,4,0.0,true
common_frechet,calibration(idx=1),8,8,0.0,true
common_frechet,calibration(idx=1),10,10,0.0,true
common_frechet,calibration(idx=1),20,20,0.0,true
common_frechet,non_calibration(idx=25/100),1,1,0.0,true
common_frechet,non_calibration(idx=25/100),4,4,0.0,true
common_frechet,non_calibration(idx=25/100),8,8,0.0,true
common_frechet,non_calibration(idx=25/100),10,10,0.0,true
common_frechet,non_calibration(idx=25/100),20,20,0.0,true
common_frechet,non_calibration(idx=60/100),1,1,0.0,true
common_frechet,non_calibration(idx=60/100),4,4,0.0,true
common_frechet,non_calibration(idx=60/100),8,8,0.0,true
common_frechet,non_calibration(idx=60/100),10,10,0.0,true
common_frechet,non_calibration(idx=60/100),20,20,0.0,true
common_frechet,solver_derived_late(idx=100/100),1,1,0.0,true
common_frechet,solver_derived_late(idx=100/100),4,4,0.0,true
common_frechet,solver_derived_late(idx=100/100),8,8,0.0,true
common_frechet,solver_derived_late(idx=100/100),10,10,0.0,true
common_frechet,solver_derived_late(idx=100/100),20,20,0.0,true
