family,point,workers_requested,workers_effective,maxdiff,pass
flexible_cm,calibration(idx=1),1,1,0.0,true
flexible_cm,calibration(idx=1),4,4,0.0,true
flexible_cm,calibration(idx=1),8,8,0.0,true
flexible_cm,calibration(idx=1),10,10,0.0,true
flexible_cm,calibration(idx=1),20,20,0.0,true
flexible_cm,non_calibration(idx=19/76),1,1,0.0,true
flexible_cm,non_calibration(idx=19/76),4,4,0.0,true
flexible_cm,non_calibration(idx=19/76),8,8,0.0,true
flexible_cm,non_calibration(idx=19/76),10,10,0.0,true
flexible_cm,non_calibration(idx=19/76),20,20,0.0,true
flexible_cm,non_calibration(idx=46/76),1,1,0.0,true
flexible_cm,non_calibration(idx=46/76),4,4,0.0,true
flexible_cm,non_calibration(idx=46/76),8,8,0.0,true
flexible_cm,non_calibration(idx=46/76),10,10,0.0,true
flexible_cm,non_calibration(idx=46/76),20,20,0.0,true
flexible_cm,solver_derived_late(idx=76/76),1,1,0.0,true
flexible_cm,solver_derived_late(idx=76/76),4,4,0.0,true
flexible_cm,solver_derived_late(idx=76/76),8,8,0.0,true
flexible_cm,solver_derived_late(idx=76/76),10,10,0.0,true
flexible_cm,solver_derived_late(idx=76/76),20,20,0.0,true
