scale,point,L,contrasts,delta_dual_diff,cond_cumulative,cond_interval,ratio_interval_over_cumulative,cold_cum_s,cold_int_s,warm_cum_s,warm_int_s,statusC,statusI
D4,calibration,10,anchored,1.91e-17,3.6396e+04,1.2314e+04,0.3384,8.354,0.780,0.173,0.607,0,0
D4,unrestricted_upper_candidate,10,anchored,1.33e-15,2.8772e+04,1.4628e+04,0.5085,0.050,0.053,0.018,0.012,0,0
D4,perturbed_5pct,10,anchored,7.49e-16,4.6294e+04,1.5473e+04,0.3343,0.021,0.021,0.011,0.010,0,0
D4,difficult_15pct,10,anchored,5.42e-10,NaN,NaN,NaN,0.017,0.017,0.018,0.019,-300,-300
D4,calibration,10,orthonormal,6.94e-18,1.6297e+04,1.1276e+04,0.6919,0.023,0.026,0.016,0.017,0,0
D4,unrestricted_upper_candidate,10,orthonormal,1.78e-15,1.7467e+04,1.4430e+04,0.8261,0.046,0.030,0.011,0.010,0,0
D4,perturbed_5pct,10,orthonormal,1.80e-16,2.0513e+04,1.3900e+04,0.6777,0.022,0.022,0.011,0.011,0,0
D4,difficult_15pct,10,orthonormal,1.91e-09,NaN,NaN,NaN,0.018,0.018,0.018,0.018,-300,-300
D4,calibration,50,anchored,1.56e-17,1.4369e+05,1.1231e+04,0.0782,0.043,0.042,0.021,0.018,0,0
D4,unrestricted_upper_candidate,50,anchored,4.44e-16,1.1586e+05,1.6160e+04,0.1395,0.082,0.091,0.017,0.015,0,0
D4,perturbed_5pct,50,anchored,5.55e-17,1.8486e+05,1.4106e+04,0.0763,0.041,0.039,0.016,0.015,0,0
D4,difficult_15pct,50,anchored,6.70e-10,NaN,NaN,NaN,0.041,0.046,0.035,0.027,-300,-300
D4,calibration,50,orthonormal,5.38e-17,4.2026e+04,1.1157e+04,0.2655,0.038,0.035,0.017,0.017,0,0
D4,unrestricted_upper_candidate,50,orthonormal,1.33e-15,4.8130e+04,1.7418e+04,0.3619,0.077,0.065,0.017,0.016,0,0
D4,perturbed_5pct,50,orthonormal,3.33e-16,5.4277e+04,1.3783e+04,0.2539,0.067,0.067,0.016,0.015,0,0
D4,difficult_15pct,50,orthonormal,7.89e-10,NaN,NaN,NaN,0.031,0.351,0.031,0.029,-300,-300
D20,calibration,50,anchored,5.03e-17,1.1095e+06,4.2165e+07,38.003,25.421,19.021,3.018,2.725,0,0
D20,perturbed_2pct,50,anchored,2.78e-17,1.4619e+06,4.8028e+07,32.853,21.677,21.907,2.434,2.359,0,0
D20,calibration,50,orthonormal,1.56e-16,1.1108e+06,4.2314e+07,38.092,19.024,18.563,3.048,2.571,0,0
D20,perturbed_2pct,50,orthonormal,2.22e-16,1.4626e+06,4.8838e+07,33.392,23.233,21.817,2.708,2.513,0,0
