category,count,total_s,mean_ms,median_ms,p90_ms,max_ms
fc_inner_hess_eval,230,2.741832476,11.921010765217392,11.047548,13.813789,32.211056
fc_inner_obj_eval,680,2.416340452,3.5534418411764706,3.187554,4.716641,13.943731
fc_operator_merge,24,2.11092148,87.95506166666667,83.859931,107.584083,116.336727
moment_operator_link_update,24,1.974924459,82.288519125,77.637601,101.77568,111.494664
fc_inner_grad_eval,266,0.880325659,3.3094949586466162,3.147454,3.612558,7.955769
screen_stored_dual_passed,19,0.529603247,27.873855105263157,27.71726,40.546534,45.357114
fc_inner_dpsi_eval,503,0.252137508,0.5012674115308151,0.447891,0.729547,1.08144
screen_stored_dual_rejected,5,0.129578188,25.9156376,24.383587,32.096904,32.096904
screen_range_passed,24,0.009262616,0.38594233333333333,0.370351,0.465257,0.534097
fc_theta_expand,24,0.003357565,0.13989854166666665,0.12559,0.172876,0.209444
fc_warm_start_resolve,19,4.1982e-5,0.0022095789473684214,0.001752,0.004477,0.005049
