side,k,t,switch_o,switch_d,switch_dir,A_kind,A_Delta,A_cert,B_max_trade_res,B_focal_res,B_gravA,B_gravF,B_feasible,B_kind,B_Delta,B_cert,C_max_trade_res,C_focal_res,C_gravA,C_gravF,C_feasible,C_kind,C_Delta,C_cert,C_corrector_rounds,C_corrector_time_s,dA_norm,dq_norm,df_norm,divergence_pstar
minus,1,0.008730293615073301,14,19,on,AboveEvaluationCap,NaN,107281.44543094223,8.215650382226158e-15,-8.231486503367048e-8,-5.096251198821733e-8,-7.644376898152672e-8,true,FiniteSolved,0.4832644544492075,NaN,8.215650382226158e-15,-8.231486503367048e-8,-5.096251198821733e-8,-7.644376898152672e-8,true,FiniteSolved,0.4832644544492075,NaN,0,0.2810049057006836,1.5142129951156713e-6,3.11542752749798e-6,5.6991853406106596e-5,0.4832764950468767
minus,2,0.010848133105251397,14,16,off,AboveEvaluationCap,NaN,2.916803067207014e6,8.215650382226158e-15,-1.0228323084452256e-7,-9.161704728199993e-11,-1.3742640359026836e-10,true,FiniteSolved,0.4832766878338065,NaN,8.215650382226158e-15,-1.0228323084452256e-7,-9.161704728199993e-11,-1.3742640359026836e-10,true,FiniteSolved,0.4832766878338065,NaN,0,0.22715187072753906,1.7367887213573684e-6,3.871183947318059e-6,5.972873384604729e-5,0.4832764950468767
minus,3,0.015285516795707672,2,14,on,AboveEvaluationCap,NaN,292833.85985378607,8.215650382226158e-15,-1.942817762630201e-6,3.002487840686463e-6,4.5037317595308934e-6,false,FiniteSolved,0.48327820700189106,NaN,8.215650382226158e-15,3.930752367743584e-8,6.919881912037518e-6,1.0379822866557475e-5,false,FiniteSolved,0.4832731406698446,NaN,1312,86.82536101341248,1.5078188272028525e-5,4.323112457270327e-5,8.321706421973568e-5,0.4832764950468767
minus,4,0.03364745346544859,18,7,off,AboveEvaluationCap,NaN,177212.41858440495,8.215650382226158e-15,-2.1159454668276646e-6,2.64141891082037e-6,3.962128364953799e-6,false,FiniteSolved,0.483274491446722,NaN,8.215650382226158e-15,-1.3432701061742272e-7,6.558812982171425e-6,9.83821947198038e-6,false,FiniteSolved,0.48326942664896955,NaN,1312,92.62910413742065,1.5112289483038308e-5,4.454550169367111e-5,0.0001504396986526933,0.4832764950468767
minus,5,0.06027506933301217,14,16,off,AboveEvaluationCap,NaN,170473.833983061,8.215650382226158e-15,-2.3670072412083005e-6,2.6840160022301163e-6,4.026024001957396e-6,false,FiniteSolved,0.48326425052658645,NaN,8.215650382226158e-15,3.3452191919336696e-7,7.949308114985065e-6,1.1923962170978797e-5,false,FiniteSolved,0.48325738231939813,NaN,1312,87.25212788581848,1.9499258644804546e-5,5.664128232026232e-5,0.0001958753682948837,0.4832764950468767
plus,1,0.01600190985439499,18,12,on,FiniteSolved,0.4832498176598806,NaN,8.215650382226158e-15,1.5087633780387803e-7,1.3114155339444267e-7,1.9671232887041867e-7,true,FiniteSolved,0.48325478549510126,NaN,8.215650382226158e-15,1.5087633780387803e-7,1.3114155339444267e-7,1.9671232887041867e-7,true,FiniteSolved,0.48325478549510126,NaN,0,0.27506017684936523,2.661670786378856e-7,5.710322315685726e-6,3.8797200499217836e-5,0.4832764950468767
plus,2,0.024194630587408027,10,13,on,FiniteSolved,0.48324900032464657,NaN,8.215650382226158e-15,2.2812257637315966e-7,8.797944883731645e-7,1.31969173222668e-6,false,FiniteSolved,0.48325461533124703,NaN,8.215650382226158e-15,2.2812257637315966e-7,8.797944883731645e-7,1.31969173222668e-6,false,FiniteSolved,0.48325461533124703,NaN,0,0.28997111320495605,4.438389525123677e-7,8.633915590205593e-6,0.0003495320262726813,0.4832764950468767
plus,3,0.034249253647906854,8,16,on,FiniteSolved,0.48324837258103925,NaN,8.215650382226158e-15,3.2292400632052485e-7,1.0802805791021441e-6,1.620420867487482e-6,false,FiniteSolved,0.4832544089719164,NaN,8.215650382226158e-15,3.2292400632052485e-7,1.0802805791021441e-6,1.620420867487482e-6,false,FiniteSolved,0.4832544089719164,NaN,1312,94.10676288604736,1.8223764952044895e-6,1.222193345558021e-5,0.0003540107510709354,0.4832764950468767
plus,4,0.04471104194256288,14,19,off,FiniteSolved,0.4832360296900819,NaN,8.215650382226158e-15,4.2156442780866166e-7,1.1229543867008474e-6,1.6844315787745145e-6,false,FiniteSolved,0.48324350855593345,NaN,8.215650382226158e-15,4.2156442780866166e-7,1.1229543867008474e-6,1.6844315787745145e-6,false,FiniteSolved,0.48324350855593345,NaN,1312,94.4601731300354,2.2200849205976924e-6,1.5955249272612347e-5,0.0003649640302596385,0.4832764950468767
plus,5,0.05360360001759609,4,10,off,FiniteSolved,0.4832296512220753,NaN,8.215650382226158e-15,5.054091255404454e-7,-8.801582707107514e-8,-1.3202374127274652e-7,true,FiniteSolved,0.48324174626423033,NaN,8.215650382226158e-15,5.054091255404454e-7,-8.801582707107514e-8,-1.3202374127274652e-7,true,FiniteSolved,0.48324174626423033,NaN,0,0.2830169200897217,2.5169847384036185e-6,1.9128581286188285e-5,0.00037158501580374586,0.4832764950468767
