label,D,o,d,k,h,exact,secantB,secantC,zero_switch_p,zero_switch_m,nStatus_p,nStatus_m,lfd_ok_p,lfd_ok_m
D4_calibration,4,1,1,1,1.0e-7,-0.0006458575258916418,-0.0006458575237952769,-0.000645857532384191,true,true,0,0,true,true
D4_calibration,4,1,1,1,1.0e-6,-0.0006458575258916418,-0.000645857525763358,-0.0006458575373808384,true,true,0,0,true,true
D4_calibration,4,1,1,1,1.0e-5,-0.0006458575258916418,-0.0006458575258960456,-0.0006458586252090318,true,true,0,0,true,true
D4_calibration,4,1,1,1,0.0001,-0.0006458575258916418,-0.0006458575300357921,-0.0006459674573838671,true,true,0,0,true,true
D4_calibration,4,1,1,1,0.001,-0.0006458575258916418,-0.0006458579400995704,-0.0006568507735658413,true,true,0,0,true,true
D4_calibration,4,2,1,2,1.0e-7,0.00039884141633143855,0.0003988414176392906,0.00039884142231914763,true,true,0,0,true,true
D4_calibration,4,2,1,2,1.0e-6,0.00039884141633143855,0.00039884141636027084,0.0003988414164695381,true,true,0,0,true,true
D4_calibration,4,2,1,2,1.0e-5,0.00039884141633143855,0.0003988414163372315,0.0003988414176979476,true,true,0,0,true,true
D4_calibration,4,2,1,2,0.0001,0.00039884141633143855,0.0003988414171950641,0.0003988415480900513,true,true,0,0,true,true
D4_calibration,4,2,1,2,0.001,0.00039884141633143855,0.00039884150282615006,0.00039885459210485817,true,true,0,0,true,true
D4_calibration,4,3,1,3,1.0e-7,-0.000715782733243007,-0.0007157827315862952,-0.0007157827350718357,true,true,0,0,true,true
D4_calibration,4,3,1,3,1.0e-6,-0.000715782733243007,-0.0007157827329822055,-0.0007157827402099376,true,true,0,0,true,true
D4_calibration,4,3,1,3,1.0e-5,-0.000715782733243007,-0.0007157827332665543,-0.0007157834278804544,true,true,0,0,true,true
D4_calibration,4,3,1,3,0.0001,-0.000715782733243007,-0.00071578273641451,-0.0007158522010876034,true,true,0,0,true,true
D4_calibration,4,3,1,3,0.001,-0.000715782733243007,-0.000715783050242863,-0.0007227298803650787,true,true,0,0,true,true
D4_calibration,4,4,1,4,1.0e-7,6.886605810915117e-5,6.886605765979832e-5,6.886605481800279e-5,true,true,0,0,true,true
D4_calibration,4,4,1,4,1.0e-6,6.886605810915117e-5,6.886605810618469e-5,6.886606304311622e-5,true,true,0,0,true,true
D4_calibration,4,4,1,4,1.0e-5,6.886605810915117e-5,6.88660581002131e-5,6.886649493407754e-5,true,true,0,0,true,true
D4_calibration,4,4,1,4,0.0001,6.886605810915117e-5,6.886605823278223e-5,6.890974055017294e-5,true,true,0,0,true,true
D4_calibration,4,4,1,4,0.001,6.886605810915117e-5,6.886607068097578e-5,7.323472988859143e-5,true,true,0,0,true,true
D4_calibration,4,1,2,5,1.0e-7,-0.0002588528118891587,-0.00025885281362516877,-0.00025885280731053814,true,true,0,0,true,true
D4_calibration,4,1,2,5,1.0e-6,-0.0002588528118891587,-0.00025885281183496466,-0.00025885281229871517,true,true,0,0,true,true
D4_calibration,4,1,2,5,1.0e-5,-0.0002588528118891587,-0.0002588528119018802,-0.00025885283120465996,true,true,0,0,true,true
D4_calibration,4,1,2,5,0.0001,-0.0002588528118891587,-0.00025885281235540707,-0.0002588547450525269,true,true,0,0,true,true
D4_calibration,4,1,2,5,0.001,-0.0002588528118891587,-0.00025885285857668886,-0.0002590461285102751,true,true,0,0,true,true
D4_calibration,4,2,2,6,1.0e-7,-0.00040027198657888126,-0.0004002719857801806,-0.0004002719862333432,true,true,0,0,true,true
D4_calibration,4,2,2,6,1.0e-6,-0.00040027198657888126,-0.00040027198664203663,-0.0004002719785770124,true,true,0,0,true,true
D4_calibration,4,2,2,6,1.0e-5,-0.00040027198657888126,-0.0004002719866541491,-0.0004002711969310276,true,true,0,0,true,true
D4_calibration,4,2,2,6,0.0001,-0.00040027198657888126,-0.0004002719908981527,-0.0004001930228769555,true,true,0,0,true,true
D4_calibration,4,2,2,6,0.001,-0.00040027198657888126,-0.00040027241844550786,-0.00039237416610201953,true,true,0,0,true,true
D4_calibration,4,3,2,7,1.0e-7,0.0011573380177131386,0.0011573380177513988,0.0011573380168281328,true,true,0,0,true,true
D4_calibration,4,3,2,7,1.0e-6,0.0011573380177131386,0.0011573380176849067,0.0011573380240711116,true,true,0,0,true,true
D4_calibration,4,3,2,7,1.0e-5,0.0011573380177131386,0.001157338017791802,0.0011573386368940702,true,true,0,0,true,true
D4_calibration,4,3,2,7,0.0001,0.0011573380177131386,0.0011573380212526517,0.001157399935538017,true,true,0,0,true,true
D4_calibration,4,3,2,7,0.001,0.0011573380177131386,0.0011573383715192539,0.001163530108111442,true,true,0,0,true,true
D4_calibration,4,1,3,8,1.0e-7,-0.0044011062671002465,-0.004401106263237407,-0.004401106262784244,true,true,0,0,true,true
D4_calibration,4,1,3,8,1.0e-6,-0.0044011062671002465,-0.004401106266677208,-0.004401106100091238,true,true,0,0,true,true
D4_calibration,4,1,3,8,1.0e-5,-0.0044011062671002465,-0.004401106267373511,-0.0044010896219354055,true,true,0,0,true,true
D4_calibration,4,1,3,8,0.0001,-0.0044011062671002465,-0.0044011062857114945,-0.004399441718363981,true,true,0,0,true,true
D4_calibration,4,1,3,8,0.001,-0.0044011062671002465,-0.004401108128348852,-0.004234419968933713,true,true,0,0,true,true
D4_calibration,4,2,3,9,1.0e-7,0.0005679600195459076,0.000567960021177805,0.0005679600271197411,true,true,0,0,true,true
D4_calibration,4,2,3,9,1.0e-6,0.0005679600195459076,0.0005679600198318696,0.0005679600176821,true,true,0,0,true,true
D4_calibration,4,2,3,9,1.0e-5,0.0005679600195459076,0.0005679600195762774,0.0005679599044421805,true,true,0,0,true,true
D4_calibration,4,2,3,9,0.0001,0.0005679600195459076,0.0005679600210670681,0.0005679485053541354,true,true,0,0,true,true
D4_calibration,4,2,3,9,0.001,0.0005679600195459076,0.0005679601716503391,0.000566808595182009,true,true,0,0,true,true
D4_calibration,4,3,3,10,1.0e-7,-0.001032552482764136,-0.0010325524857903322,-0.0010325524758461654,true,true,0,0,true,true
D4_calibration,4,3,3,10,1.0e-6,-0.001032552482764136,-0.0010325524826715568,-0.0010325524905231288,true,true,0,0,true,true
D4_calibration,4,3,3,10,1.0e-5,-0.001032552482764136,-0.001032552482822244,-0.0010325532344182525,true,true,0,0,true,true
D4_calibration,4,3,3,10,0.0001,-0.001032552482764136,-0.0010325524882897907,-0.0010326276415664217,true,true,0,0,true,true
D4_calibration,4,3,3,10,0.001,-0.001032552482764136,-0.0010325530351984742,-0.0010400684452136144,true,true,0,0,true,true
D4_calibration,4,4,3,11,1.0e-7,0.0002912386704062455,0.0002912386725107045,0.00029123866646288925,true,true,0,0,true,true
D4_calibration,4,4,3,11,1.0e-6,0.0002912386704062455,0.0002912386702664907,0.00029123866410305546,true,true,0,0,true,true
D4_calibration,4,4,3,11,1.0e-5,0.0002912386704062455,0.0002912386704148485,0.0002912380742565007,true,true,0,0,true,true
D4_calibration,4,4,3,11,0.0001,0.0002912386704062455,0.00029123867133046147,0.0002911790528464024,true,true,0,0,true,true
D4_calibration,4,4,3,11,0.001,0.0002912386704062455,0.0002912387626910375,0.0002852764193948907,true,true,0,0,true,true
D4_calibration,4,1,4,12,1.0e-7,0.005344229655353783,0.005344229652317021,0.005344229653024294,true,true,0,0,true,true
D4_calibration,4,1,4,12,1.0e-6,0.005344229655353783,0.005344229655915218,0.005344229480474789,true,true,0,0,true,true
D4_calibration,4,1,4,12,1.0e-5,0.005344229655353783,0.0053442296555839,0.005344212169157148,true,true,0,0,true,true
D4_calibration,4,1,4,12,0.0001,0.005344229655353783,0.005344229672843256,0.0053424810033535965,true,true,0,0,true,true
D4_calibration,4,1,4,12,0.001,0.005344229655353783,0.005344231404062141,0.005169124406335724,true,true,0,0,true,true
D4_calibration,4,2,4,13,1.0e-7,-0.00016572035103806266,-0.00016572035160736644,-0.00016572035469480153,true,true,0,0,true,true
D4_calibration,4,2,4,13,1.0e-6,-0.00016572035103806266,-0.00016572035135537414,-0.0001657203715740506,true,true,0,0,true,true
D4_calibration,4,2,4,13,1.0e-5,-0.00016572035103806266,-0.00016572035102913938,-0.00016572240214483215,true,true,0,0,true,true
D4_calibration,4,2,4,13,0.0001,-0.00016572035103806266,-0.0001657203523635932,-0.00016592546267040094,true,true,0,0,true,true
D4_calibration,4,2,4,13,0.001,-0.00016572035103806266,-0.00016572048344979675,-0.00018623333837034783,true,true,0,0,true,true
D4_calibration,4,3,4,14,1.0e-7,0.0006271731839480762,0.0006271731846614826,0.0006271731858473287,true,true,0,0,true,true
D4_calibration,4,3,4,14,1.0e-6,0.0006271731839480762,0.0006271731836234438,0.0006271731837860741,true,true,0,0,true,true
D4_calibration,4,3,4,14,1.0e-5,0.0006271731839480762,0.0006271731839588263,0.0006271731742721999,true,true,0,0,true,true
D4_calibration,4,3,4,14,0.0001,0.0006271731839480762,0.000627173186570157,0.0006271722167294475,true,true,0,0,true,true
D4_calibration,4,3,4,14,0.001,0.0006271731839480762,0.0006271734460940534,0.0006270764621995862,true,true,0,0,true,true
D4_calibration,4,4,4,15,1.0e-7,3.761837040543647e-5,3.7618370997764795e-5,3.7618370675892275e-5,true,true,0,0,true,true
D4_calibration,4,4,4,15,1.0e-6,3.761837040543647e-5,3.76183703243736e-5,3.7618369627689e-5,true,true,0,0,true,true
D4_calibration,4,4,4,15,1.0e-5,3.761837040543647e-5,3.76183703809554e-5,3.7618304173810927e-5,true,true,0,0,true,true
D4_calibration,4,4,4,15,0.0001,3.761837040543647e-5,3.761836982901603e-5,3.761175051786909e-5,true,true,0,0,true,true
D4_calibration,4,4,4,15,0.001,3.761837040543647e-5,3.76183126039597e-5,3.6956380739045966e-5,true,true,0,0,true,true
