label,D,o,d,k,h,exact,secantB,secantC,zero_switch_p,zero_switch_m,nStatus_p,nStatus_m,lfd_ok_p,lfd_ok_m
pivot_sensitive,20,1,11,201,1.0e-6,-2.7141316909517213e-5,-2.7141316890364267e-5,-2.714137391939854e-5,true,true,0,0,true,true
pivot_sensitive,20,1,11,201,0.0001,-2.7141316909517213e-5,-2.714131699092402e-5,-2.714318516017179e-5,true,true,0,0,true,true
domestic_jj,20,2,2,22,1.0e-6,-0.000903387360295663,-0.0009033873603608161,-0.0009033873341231236,true,true,0,0,true,true
domestic_jj,20,2,2,22,0.0001,-0.000903387360295663,-0.0009033873636898589,-0.000903610772939943,true,true,0,0,true,true
focal_origin,20,2,1,2,1.0e-6,0.002228554666513983,0.002228554667058546,0.002228554447480501,true,true,0,0,true,true
focal_origin,20,2,1,2,0.0001,0.002228554666513983,0.0022285546744273263,0.0022263554547681335,true,true,0,0,true,true
ordinary,20,1,1,1,1.0e-6,1.253111364378482e-6,1.2531114383998454e-6,1.2531121702363118e-6,true,true,0,0,true,true
ordinary,20,1,1,1,0.0001,1.253111364378482e-6,1.2531113649451482e-6,1.2436974559481943e-6,true,true,0,0,true,true
export,20,3,1,3,1.0e-6,0.0011970170163442696,0.00119701701616114,0.0011970169561776548,true,true,0,0,true,true
export,20,3,1,3,0.0001,0.0011970170163442696,0.0011970170207557178,0.0011965318589095817,true,true,0,0,true,true
