direction,idx,g,GT,classification,Delta,accepted,best_start
upper,0,-0.48546126592859407,6.290640522201974,FiniteSolved,0.28795339638876105,true,continuation
upper,1,-0.4862618264725135,6.340640522201991,FiniteSolved,0.2924960965946284,true,cellwise_compensated
upper,2,-0.48746346898040577,6.415640522201993,FiniteSolved,0.3075741525670268,true,continuation
upper,3,-0.4892677396033063,6.528140522201998,FiniteSolved,0.3320166389273324,true,continuation
upper,4,-0.4919782213160414,6.6968905222019925,FiniteSolved,0.37326626783429306,true,continuation
upper,5,-0.49519699928168914,6.896890522201982,FiniteSolved,0.4306572188995499,true,continuation
upper,6,-0.49842269912438375,7.096890522201971,FiniteSolved,0.4990186631205613,true,continuation
upper,7,-0.5016553506788368,7.296890522201949,FiniteSolved,0.5804843311608021,false,continuation
upper,8,-0.5000390249016102,7.1969443997226605,FiniteSolved,0.5380178554887682,false,continuation
upper,9,-0.499230862012997,7.1469309376004375,FiniteSolved,0.5181008582549245,false,continuation
upper,10,-0.49882678056869034,7.121914099968407,FiniteSolved,0.5084590874786976,false,continuation
upper,11,-0.49862473984653705,7.109403153715476,FiniteSolved,0.5037492163786816,false,continuation
upper,12,-0.49852371948546037,7.103147048630487,FiniteSolved,0.5013611914663243,false,continuation
upper,13,-0.49847320930492206,7.100018838085942,FiniteSolved,0.5001942709525253,false,continuation
lower,0,-0.48546126592859407,6.290640522201974,FiniteSolved,0.28795339638876105,true,continuation
lower,1,-0.48466113242156217,6.2406405222019785,FiniteSolved,0.27479402021380994,true,continuation
lower,2,-0.4834617318593222,6.165640522201976,FiniteSolved,0.26040917936203295,true,cellwise_compensated
lower,3,-0.48166442730322256,6.05314052220195,FiniteSolved,0.23100551460938706,true,cellwise_compensated
lower,4,-0.47897250190905616,5.884390522201944,FiniteSolved,0.2067667794619457,true,continuation
lower,5,-0.4757883149752893,5.684390522201943,FiniteSolved,0.1813414791682815,true,continuation
lower,6,-0.4726108730900064,5.484390522201954,FiniteSolved,0.15885162160908872,true,continuation
lower,7,-0.4694401477375905,5.284390522201954,FiniteSolved,0.1389379920948961,true,continuation
lower,8,-0.4662761105828746,5.084390522201954,FiniteSolved,0.12126936345970873,true,continuation
lower,9,-0.4631187334696214,4.8843905222019535,FiniteSolved,0.1056116882190224,true,continuation
lower,10,-0.4599679884190204,4.684390522201964,FiniteSolved,0.09179274527872783,true,continuation
lower,11,-0.45682384762819916,4.484390522201965,FiniteSolved,0.07970576684860015,true,continuation
lower,12,-0.4536862834687523,4.284390522201964,FiniteSolved,0.06923323384694098,true,continuation
lower,13,-0.4505552684852848,4.084390522201964,FiniteSolved,0.06013609543003413,true,cellwise_compensated
lower,14,-0.4474307753939704,3.884390522201975,FiniteSolved,0.052382838387904404,true,cellwise_compensated
lower,15,-0.44431277708112427,3.6843905222019746,FiniteSolved,0.04569356866698792,true,continuation
