point,sign,t,start,start_feasible,start_Delta,start_classification,fixedA_anchor_Delta,fixedA_anchor_classification,nStatus,Delta_min_trajectory,Delta_final_verified,final_classification,n_fc_calls,n_ga_calls,n_finite_solved,n_above_cap,n_infinite_certified,wall_s
anchor,-1,0.0,A_continuation,true,0.4832764950468902,FiniteSolved,0.4832764950468902,FiniteSolved,-502,0.2903646137876625,0.2898060525987176,FiniteSolved,88,63,125,25,0,69.68978190422058
anchor,-1,0.0,B_old_anchor_projected,true,0.4832764950468902,FiniteSolved,0.4832764950468902,FiniteSolved,-502,0.2903646137876625,0.2898060525987176,FiniteSolved,88,63,125,25,0,58.39158487319946
anchor,-1,0.0,C_cellwise_compensated_projected,true,0.4832764950468902,FiniteSolved,0.4832764950468902,FiniteSolved,-502,0.2903646137876625,0.2898060525987176,FiniteSolved,88,63,125,25,0,59.62266206741333
anchor,-1,0.0,D_deterministic_H_perturbation_projected,true,0.9621837649685115,FiniteSolved,0.4832764950468902,FiniteSolved,0,1111.6752986602578,1111.6752986602578,AboveEvaluationCap,13,6,2,17,0,4.564368009567261
pre_switch1,-1,0.006309463268659939,A_continuation,true,0.2898060952994795,FiniteSolved,0.4832766071750863,FiniteSolved,-502,0.2795993563646942,0.2794011284919142,FiniteSolved,82,69,141,9,0,71.58838105201721
pre_switch1,-1,0.006309463268659939,B_old_anchor_projected,true,0.4832766071750863,FiniteSolved,0.4832766071750863,FiniteSolved,-502,0.30183349042425056,0.2995776275548485,FiniteSolved,87,64,125,25,0,64.15793514251709
pre_switch1,-1,0.006309463268659939,C_cellwise_compensated_projected,true,0.4832766071750863,FiniteSolved,0.4832766071750863,FiniteSolved,-502,0.30183349042425056,0.2995776275548485,FiniteSolved,87,64,125,25,0,65.87369585037231
pre_switch1,-1,0.006309463268659939,D_deterministic_H_perturbation_projected,true,0.9621838721985407,FiniteSolved,0.4832766071750863,FiniteSolved,0,898.0304176269204,898.0304176269204,AboveEvaluationCap,14,5,2,17,0,5.7221620082855225
post_switch1,-1,0.009471537436635634,A_continuation,true,186160.33552477675,AboveEvaluationCap,186160.70404870732,AboveEvaluationCap,0,186160.33552477675,186160.33552477675,AboveEvaluationCap,1,1,0,2,0,0.3488788604736328
post_switch1,-1,0.009471537436635634,B_old_anchor_projected,true,186160.70404870732,AboveEvaluationCap,186160.70404870732,AboveEvaluationCap,0,186160.70404870732,186160.70404870732,AboveEvaluationCap,1,1,0,2,0,0.3402261734008789
post_switch1,-1,0.009471537436635634,C_cellwise_compensated_projected,true,0.48326446762036745,FiniteSolved,186160.70404870732,AboveEvaluationCap,-401,0.48326446762036745,0.48326446762036745,FiniteSolved,19,1,2,17,0,95.54107880592346
post_switch1,-1,0.009471537436635634,D_deterministic_H_perturbation_projected,true,0.9621839249677914,FiniteSolved,186160.70404870732,AboveEvaluationCap,-401,0.9621839249677914,0.9621839249677914,FiniteSolved,19,1,2,17,0,111.17417097091675
post_switch2,-1,0.012597874405195547,A_continuation,true,0.48326456188622396,FiniteSolved,493433.4122247007,AboveEvaluationCap,0,647.3901167197216,647.3901167197216,AboveEvaluationCap,10,6,2,14,0,5.235476970672607
post_switch2,-1,0.012597874405195547,B_old_anchor_projected,true,0.4832646817860571,FiniteSolved,493433.4122247007,AboveEvaluationCap,-102,0.7458974699093888,0.7458974699093888,FiniteSolved,168,27,50,100,0,84.11121320724487
post_switch2,-1,0.012597874405195547,C_cellwise_compensated_projected,true,0.4832767189292347,FiniteSolved,493433.4122247007,AboveEvaluationCap,-102,0.2929604974792635,0.2929604974792635,FiniteSolved,130,64,125,25,0,60.59042000770569
post_switch2,-1,0.012597874405195547,D_deterministic_H_perturbation_projected,true,3.232488266357061e10,AboveEvaluationCap,493433.4122247007,AboveEvaluationCap,0,3.232488266357061e10,3.232488266357061e10,AboveEvaluationCap,1,1,0,2,0,0.33695006370544434
post_switch3,-1,0.01590574196274893,A_continuation,true,0.2929580464978147,FiniteSolved,223287.70237869516,AboveEvaluationCap,-102,0.25462525131685887,0.25462525131685887,FiniteSolved,135,60,122,28,0,54.89178800582886
post_switch3,-1,0.01590574196274893,B_old_anchor_projected,true,0.48327245314625733,FiniteSolved,223287.70237869516,AboveEvaluationCap,0,662.7084453967669,662.7084453967669,AboveEvaluationCap,10,6,2,14,0,5.864666938781738
post_switch3,-1,0.01590574196274893,C_cellwise_compensated_projected,true,0.4832782180242831,FiniteSolved,223287.70237869516,AboveEvaluationCap,-502,0.29528416989702305,0.2952983402420998,FiniteSolved,87,64,125,25,0,63.6581130027771
post_switch3,-1,0.01590574196274893,D_deterministic_H_perturbation_projected,true,4.493497799595742e10,AboveEvaluationCap,223287.70237869516,AboveEvaluationCap,0,4.493497799595742e10,4.493497799595742e10,AboveEvaluationCap,1,1,0,2,0,0.36153507232666016
