label,delta,direction,scramble,scramble_seed,W,classification,Delta,Delta_W20000_original,within_original_budget,gt_pct,gt_pct_W20000_original,primal_feasible,dual_feasible,moment_residual,normalization_error,primal_dual_agreement,kkt_opt_error,kkt_feas_error,lfd_ok,wall_s,warm_start_used,nStatus
sequential_reduced_q,0.1,lower,tuning_seed29,29,20000,FiniteSolved,0.09983847687037098,0.0998507691328749,true,3.077842181952084,3.077842181952084,true,true,1.288136264321338e-13,8.415490526658687e-14,1.1696199564426024e-13,1.275566319236532e-13,0.0,true,4.295745134353638,false,0
sequential_reduced_q,0.1,lower,tuning_seed29,29,80000,FiniteSolved,0.09975009121851441,0.0998507691328749,true,3.077842181952084,3.077842181952084,true,true,9.370282327836321e-14,6.039613253960852e-14,8.387734951043058e-14,9.513314580544829e-14,0.0,true,0.07918095588684082,false,0
sequential_reduced_q,0.1,lower,tuning_seed29,29,320000,FiniteSolved,0.09971919103971373,0.0998507691328749,true,3.077842181952084,3.077842181952084,true,true,9.706124792785431e-14,6.52811138479592e-14,8.731904088676856e-14,9.983978088712321e-14,0.0,true,0.32700395584106445,false,0
sequential_reduced_q,0.1,lower,tuning_seed29,29,1280000,FiniteSolved,0.09975174601694356,0.0998507691328749,true,3.077842181952084,3.077842181952084,true,true,1.0796918914479647e-13,7.127631818093505e-14,9.989231664064846e-14,1.1993961379630493e-13,0.0,true,1.5113351345062256,false,0
sequential_reduced_q,0.1,upper,tuning_seed29,29,20000,FiniteSolved,0.09608315562099531,0.09998889033643815,true,12.313418444675605,12.313418444675605,true,true,4.440892098500626e-15,0.0,4.85722573273506e-16,1.091393642127514e-15,0.0,true,0.018852949142456055,false,0
sequential_reduced_q,0.1,upper,tuning_seed29,29,80000,FiniteSolved,0.09819532783319013,0.09998889033643815,true,12.313418444675605,12.313418444675605,true,true,1.965094753586527e-14,2.220446049250313e-16,9.992007221626409e-16,1.2278178473934531e-14,0.0,true,0.06846904754638672,false,0
sequential_reduced_q,0.1,upper,tuning_seed29,29,320000,FiniteSolved,0.09724971438896843,0.09998889033643815,true,12.313418444675605,12.313418444675605,true,true,3.0531133177191805e-15,-2.220446049250313e-16,1.1518563880486e-15,4.365574568510056e-15,0.0,true,0.2654898166656494,false,0
sequential_reduced_q,0.1,upper,tuning_seed29,29,1280000,FiniteSolved,0.09662222638618946,0.09998889033643815,true,12.313418444675605,12.313418444675605,true,true,1.0325074129013956e-14,2.220446049250313e-16,5.648259637780484e-15,9.64064383879304e-15,0.0,true,1.2180969715118408,false,0
sequential_reduced_q,0.5,lower,tuning_seed29,29,20000,FiniteSolved,0.4987321426914994,0.4766272477161889,true,0.056170094332419485,0.056170094332419485,true,true,3.833044992518353e-13,5.995204332975845e-14,Inf,3.8464804674731567e-13,0.0,true,0.05382800102233887,false,0
sequential_reduced_q,0.5,lower,tuning_seed29,29,80000,FiniteSolved,0.4822526176206118,0.4766272477161889,true,0.056170094332419485,0.056170094332419485,true,true,4.100192407818781e-14,2.4424906541753444e-15,Inf,4.142748366575688e-14,0.0,true,0.20910215377807617,false,0
sequential_reduced_q,0.5,lower,tuning_seed29,29,320000,FiniteSolved,0.4804033577611928,0.4766272477161889,true,0.056170094332419485,0.056170094332419485,true,true,1.071365218763276e-14,1.7763568394002505e-15,Inf,1.2187229003757239e-14,0.0,true,0.8525979518890381,false,0
sequential_reduced_q,0.5,lower,tuning_seed29,29,1280000,FiniteSolved,0.4803262376985458,0.4766272477161889,true,0.056170094332419485,0.056170094332419485,true,true,1.16157083951407e-14,1.5543122344752192e-15,Inf,2.5011104298755527e-14,0.0,true,4.158304929733276,false,0
sequential_reduced_q,0.5,upper,tuning_seed29,29,20000,FiniteSolved,0.48329923204559766,0.49932065421858923,true,17.39380804190056,17.39380804190056,true,true,7.549516567451064e-15,0.0,3.3306690738754696e-16,4.0927261579781776e-15,0.0,true,0.02823495864868164,false,0
sequential_reduced_q,0.5,upper,tuning_seed29,29,80000,FiniteSolved,0.48787051201684273,0.49932065421858923,true,17.39380804190056,17.39380804190056,true,true,3.3306690738754696e-15,0.0,4.884981308350689e-15,1.1823431123048069e-15,0.0,true,0.10783815383911133,false,0
sequential_reduced_q,0.5,upper,tuning_seed29,29,320000,FiniteSolved,0.48183374205475304,0.49932065421858923,true,17.39380804190056,17.39380804190056,true,true,2.098321516541546e-14,0.0,1.63202784619898e-14,9.913492249324918e-15,0.0,true,0.46073079109191895,false,0
sequential_reduced_q,0.5,upper,tuning_seed29,29,1280000,FiniteSolved,0.4768228583680865,0.49932065421858923,true,17.39380804190056,17.39380804190056,true,true,3.6637359812630166e-14,0.0,4.274358644806853e-15,3.9108272176235914e-15,0.0,true,2.1081879138946533,false,0
sequential_reduced_q,0.5,lower,held_out_seed49,49,320000,FiniteSolved,0.4788910239828537,0.4766272477161889,true,0.056170094332419485,0.056170094332419485,true,true,1.2052858711086856e-14,1.5543122344752192e-15,Inf,2.3283064365386964e-14,0.0,true,0.8666930198669434,false,0
sequential_reduced_q,0.5,upper,held_out_seed49,49,320000,FiniteSolved,0.49703392513785294,0.49932065421858923,true,17.39380804190056,17.39380804190056,true,true,2.853273173286652e-14,4.440892098500626e-16,7.605027718682322e-15,2.9103830456733705e-15,0.0,true,0.4627799987792969,false,0
