method,delta,direction,stage_id,anchor_gt_pct,n_trials,n_finite_solved,n_above_cap,n_screened,n_infinite_delta,n_numerical_failure,best_incumbent_gt_pct,cumulative_evals,wall_s,q_basis_norm,stage_fingerprint
Method_A_welfare_plus_A,0.5,upper,1,17.39380804190056,1,0,0,0,1,0,NaN,1,1.6616230010986328,0.0,9372549961433187693
Method_A_welfare_plus_A,0.5,upper,2,17.39380804190056,1,0,0,0,1,0,NaN,2,0.07675313949584961,0.0,8509244521811430703
Method_B_reduced_q,0.5,upper,1,17.39380804190056,236,56,120,0,0,60,17.519863732655814,236,30.41312003135681,0.0004915411105909408,7679902435137326183
Method_B_reduced_q,0.5,upper,2,17.39380804190056,173,57,73,0,0,43,17.538124483890115,409,23.76240587234497,0.00048730468156570685,9548498908798260114
Method_B_reduced_q,0.5,upper,3,17.39380804190056,212,41,125,0,0,46,17.55865200745641,621,27.908107042312622,0.00048730468156570685,1412319769443541451
Method_B_reduced_q,0.5,upper,4,17.39380804190056,91,13,43,0,15,20,17.58602593378261,712,10.660758018493652,0.0004831047649104438,2503930043924718882
Method_B_reduced_q,0.5,upper,5,17.39380804190056,87,21,28,0,27,11,17.58602593378261,799,10.313569784164429,0.0004915411105909408,14087716833375221004
Method_C_production_Af,0.5,upper,1,17.39380804190056,248,53,195,0,0,0,17.697362061681467,248,37.21569895744324,0.0,0
Method_C_production_Af,0.5,upper,2,17.39380804190056,260,44,216,0,0,0,18.335320571904923,508,31.200599193572998,0.0,0
Method_C_production_Af,0.5,upper,3,17.39380804190056,236,32,184,0,20,0,18.425015820126788,744,22.143203020095825,0.0,0
Method_C_production_Af,0.5,upper,4,17.39380804190056,123,13,110,0,0,0,18.425015820126788,867,10.825443029403687,0.0,0
Method_C_production_Af,0.5,upper,5,17.39380804190056,123,13,110,0,0,0,18.425015820126788,990,10.689743995666504,0.0,0
Method_A_welfare_plus_A,0.5,lower,1,0.056170094332419485,1,0,0,0,1,0,NaN,1,0.07671499252319336,0.0,9372549961433187693
Method_A_welfare_plus_A,0.5,lower,2,0.056170094332419485,1,0,0,0,1,0,NaN,2,0.07840991020202637,0.0,8509244521811430703
Method_B_reduced_q,0.5,lower,1,0.056170094332419485,205,172,5,0,0,28,0.02927854721943568,205,68.7156629562378,0.0008479952045909639,7283534261432974488
Method_B_reduced_q,0.5,lower,2,0.056170094332419485,211,70,60,0,10,71,0.016687798739378756,416,47.79336404800415,0.0008778704836293885,10098019425150851098
Method_B_reduced_q,0.5,lower,3,0.056170094332419485,31,15,10,0,0,6,0.015800228788687143,447,9.805562019348145,0.0008406866165185044,13118977261644071893
Method_B_reduced_q,0.5,lower,4,0.056170094332419485,60,14,21,0,16,9,0.013756219143623571,507,12.193668842315674,0.0008553673305603796,10785217107203187271
Method_B_reduced_q,0.5,lower,5,0.056170094332419485,209,170,4,0,0,35,0.012822043696991692,716,75.55049991607666,0.0016514165172299478,4239937994000689181
Method_C_production_Af,0.5,lower,1,0.056170094332419485,250,160,81,0,9,0,7.489424985618875,250,60.16129493713379,0.0,0
Method_C_production_Af,0.5,lower,2,0.056170094332419485,250,160,81,0,9,0,7.489424985618875,500,60.04564690589905,0.0,0
