side,k,t,switch_o,switch_d,switch_dir,A_kind,B_feasible,B_gravA,B_gravF,B_kind,B_rt_dlogA,B_rt_dlogf,B_rt_dq,C_feasible,C_gravA,C_gravF,C_kind,C_Delta,C_cert,C_corrector_time_s,C_rt_dlogA,C_rt_dlogf,C_rt_dq,ratio_A,ratio_F
minus,1,0.008730293615073301,14,19,on,AboveEvaluationCap,true,-5.096251198821733e-8,-7.644376898152672e-8,FiniteSolved,1.0426617569336827e-7,1.563992633180078e-7,1.4432899320127035e-15,true,-5.096251198821733e-8,-7.644376898152672e-8,FiniteSolved,0.4832644544492075,NaN,0.29393911361694336,1.0426617569336827e-7,1.563992633180078e-7,1.4432899320127035e-15,2.0459387032859544,2.0459386736386977
minus,2,0.010848133105251397,14,16,off,AboveEvaluationCap,true,-9.161704728199993e-11,-1.3742640359026836e-10,FiniteSolved,1.8744339413956368e-10,2.8116531325395044e-10,1.8041124150158794e-15,true,-9.161704728199993e-11,-1.3742640359026836e-10,FiniteSolved,0.4832766878338065,NaN,0.23203110694885254,1.8744339413956368e-10,2.8116531325395044e-10,1.8041124150158794e-15,2.045944501601405,2.0459337209480806
minus,3,0.015285516795707672,2,14,on,AboveEvaluationCap,false,3.002487840686463e-6,4.5037317595308934e-6,FiniteSolved,6.142906039396934e-6,9.214359058873356e-6,1.5543122344752192e-15,false,6.919881912037518e-6,1.0379822866557475e-5,FiniteSolved,0.4832731406698446,NaN,75.4295859336853,1.41576541352606e-5,2.12364812028909e-5,1.5543122344752192e-15,2.045938690172238,2.0459386904676626
minus,4,0.03364745346544859,18,7,off,AboveEvaluationCap,false,2.64141891082037e-6,3.962128364953799e-6,FiniteSolved,5.4041811461402744e-6,8.106271718766322e-6,1.609823385706477e-15,false,6.558812982171425e-6,9.83821947198038e-6,FiniteSolved,0.48326942664896955,NaN,86.67536211013794,1.341892924200394e-5,2.0128393862783867e-5,1.609823385706477e-15,2.045938690198991,2.045938690441933
minus,5,0.06027506933301217,14,16,off,AboveEvaluationCap,false,2.6840160022301163e-6,4.026024001957396e-6,FiniteSolved,5.4913321831939754e-6,8.236998274568919e-6,2.0539125955565396e-15,false,7.949308114985065e-6,1.1923962170978797e-5,FiniteSolved,0.48325738231939813,NaN,83.2213830947876,1.626379703267844e-5,2.439569554901766e-5,2.0539125955565396e-15,2.045938690188636,2.0459386904458037
plus,1,0.01600190985439499,18,12,on,FiniteSolved,true,1.3114155339444267e-7,1.9671232887041867e-7,FiniteSolved,2.683075774889687e-7,4.024613664554977e-7,1.1657341758564144e-15,true,1.3114155339444267e-7,1.9671232887041867e-7,FiniteSolved,0.48325478549510126,NaN,0.31180691719055176,2.683075774889687e-7,4.024613664554977e-7,1.1657341758564144e-15,2.0459386864357416,2.0459387002662814
plus,2,0.024194630587408027,10,13,on,FiniteSolved,false,8.797944883731645e-7,1.31969173222668e-6,FiniteSolved,1.8000055832523287e-6,2.7000083742123593e-6,1.6930901125533637e-15,false,8.797944883731645e-7,1.31969173222668e-6,FiniteSolved,0.48325461533124703,NaN,0.27359700202941895,1.8000055832523287e-6,2.7000083742123593e-6,1.6930901125533637e-15,2.0459386902738323,2.0459386902854266
plus,3,0.034249253647906854,8,16,on,FiniteSolved,false,1.0802805791021441e-6,1.620420867487482e-6,FiniteSolved,2.2101878331959313e-6,3.3152817495718523e-6,2.0539125955565396e-15,false,1.0802805791021441e-6,1.620420867487482e-6,FiniteSolved,0.4832544089719164,NaN,80.6515200138092,2.2101878331959313e-6,3.3152817495718523e-6,2.0539125955565396e-15,2.045938690328849,2.0459386916636726
plus,4,0.04471104194256288,14,19,off,FiniteSolved,false,1.1229543867008474e-6,1.6844315787745145e-6,FiniteSolved,2.297495827363605e-6,3.446243741045407e-6,1.5543122344752192e-15,false,1.1229543867008474e-6,1.6844315787745145e-6,FiniteSolved,0.48324350855593345,NaN,88.14909887313843,2.297495827363605e-6,3.446243741045407e-6,1.5543122344752192e-15,2.045938690451594,2.045938692002364
plus,5,0.05360360001759609,4,10,off,FiniteSolved,true,-8.801582707107514e-8,-1.3202374127274652e-7,FiniteSolved,1.8007498603367367e-7,2.701124790505105e-7,1.27675647831893e-15,true,-8.801582707107514e-8,-1.3202374127274652e-7,FiniteSolved,0.48324174626423033,NaN,0.3087911605834961,1.8007498603367367e-7,2.701124790505105e-7,1.27675647831893e-15,2.0459386910976622,2.0459386807747544
