side,k,t,switch_o,switch_d,switch_dir,A_kind,B_feasible,B_gravA,B_gravF,B_focal,B_kind,C_feasible,C_gravA,C_gravF,C_focal,C_kind,C_Delta,C_cert,C_time_s,D_feasible,D_gravA,D_gravF,D_focal,D_kind,D_Delta,D_cert,D_time_s,D_disc_cand,D_cont_iters,D_cont_status,D_macro,D_rt_exact,dA_norm_C,dA_norm_D,dq_norm_C,dq_norm_D,df_norm_C,df_norm_D,divergence_pstar
minus,1,0.008730293615073301,14,19,on,AboveEvaluationCap,true,-5.096251198821733e-8,-7.644376898152672e-8,-8.231486503367048e-8,FiniteSolved,true,-5.096251198821733e-8,-7.644376898152672e-8,-8.231486503367048e-8,FiniteSolved,0.4832644544492075,NaN,0.2666590213775635,false,1.1624868623272278e-8,1.7437301824685392e-8,-6.367414326921908e-15,FiniteSolved,0.4832640663835211,NaN,23.53628897666931,2000,1,converged,1,false,1.5142129951156713e-6,0.0002690394386146645,3.11542752749798e-6,0.0005768526517158615,5.6991853406106596e-5,0.0012593317857097722,0.4832764950468767
minus,2,0.010848133105251397,14,16,off,AboveEvaluationCap,true,-9.161704728199993e-11,-1.3742640359026836e-10,-1.0228323084452256e-7,FiniteSolved,true,-9.161704728199993e-11,-1.3742640359026836e-10,-1.0228323084452256e-7,FiniteSolved,0.4832766878338065,NaN,0.26178407669067383,false,-9.161704728199993e-11,-1.3742651461257083e-10,-1.0227268928660396e-14,FiniteSolved,0.4832764950469392,NaN,0.29153895378112793,0,1,converged,1,true,1.7367887213573684e-6,1.7367887213573684e-6,3.871183947318059e-6,3.866711188621546e-6,5.972873384604729e-5,5.9706759471029374e-5,0.4832764950468767
minus,3,0.015285516795707672,2,14,on,AboveEvaluationCap,false,3.002487840686463e-6,4.5037317595308934e-6,-1.942817762630201e-6,FiniteSolved,false,6.919881912037518e-6,1.0379822866557475e-5,3.930752367743584e-8,FiniteSolved,0.4832731406698446,NaN,81.48495388031006,false,-1.6304868233341097e-8,-2.4457303737790426e-8,-7.56158816612145e-7,FiniteSolved,0.4832734607036021,NaN,116.6591432094574,10000,10,returned_to_discrete,5,false,1.5078188272028525e-5,0.000451425744175324,4.323112457270327e-5,0.0008356470301217834,8.321706421973568e-5,0.023539796825877764,0.4832764950468767
minus,4,0.03364745346544859,18,7,off,AboveEvaluationCap,false,2.64141891082037e-6,3.962128364953799e-6,-2.1159454668276646e-6,FiniteSolved,false,6.558812982171425e-6,9.83821947198038e-6,-1.3432701061742272e-7,FiniteSolved,0.48326942664896955,NaN,90.45799088478088,false,9.44849198880604e-10,1.41727307667594e-9,-6.817043340189164e-7,FiniteSolved,0.4832705702965822,NaN,110.14283299446106,10000,11,returned_to_discrete,5,false,1.5112289483038308e-5,0.00014478918874309408,4.454550169367111e-5,0.00038232024948488133,0.0001504396986526933,0.02214658594089375,0.4832764950468767
minus,5,0.06027506933301217,14,16,off,AboveEvaluationCap,false,2.6840160022301163e-6,4.026024001957396e-6,-2.3670072412083005e-6,FiniteSolved,false,7.949308114985065e-6,1.1923962170978797e-5,3.3452191919336696e-7,FiniteSolved,0.48325738231939813,NaN,74.95266199111938,false,3.4749653154975135e-9,5.212446918534397e-9,-5.737335623093386e-7,FiniteSolved,0.48326087147584856,NaN,118.14092016220093,10000,15,returned_to_discrete,5,false,1.9499258644804546e-5,8.148288939550517e-6,5.664128232026232e-5,4.4208194455684554e-5,0.0001958753682948837,0.0013115236784666726,0.4832764950468767
minus,6,0.06635456187332645,15,16,on,AboveEvaluationCap,false,1.0144915515430952e-6,1.5217373261489087e-6,-2.4243285112473993e-6,FiniteSolved,false,6.279783664298044e-6,9.419675495281332e-6,2.7703284157426216e-7,FiniteSolved,0.4832570083342611,NaN,91.23023509979248,false,1.875271493645414e-9,2.8129061302450964e-9,-5.490823715950873e-7,FiniteSolved,0.48325767283246157,NaN,116.418625831604,10000,8,returned_to_discrete,5,false,1.950850267973532e-5,0.00047907765534072115,5.750348621473651e-5,0.0008890749996953149,0.00020768941478093553,0.02516672848050132,0.4832764950468767
minus,7,0.06723119363865857,12,13,off,AboveEvaluationCap,false,4.2778408854138306e-6,6.416761326732967e-6,-2.4325939461399206e-6,FiniteSolved,false,9.54313299816878e-6,1.4314699495754368e-5,2.6874320931073235e-7,FiniteSolved,0.4832570076703655,NaN,92.43381690979004,false,3.0510323822952046e-8,4.576548395807123e-8,-5.455277520101627e-7,FiniteSolved,0.48325826771933844,NaN,118.16191601753235,10000,11,returned_to_discrete,5,false,2.0761002301310503e-5,0.00038516531992170645,5.7633484174748155e-5,0.0010667275986454472,0.00021434611481850038,0.018522210991552237,0.4832764950468767
minus,8,0.06978360901880831,8,18,on,AboveEvaluationCap,false,7.101198834957856e-6,1.0651798251437583e-5,-2.456659722925413e-6,FiniteSolved,false,1.2366490947712805e-5,1.8549736420570007e-5,2.446069805843143e-7,FiniteSolved,0.48325633226552345,NaN,83.31821799278259,false,-5.203102393380732e-10,-7.804665802524369e-10,-5.351781645246619e-7,FiniteSolved,0.4832593412416913,NaN,115.89078688621521,10000,10,returned_to_discrete,5,false,2.180997090490088e-5,0.00029825877229891235,5.801993446481324e-5,0.0004265461905167723,0.00021985784701980516,0.0013083846331450404,0.4832764950468767
minus,9,0.08093884864881132,14,19,on,AboveEvaluationCap,false,6.817173553552713e-6,1.022576032938538e-5,-2.5618383507255457e-6,FiniteSolved,false,1.2082465666307662e-5,1.8123698498517804e-5,1.3912044323285085e-7,FiniteSolved,0.4832553863090333,NaN,82.92498207092285,false,-4.084490323741363e-8,-6.126735607736578e-8,-4.899455809382753e-7,FiniteSolved,0.4832583350485751,NaN,110.2954969406128,10000,11,returned_to_discrete,5,false,2.3925686566230008e-5,7.282831698825195e-5,5.984244758979591e-5,0.00012336464531440182,0.0004273764500070303,0.15666026009200643,0.4832764950468767
minus,10,0.08215512564644636,5,8,on,AboveEvaluationCap,false,6.8171731288924065e-6,1.0225759692117364e-5,-2.573306177616593e-6,FiniteSolved,false,1.2082465241647355e-5,1.8123697861249788e-5,1.2761904446526959e-7,FiniteSolved,0.48325540798352556,NaN,79.52351880073547,false,-4.084532789772055e-8,-6.126799323435961e-8,-4.850138658257472e-7,FiniteSolved,0.4832583257544197,NaN,117.0562379360199,10000,14,returned_to_discrete,5,false,2.392568656625328e-5,7.282831698825959e-5,6.0053769498009545e-5,0.00012346848794572569,0.00042903555388684516,0.15666026453984908,0.4832764950468767
