step,t,o,d,k,row_s,dir,z,q0_od,slope_od
1,0.008412617691546586,14,19,72152,13761,on,1.3038834644101465,0.2653488285611605,-0.00020645581806971736
2,0.010530457181724682,14,16,72152,13761,off,1.3038834644101465,0.2653447843842407,0.0002191113844687842
3,0.014665291628666413,2,14,69630,30241,on,1.2629454267973956,0.23344681625940494,-1.2479202102955167e-5
4,0.031171519312824827,18,7,71437,65179,off,1.2907907768602789,0.2552541643467388,2.795930053040019e-5
5,0.05922542266674491,14,16,72153,26324,off,1.3038973764271542,0.2653447843842407,0.0002191113844687842
6,0.06622306710852663,15,16,72828,7614,on,1.3172843518723591,0.275572511486067,-3.069065969862894e-6
7,0.06709969887385875,12,13,73455,19461,off,1.3310219807191948,0.28594701089828783,6.381249259557187e-7
8,0.06943353378251055,8,18,69957,77556,on,1.2676159092692318,0.23713833099062223,-6.215055193659058e-6
9,0.08075640709916607,14,19,72151,65491,on,1.3038639900178548,0.2653488285611605,-0.00020645581806971736
10,0.08197268409680111,5,8,72188,9252,on,1.3044984313249537,0.265818770554178,-1.7990240591125861e-6
11,0.08267124437136397,6,20,72797,25953,off,1.3165952388015965,0.27504890064381876,1.6827873648428415e-6
12,0.09678491987118157,20,8,72280,829,on,1.3062898699368728,0.26719141998548257,-4.7660378090230715e-6
13,0.09882462318378116,18,12,71227,16523,off,1.2871557911363272,0.2524236357247544,0.00011470215525327676
14,0.10295980528691485,11,8,71923,61229,on,1.299743089792628,0.2621683782327896,-1.7060364269960715e-5
15,0.1227615527183573,13,12,73324,54070,on,1.3280308824952063,0.28369766604758906,-2.935550757920957e-6
