step,t,o,d,k,row_s,dir,z,q0_od,slope_od
1,0.014773001744443036,18,12,71226,7352,on,1.2871390197441175,0.2524236357247544,-0.00011470215525327676
2,0.022965722477456072,10,13,71002,42844,on,1.2835423736501415,0.24962377195265356,-1.6122906407456394e-6
3,0.03277748871263066,8,16,71322,45167,on,1.288945371154133,0.2538244206757927,-2.3922728499270463e-6
4,0.04326730784331752,14,19,72153,26324,off,1.3038973764271542,0.2653488285611605,0.00020645581806971736
5,0.05289220183828663,4,10,69531,79234,off,1.2615666256182225,0.23235344494563231,1.6209553148321953e-5
6,0.05763485636701641,14,16,72151,65491,on,1.3038639900178548,0.2653447843842407,-0.0002191113844687842
7,0.06091036435782297,20,5,72173,40055,off,1.3042091555704605,0.2655951195657256,2.834415638025556e-5
8,0.06808460449530582,6,13,71791,51836,on,1.2971521622281168,0.26017160863612715,-5.7513749609494624e-6
9,0.07185355798267111,16,3,72152,68091,off,1.3036582926877536,0.2651740234076381,5.013976542844745e-6
10,0.07272314855656384,2,8,71925,58836,on,1.2995806153165768,0.262041892694829,-3.903539839145154e-6
11,0.07738930249450356,20,4,72253,7747,on,1.305665264154523,0.2667149736716789,-2.9485081263047608e-5
12,0.07789740989985966,7,5,71728,48175,on,1.2958299056926106,0.2591535810934197,-2.8722191810437447e-5
13,0.08029441707258664,5,2,72365,31448,off,1.3078755092820489,0.2684035864201133,6.048931923852141e-6
14,0.08245166213338513,18,9,71228,71549,off,1.2872332251886434,0.25248548648010616,0.00011693965606501822
15,0.10214697610289918,18,12,71225,53207,on,1.2871261201231616,0.2524236357247544,-0.00011470215525327676
