k,label,t,kind,Delta,cert,switch_o,switch_d,switch_dir
1,below,0.013544093634491081,FiniteSolved,0.4832762543491123,NaN,18,12,on
1,above,0.01600190985439499,FiniteSolved,0.4832498176598806,NaN,18,12,on
2,below,0.021736814367504118,FiniteSolved,0.4832497157399269,NaN,10,13,on
2,above,0.024194630587408027,FiniteSolved,0.48324900032464657,NaN,10,13,on
3,below,0.03130572377735447,FiniteSolved,0.4832488739473029,NaN,8,16,on
3,above,0.034249253647906854,FiniteSolved,0.48324837258103925,NaN,8,16,on
4,below,0.041823573744072154,FiniteSolved,0.4832482379713135,NaN,14,19,off
4,above,0.04471104194256288,FiniteSolved,0.4832360296900819,NaN,14,19,off
5,below,0.05218080365897716,FiniteSolved,0.48323589695662306,NaN,4,10,off
5,above,0.05360360001759609,FiniteSolved,0.4832296512220753,NaN,4,10,off
