label,technology_coordinate,participation_coordinate,direction,g,kappa_ratio,GT,DeltaStar,nStatus,n_fc,n_ga,n_above_cap,n_numerical_failure,wall
logA__logf,logA,logf,upper,-0.04617285704390778,1.008458206641642,-0.008458206641642096,0.00262717321207675,-410,58,26,12,0,17.947798013687134
logA__logf,logA,logf,lower,-0.029586243180610823,1.0196713597130462,-0.019671359713046233,0.009366443114777613,-410,74,26,61,0,4.563669919967651
logA__logcutoff,logA,logcutoff,upper,-0.04395702629711012,1.0099490226366041,-0.009949022636604132,0.0025482204358152367,-410,55,26,12,0,6.395186901092529
logA__logcutoff,logA,logcutoff,lower,-0.017799244180331603,1.0277155006124654,-0.027715500612465416,0.009899684064672995,-410,124,26,45,0,9.050658941268921
theta_logA__logf,theta_logA,logf,upper,-0.06202252858578109,0.9978584850719933,0.002141514928006738,0.006932924560145667,-410,79,26,71,0,23.542574167251587
theta_logA__logf,theta_logA,logf,lower,-0.030064404565229907,1.0193463665360496,-0.019346366536049597,0.009901913573842711,-410,110,26,41,0,10.010164976119995
theta_logA__logcutoff,theta_logA,logcutoff,upper,-0.06658673877779411,0.9948268092345182,0.005173190765481839,0.009118069305224873,-410,75,26,37,0,24.910675048828125
theta_logA__logcutoff,theta_logA,logcutoff,lower,-0.02286184003073013,1.0242527419295573,-0.024252741929557287,0.009285704618600931,-410,76,26,25,0,26.272002935409546
sigma_minus_one_logA__logf,sigma_minus_one_logA,logf,upper,-0.044147622850631695,1.009820702253953,-0.009820702253952929,0.002035390981935573,-410,76,26,62,0,16.119184017181396
sigma_minus_one_logA__logf,sigma_minus_one_logA,logf,lower,-0.026092130956007195,1.022049359078685,-0.022049359078684994,0.009577129232784403,-410,88,26,64,0,6.631363868713379
sigma_minus_one_logA__logcutoff,sigma_minus_one_logA,logcutoff,upper,-0.043742180008889665,1.010093688862561,-0.010093688862560901,0.0030527999835116074,-410,55,26,18,0,4.100635051727295
sigma_minus_one_logA__logcutoff,sigma_minus_one_logA,logcutoff,lower,-0.01678791340204677,1.0284086411290478,-0.02840864112904784,0.009926067870172443,-410,81,26,58,0,4.991700887680054
