target_delta,g,direction,sign,step_norm,Delta0,finite_after_step,Delta_after_step,delta_reduction,status
0.5,-0.48546126592859407,af_random_1,1.0,0.05,0.4832764950468894,false,NaN,NaN,NumericalFailure
0.5,-0.48546126592859407,af_random_1,-1.0,0.05,0.4832764950468894,false,NaN,NaN,NumericalFailure
0.5,-0.48546126592859407,af_random_2,1.0,0.05,0.4832764950468894,false,NaN,NaN,NumericalFailure
0.5,-0.48546126592859407,af_random_2,-1.0,0.05,0.4832764950468894,false,NaN,NaN,NumericalFailure
0.5,-0.48546126592859407,af_random_3,1.0,0.05,0.4832764950468894,false,NaN,NaN,NumericalFailure
0.5,-0.48546126592859407,af_random_3,-1.0,0.05,0.4832764950468894,false,NaN,NaN,NumericalFailure
0.5,-0.48546126592859407,svd_near_null,1.0,0.05,0.4832764950468894,false,NaN,NaN,NumericalFailure
0.5,-0.48546126592859407,svd_near_null,-1.0,0.05,0.4832764950468894,true,1.510118285974391e14,-1.5101182859743862e14,FiniteSolved
0.5,-0.48546126592859407,svd_steepest,1.0,0.05,0.4832764950468894,true,0.6046840248839506,-0.12140752983706116,FiniteSolved
0.5,-0.48546126592859407,svd_steepest,-1.0,0.05,0.4832764950468894,true,0.6161307176531553,-0.1328542226062659,FiniteSolved
0.8,-0.493534922310887,af_random_1,1.0,0.05,0.7626745479773996,false,NaN,NaN,NumericalFailure
0.8,-0.493534922310887,af_random_1,-1.0,0.05,0.7626745479773996,false,NaN,NaN,NumericalFailure
0.8,-0.493534922310887,af_random_2,1.0,0.05,0.7626745479773996,false,NaN,NaN,NumericalFailure
0.8,-0.493534922310887,af_random_2,-1.0,0.05,0.7626745479773996,false,NaN,NaN,NumericalFailure
0.8,-0.493534922310887,af_random_3,1.0,0.05,0.7626745479773996,false,NaN,NaN,NumericalFailure
0.8,-0.493534922310887,af_random_3,-1.0,0.05,0.7626745479773996,false,NaN,NaN,NumericalFailure
0.8,-0.493534922310887,svd_near_null,1.0,0.05,0.7626745479773996,false,NaN,NaN,NumericalFailure
0.8,-0.493534922310887,svd_near_null,-1.0,0.05,0.7626745479773996,false,NaN,NaN,NumericalFailure
0.8,-0.493534922310887,svd_steepest,1.0,0.05,0.7626745479773996,true,0.8866083549472599,-0.12393380696986023,FiniteSolved
0.8,-0.493534922310887,svd_steepest,-1.0,0.05,0.7626745479773996,true,0.8944706577231128,-0.1317961097457132,FiniteSolved
