index,singular_value,n_sub,n_sub_coordinates_of
1,141.64110091095546,80,797
2,122.47672845974411,80,797
3,108.45786501458986,80,797
4,13.208873386681626,80,797
5,12.117008139803406,80,797
6,9.90813995759869,80,797
7,6.666870956160793,80,797
8,5.572876252564404,80,797
9,4.590299261328522,80,797
10,3.3952448116080975,80,797
11,2.666609094138979,80,797
12,2.5016067293316753,80,797
13,2.381829054651102,80,797
14,2.2801997982523616,80,797
15,2.2465879700686022,80,797
16,1.9827858406801409,80,797
17,1.9754688338778394,80,797
18,1.9458967706178738,80,797
19,1.5523088216324241,80,797
20,1.528584560625597,80,797
21,1.4305757639260415,80,797
22,1.3834289235102564,80,797
23,1.2327675137313907,80,797
24,1.183268396723014,80,797
25,1.1808493393054598,80,797
26,1.1592989560758162,80,797
27,1.1482255646925588,80,797
28,1.061884389018006,80,797
29,0.9657087502948142,80,797
30,0.7749471913247056,80,797
31,0.7253311221384033,80,797
32,0.6981671055985066,80,797
33,0.6397066853187984,80,797
34,0.6155117165136287,80,797
35,0.5467097508469643,80,797
36,0.507313360713991,80,797
37,0.4753839187192133,80,797
38,0.42021300119021165,80,797
39,0.37867220421817255,80,797
40,0.37499892588167527,80,797
41,0.3731013398589394,80,797
42,0.3651814549034275,80,797
43,0.3646022967870598,80,797
44,0.3581557060486592,80,797
45,0.32672615489323337,80,797
46,0.29339277976056893,80,797
47,0.2890469038209581,80,797
48,0.2032317383003815,80,797
49,0.19273847070129466,80,797
50,0.1896192777935933,80,797
51,0.14398381872737276,80,797
52,0.05554414424706483,80,797
53,1.2186145090283694e-14,80,797
54,1.2186145090283693e-14,80,797
55,1.2186145090283693e-14,80,797
56,1.2186145090283693e-14,80,797
57,1.2186145090283693e-14,80,797
58,1.2186145090283693e-14,80,797
59,1.2186145090283693e-14,80,797
60,1.2186145090283693e-14,80,797
61,1.2186145090283693e-14,80,797
62,1.2186145090283693e-14,80,797
63,1.2186145090283693e-14,80,797
64,1.2186145090283693e-14,80,797
65,1.2186145090283693e-14,80,797
66,1.2186145090283693e-14,80,797
67,1.2186145090283693e-14,80,797
68,1.2186145090283693e-14,80,797
69,1.2186145090283693e-14,80,797
70,1.2186145090283693e-14,80,797
71,1.2186145090283693e-14,80,797
72,1.2186145090283693e-14,80,797
73,1.2186145090283693e-14,80,797
74,1.2186145090283693e-14,80,797
75,1.2186145090283693e-14,80,797
76,1.2186145090283693e-14,80,797
77,1.2186145090283693e-14,80,797
78,1.2186145090283693e-14,80,797
79,1.2186145090283693e-14,80,797
80,1.2186145090283693e-14,80,797
