category,count,total_s,mean_ms,median_ms,p90_ms,max_ms,algorithm,trajectory_total_s
inner_solve_cold,4,91.367935419,22841.98385475,373.2481,90105.625153,90105.625153,active,180.572117981
inner_solve_total,4,91.367935419,22841.98385475,373.2481,90105.625153,90105.625153,active,180.572117981
ga_total_callback_success,10,54.397868481,5439.7868481000005,8821.507649,9108.782924,9260.193644,active,180.572117981
ga_divergence_gradient,6,54.016895664,9002.815944,8943.234107,9258.300072,9258.300072,active,180.572117981
fc_inner_obj_eval,9356,33.384184531,3.56821125812313,3.134832,5.397758,12.406692,active,180.572117981
fc_inner_hess_eval,2575,25.801339492,10.019937666796116,9.047741,13.203205,86.538946,active,180.572117981
fc_inner_grad_eval,6410,15.645054496,2.440726130421217,2.28774,2.892029,10.020614,active,180.572117981
fc_total_callback_success,62,10.73982043,173.22291016129032,125.891553,389.589935,525.243651,active,180.572117981
inner_solve_above_evaluation_cap,46,7.399098933,160.84997680434782,126.61869,265.217904,525.222178,active,180.572117981
fc_operator_merge,70,6.387282261,91.24688944285715,81.215652,122.482507,133.331264,active,180.572117981
moment_operator_link_update,70,5.914033892,84.48619845714286,73.819992,111.109962,118.751779,active,180.572117981
fc_inner_dpsi_eval,8997,4.847140959,0.538750801267089,0.438054,0.948578,5.043567,active,180.572117981
inner_solve_warm_success,6,2.357431066,392.9051776666667,379.878873,413.949889,413.949889,active,180.572117981
inner_solve_infinite_delta_certified,14,1.250586704,89.32762171428571,85.597553,108.946972,112.814273,active,180.572117981
screen_stored_dual_rejected,31,0.772887347,24.931849903225807,22.891152,37.199207,47.642551,active,180.572117981
screen_stored_dual_passed,20,0.425753322,21.287666100000003,21.75015,31.772098,37.299821,active,180.572117981
fc_candidate_registration,6,0.055380232,9.230038666666665,9.673066,12.727077,12.727077,active,180.572117981
fc_reg_lfd_recover,6,0.054258552,9.043092,9.358226,12.53777,12.53777,active,180.572117981
screen_range_passed,52,0.01818878,0.34978423076923076,0.337745,0.3768,0.596842,active,180.572117981
fc_cache_insert,6,0.014760325,2.4600541666666667,2.696748,2.803841,2.803841,active,180.572117981
fc_theta_expand,70,0.001840951,0.026299299999999998,0.024085,0.033121,0.069053,active,180.572117981
fc_reg_outer_state,6,0.000575187,0.0958645,0.097885,0.104927,0.104927,active,180.572117981
outer_state_cutoff,10,0.000413032,0.0413032,0.041894,0.046869,0.047293,active,180.572117981
fc_reg_kkt_equilibrium_check,6,0.000361749,0.0602915,0.049073,0.141924,0.141924,active,180.572117981
outer_state_total,4,0.000359058,0.0897645,0.072956,0.113964,0.113964,active,180.572117981
outer_state_expand,10,0.000323668,0.0323668,0.034195,0.037834,0.04984,active,180.572117981
screen_range_rejected,14,0.000322965,0.023068928571428574,0.013635,0.05391,0.083438,active,180.572117981
