category,count,total_s,mean_ms,median_ms,p90_ms,max_ms,pct_of_total
fc_total_callback_success,60,20.72453818,345.4089696666667,444.408931,546.084506,1363.567408,26.65
inner_solve_warm_success,37,16.766710219,453.15433024324324,454.312813,523.736776,613.966732,21.56
fc_inner_obj_eval,915,6.529899773,7.136502484153005,7.22765,7.947222,31.40574,8.4
ga_total_callback_success,4,5.679666793,1419.91669825,1016.026418,2630.962778,2630.962778,7.3
ga_divergence_gradient,4,5.669608175,1417.40204375,1012.932034,2628.757211,2628.757211,7.29
fc_operator_merge,45,5.650144451,125.55876557777778,126.555446,151.155742,204.451941,7.26
moment_operator_link_update,45,5.288390918,117.51979817777779,119.491598,142.064488,191.048165,6.8
fc_inner_hess_eval,243,4.900582317,20.167005419753085,17.096008,33.32515,49.17454,6.3
inner_solve_above_evaluation_cap,3,2.435390954,811.7969846666666,615.426742,1363.541339,1363.541339,3.13
screen_stored_dual_passed,39,2.004196552,51.38965517948718,56.087985,61.294908,79.447322,2.58
inner_solve_cold,4,1.53718114,384.295285,388.307095,467.766047,467.766047,1.98
inner_solve_total,4,1.53718114,384.295285,388.307095,467.766047,467.766047,1.98
fc_inner_grad_eval,294,1.24260397,4.226544115646259,4.23675,4.833458,6.610383,1.6
fc_candidate_registration,57,0.751188872,13.178752140350877,13.367116,14.937417,20.366987,0.97
fc_reg_lfd_recover,57,0.739045454,12.965709719298246,13.153665,14.722543,20.098536,0.95
fc_inner_dpsi_eval,631,0.510125638,0.8084399968304279,0.845234,1.063696,1.471071,0.66
fc_cache_insert,37,0.171907151,4.646139216216216,2.809747,4.099631,60.212834,0.22
screen_range_passed,40,0.0174733,0.4368325,0.390078,0.550478,0.754277,0.02
fc_reg_outer_state,57,0.006723892,0.11796301754385966,0.114509,0.146328,0.204354,0.01
fc_reg_kkt_equilibrium_check,57,0.003698725,0.06488991228070176,0.063927,0.08676,0.13546,0.0
outer_state_cutoff,61,0.003034999,0.04975408196721312,0.047767,0.063561,0.091744,0.0
outer_state_expand,61,0.002732319,0.04479211475409836,0.043507,0.056705,0.093915,0.0
fc_theta_expand,45,0.001723196,0.038293244444444444,0.038339,0.052213,0.078075,0.0
outer_state_constraints,61,0.001009074,0.016542196721311478,0.015916,0.020944,0.060652,0.0
outer_state_total,4,0.000435829,0.10895725,0.106812,0.134945,0.134945,0.0
fc_warm_start_resolve,40,3.3664e-5,0.0008416000000000001,0.000746,0.001074,0.002989,0.0
inner_solve_cache_hit,24,0.0,0.0,0.0,0.0,0.0,0.0
eval_verified,4,0.0,0.0,0.0,0.0,0.0,0.0
