fixture,gamma_fraction,g,gamma_prime,wage_ratio,kappa_ratio,GT,DeltaStar,classification,inner_status,inner_iterations,objective_callbacks,gradient_callbacks,hessian_callbacks,wall_s,cutoff_min_slack,gravity_residual_A,gravity_residual_f,moment_residual,primal_dual_gap
D4_seed29_W20000,0.000000,-0.04238731,0.95849847,0.96155401,0.93476254,0.06523746,7.55450876e-06,FiniteSolved,0,8,8,4,3,0.0323,1.655231e-02,-1.517883e-17,4.163336e-17,3.219647e-15,3.172138e-18
D4_seed29_W20000,0.100000,-0.07454266,0.92816788,0.96155401,0.91493739,0.08506261,3.42170519e-02,FiniteSolved,0,13,13,6,5,0.0254,1.655231e-02,-1.517883e-17,4.510281e-17,6.881301e-14,1.549455e-14
D4_seed29_W20000,0.200000,-0.10740244,0.89816414,0.96155401,0.89511223,0.10488777,1.28132955e-01,FiniteSolved,0,18,18,8,7,0.0407,1.655231e-02,-1.517883e-17,4.857226e-17,4.884981e-15,8.049117e-16
D4_seed29_W20000,0.350000,-0.15808257,0.85377928,0.96155401,0.86537450,0.13462550,5.72061283e-01,FiniteSolved,0,23,23,10,9,0.0455,1.655231e-02,-1.517883e-17,3.816392e-17,8.326673e-16,8.659740e-15
D4_seed29_W20000,0.500000,-0.21053507,0.81015065,0.96155401,0.83563677,0.16436323,NaN,NumericalFailure,-300,21,21,9,8,0.0608,NaN,NaN,NaN,NaN,NaN
D4_seed29_W20000,0.650000,-0.26488841,0.76729157,0.96155401,0.80589903,0.19410097,NaN,AboveEvaluationCap50,-1,5,5,0,0,0.0152,NaN,NaN,NaN,NaN,NaN
D4_seed29_W20000,0.800000,-0.32128557,0.72521612,0.96155401,0.77616130,0.22383870,NaN,AboveEvaluationCap50,-1,5,5,0,0,0.0151,NaN,NaN,NaN,NaN,NaN
D4_seed29_W20000,0.900000,-0.36009724,0.69760849,0.96155401,0.75633614,0.24366386,NaN,AboveEvaluationCap50,-1,5,5,0,0,0.0125,NaN,NaN,NaN,NaN,NaN
D4_seed29_W20000,0.950000,-0.37988627,0.68393919,0.96155401,0.74642357,0.25357643,NaN,AboveEvaluationCap50,-1,5,5,0,0,0.0153,NaN,NaN,NaN,NaN,NaN
D4_seed29_W20000,0.980000,-0.39188623,0.67578099,0.96155401,0.74047602,0.25952398,NaN,AboveEvaluationCap50,-1,5,5,0,0,0.0153,NaN,NaN,NaN,NaN,NaN
D4_seed29_W20000,0.995000,-0.39792241,0.67171415,0.96155401,0.73750225,0.26249775,NaN,AboveEvaluationCap50,-1,5,5,0,0,0.0154,NaN,NaN,NaN,NaN,NaN
D4_seed29_W20000,1.000000,-0.39993987,0.67036035,0.96155401,0.73651099,0.26348901,NaN,AboveEvaluationCap50,-1,5,5,0,0,0.0153,NaN,NaN,NaN,NaN,NaN
realD20_seed1_W80000,0.000000,-0.41877071,0.65785502,1.29520467,0.97969719,0.02030281,4.07206993e-04,FiniteSolved,0,12,12,6,5,0.4089,2.051175e-02,-3.756544e-15,6.071532e-16,2.342571e-14,2.494478e-15
realD20_seed1_W80000,0.100000,-0.43299890,0.64856120,1.29520467,0.97044825,0.02955175,1.90711405e-02,FiniteSolved,0,13,13,6,5,0.4175,2.455297e-02,-3.756544e-15,2.428613e-17,1.854290e-14,8.153200e-16
realD20_seed1_W80000,0.200000,-0.44736334,0.63931158,1.29520467,0.96119930,0.03880070,6.99374025e-02,FiniteSolved,0,16,16,7,6,0.4510,2.455297e-02,-3.756544e-15,4.579670e-16,1.354472e-14,4.954370e-15
realD20_seed1_W80000,0.350000,-0.46917127,0.62552044,1.29520467,0.94732589,0.05267411,2.22425806e-01,FiniteSolved,0,19,19,8,7,0.5136,2.455297e-02,-3.756544e-15,1.830133e-16,8.437695e-15,6.022960e-15
realD20_seed1_W80000,0.500000,-0.49130094,0.61182992,1.29520467,0.93345247,0.06654753,6.68464911e-01,FiniteSolved,0,24,24,10,9,0.6616,2.455297e-02,-3.756544e-15,2.454634e-16,2.793995e-13,1.071365e-13
realD20_seed1_W80000,0.650000,-0.51376198,0.59824077,1.29520467,0.91957906,0.08042094,4.06841517e+00,FiniteSolved,0,36,36,16,14,0.8087,2.455297e-02,-3.756544e-15,2.116363e-16,5.936273e-14,7.789325e-13
realD20_seed1_W80000,0.800000,-0.53656448,0.58475374,1.29520467,0.90570565,0.09429435,NaN,NumericalFailure,-300,61,61,35,20,1.4131,NaN,NaN,NaN,NaN,NaN
realD20_seed1_W80000,0.900000,-0.55196102,0.57581951,1.29520467,0.89645670,0.10354330,NaN,AboveEvaluationCap50,-1,7,7,0,0,0.1847,NaN,NaN,NaN,NaN,NaN
realD20_seed1_W80000,0.950000,-0.55971896,0.57136962,1.29520467,0.89183223,0.10816777,NaN,AboveEvaluationCap50,-1,7,7,0,0,0.1585,NaN,NaN,NaN,NaN,NaN
realD20_seed1_W80000,0.980000,-0.56439306,0.56870521,1.29520467,0.88905755,0.11094245,NaN,AboveEvaluationCap50,-1,7,7,0,0,0.1813,NaN,NaN,NaN,NaN,NaN
realD20_seed1_W80000,0.995000,-0.56673559,0.56737456,1.29520467,0.88767021,0.11232979,NaN,AboveEvaluationCap50,-1,7,7,0,0,0.1365,NaN,NaN,NaN,NaN,NaN
realD20_seed1_W80000,1.000000,-0.56751724,0.56693125,1.29520467,0.88720776,0.11279224,NaN,AboveEvaluationCap50,-1,7,7,0,0,0.1165,NaN,NaN,NaN,NaN,NaN
