fixture,gamma_fraction,g,gamma_prime,wage_ratio,kappa_ratio,GT,DeltaStar,classification,inner_status,inner_iterations,objective_callbacks,gradient_callbacks,hessian_callbacks,wall_s,cutoff_min_slack,gravity_residual_A,gravity_residual_f,moment_residual,primal_dual_gap
realD20_seed1_W80000,0.000000,-0.41877071,0.65785502,1.29520467,0.97969719,0.02030281,4.07206993e-04,FiniteSolved,0,12,12,6,5,0.4089,2.051175e-02,-3.756544e-15,6.071532e-16,2.342571e-14,2.494478e-15
realD20_seed1_W80000,0.100000,-0.43299890,0.64856120,1.29520467,0.97044825,0.02955175,1.90711405e-02,FiniteSolved,0,13,13,6,5,0.4175,2.455297e-02,-3.756544e-15,2.428613e-17,1.854290e-14,8.153200e-16
realD20_seed1_W80000,0.200000,-0.44736334,0.63931158,1.29520467,0.96119930,0.03880070,6.99374025e-02,FiniteSolved,0,16,16,7,6,0.4510,2.455297e-02,-3.756544e-15,4.579670e-16,1.354472e-14,4.954370e-15
realD20_seed1_W80000,0.350000,-0.46917127,0.62552044,1.29520467,0.94732589,0.05267411,2.22425806e-01,FiniteSolved,0,19,19,8,7,0.5136,2.455297e-02,-3.756544e-15,1.830133e-16,8.437695e-15,6.022960e-15
realD20_seed1_W80000,0.500000,-0.49130094,0.61182992,1.29520467,0.93345247,0.06654753,6.68464911e-01,FiniteSolved,0,24,24,10,9,0.6616,2.455297e-02,-3.756544e-15,2.454634e-16,2.793995e-13,1.071365e-13
realD20_seed1_W80000,0.650000,-0.51376198,0.59824077,1.29520467,0.91957906,0.08042094,4.06841517e+00,FiniteSolved,0,36,36,16,14,0.8087,2.455297e-02,-3.756544e-15,2.116363e-16,5.936273e-14,7.789325e-13
realD20_seed1_W80000,0.800000,-0.53656448,0.58475374,1.29520467,0.90570565,0.09429435,NaN,NumericalFailure,-300,61,61,35,20,1.4131,NaN,NaN,NaN,NaN,NaN
realD20_seed1_W80000,0.900000,-0.55196102,0.57581951,1.29520467,0.89645670,0.10354330,NaN,AboveEvaluationCap50,-1,7,7,0,0,0.1847,NaN,NaN,NaN,NaN,NaN
realD20_seed1_W80000,0.950000,-0.55971896,0.57136962,1.29520467,0.89183223,0.10816777,NaN,AboveEvaluationCap50,-1,7,7,0,0,0.1585,NaN,NaN,NaN,NaN,NaN
realD20_seed1_W80000,0.980000,-0.56439306,0.56870521,1.29520467,0.88905755,0.11094245,NaN,AboveEvaluationCap50,-1,7,7,0,0,0.1813,NaN,NaN,NaN,NaN,NaN
realD20_seed1_W80000,0.995000,-0.56673559,0.56737456,1.29520467,0.88767021,0.11232979,NaN,AboveEvaluationCap50,-1,7,7,0,0,0.1365,NaN,NaN,NaN,NaN,NaN
realD20_seed1_W80000,1.000000,-0.56751724,0.56693125,1.29520467,0.88720776,0.11279224,NaN,AboveEvaluationCap50,-1,7,7,0,0,0.1165,NaN,NaN,NaN,NaN,NaN
