trial,g,dg,classification,Delta,lower_bound,config
1,-0.042387309873330684,0.0,FiniteSolved,7.554508757038378e-6,NaN,D4_stage1_active_delta0.01
2,-0.04238826748602081,-9.57612690123677e-7,FiniteSolved,7.548168565023428e-6,NaN,D4_stage1_active_delta0.01
3,-0.042393055549471446,-5.745676140762879e-6,FiniteSolved,7.543826613688741e-6,NaN,D4_stage1_active_delta0.01
4,-0.04241699586672461,-2.9685993393924193e-5,FiniteSolved,7.53257069476068e-6,NaN,D4_stage1_active_delta0.01
5,-0.04253669745299044,-0.00014938757965975852,FiniteSolved,9.59588459362757e-6,NaN,D4_stage1_active_delta0.01
6,-0.043135205384319614,-0.0007478955109889301,FiniteSolved,3.634169653806525e-5,NaN,D4_stage1_active_delta0.01
7,-0.04323520538431962,-0.000847895510988933,FiniteSolved,4.2258539365977846e-5,NaN,D4_stage1_active_delta0.01
8,-0.043935205384319616,-0.0015478955109889322,FiniteSolved,0.00012136510873719075,NaN,D4_stage1_active_delta0.01
9,-0.04883520538431961,-0.006447895510988927,FiniteSolved,0.0017159983705130131,NaN,D4_stage1_active_delta0.01
10,-0.08313520538431962,-0.04074789551098894,FiniteSolved,0.052584505795852624,NaN,D4_stage1_active_delta0.01
11,-0.3232352053843196,-0.28084789551098893,AboveEvaluationCap,NaN,14.667493238812508,D4_stage1_active_delta0.01
12,-0.3232352053843196,-0.28084789551098893,AboveEvaluationCap,NaN,14.667493238812508,D4_stage1_active_delta0.01
13,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.01
14,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.01
15,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.01
16,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.01
17,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.01
18,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.01
1,-0.042387309873330684,0.0,FiniteSolved,7.554508757038378e-6,NaN,D4_stage1_active_delta0.05
2,-0.04238826748602081,-9.57612690123677e-7,FiniteSolved,7.548168565023428e-6,NaN,D4_stage1_active_delta0.05
3,-0.042393055549471446,-5.745676140762879e-6,FiniteSolved,7.543826613688741e-6,NaN,D4_stage1_active_delta0.05
4,-0.04241699586672461,-2.9685993393924193e-5,FiniteSolved,7.53257069476068e-6,NaN,D4_stage1_active_delta0.05
5,-0.04253669745299044,-0.00014938757965975852,FiniteSolved,9.59588459362757e-6,NaN,D4_stage1_active_delta0.05
6,-0.043135205384319614,-0.0007478955109889301,FiniteSolved,3.634169653806525e-5,NaN,D4_stage1_active_delta0.05
7,-0.04323520538431962,-0.000847895510988933,FiniteSolved,4.2258539365977846e-5,NaN,D4_stage1_active_delta0.05
8,-0.043935205384319616,-0.0015478955109889322,FiniteSolved,0.00012136510873719075,NaN,D4_stage1_active_delta0.05
9,-0.04883520538431961,-0.006447895510988927,FiniteSolved,0.0017159983705130131,NaN,D4_stage1_active_delta0.05
10,-0.08313520538431962,-0.04074789551098894,FiniteSolved,0.052584505795852624,NaN,D4_stage1_active_delta0.05
11,-0.3232352053843196,-0.28084789551098893,AboveEvaluationCap,NaN,14.667493238812508,D4_stage1_active_delta0.05
12,-0.3232352053843196,-0.28084789551098893,AboveEvaluationCap,NaN,14.667493238812508,D4_stage1_active_delta0.05
13,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.05
14,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.05
15,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.05
16,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.05
17,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.05
18,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.05
1,-0.042387309873330684,0.0,FiniteSolved,7.554508757038378e-6,NaN,D4_stage1_active_delta0.1
2,-0.04238826748602081,-9.57612690123677e-7,FiniteSolved,7.548168565023428e-6,NaN,D4_stage1_active_delta0.1
3,-0.042393055549471446,-5.745676140762879e-6,FiniteSolved,7.543826613688741e-6,NaN,D4_stage1_active_delta0.1
4,-0.04241699586672461,-2.9685993393924193e-5,FiniteSolved,7.53257069476068e-6,NaN,D4_stage1_active_delta0.1
5,-0.04253669745299044,-0.00014938757965975852,FiniteSolved,9.59588459362757e-6,NaN,D4_stage1_active_delta0.1
6,-0.043135205384319614,-0.0007478955109889301,FiniteSolved,3.634169653806525e-5,NaN,D4_stage1_active_delta0.1
7,-0.04323520538431962,-0.000847895510988933,FiniteSolved,4.2258539365977846e-5,NaN,D4_stage1_active_delta0.1
8,-0.043935205384319616,-0.0015478955109889322,FiniteSolved,0.00012136510873719075,NaN,D4_stage1_active_delta0.1
9,-0.04883520538431961,-0.006447895510988927,FiniteSolved,0.0017159983705130131,NaN,D4_stage1_active_delta0.1
10,-0.08313520538431962,-0.04074789551098894,FiniteSolved,0.052584505795852624,NaN,D4_stage1_active_delta0.1
11,-0.3232352053843196,-0.28084789551098893,AboveEvaluationCap,NaN,14.667493238812508,D4_stage1_active_delta0.1
12,-0.3232352053843196,-0.28084789551098893,AboveEvaluationCap,NaN,14.667493238812508,D4_stage1_active_delta0.1
13,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.1
14,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.1
15,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.1
16,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.1
17,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.1
18,-0.34238730987333066,-0.3,AboveEvaluationCap,NaN,17.704468007050302,D4_stage1_active_delta0.1
1,-0.042387309873330684,0.0,FiniteSolved,7.554508757038378e-6,NaN,D4_stage1_sqp_delta0.01
2,-0.04238826748601123,-9.576126805480034e-7,FiniteSolved,7.5481685650316996e-6,NaN,D4_stage1_sqp_delta0.01
3,-0.042393055549222465,-5.745675891781488e-6,FiniteSolved,7.543826613902576e-6,NaN,D4_stage1_sqp_delta0.01
4,-0.04241699586049055,-2.9685987159869254e-5,FiniteSolved,7.532570697249303e-6,NaN,D4_stage1_sqp_delta0.01
5,-0.04253669729712959,-0.00014938742379890652,FiniteSolved,9.595884288291431e-6,NaN,D4_stage1_sqp_delta0.01
6,-0.04313520148780757,-0.0007478916144768866,FiniteSolved,3.634164320554372e-5,NaN,D4_stage1_sqp_delta0.01
7,-0.046127647630511456,-0.0037403377571807728,FiniteSolved,0.0006161269915797196,NaN,D4_stage1_sqp_delta0.01
8,-0.06108800835737713,-0.018700698484046444,FiniteSolved,0.012710036787606679,NaN,D4_stage1_sqp_delta0.01
9,-0.058828645859446506,-0.016441335986115822,FiniteSolved,0.01009963875649717,NaN,D4_stage1_sqp_delta0.01
10,-0.05874151773255838,-0.0163542078592277,FiniteSolved,0.009982305673404987,NaN,D4_stage1_sqp_delta0.01
11,-0.05875771730471424,-0.016370407431383557,FiniteSolved,0.010020997401098766,NaN,D4_stage1_sqp_delta0.01
12,-0.058738493690164206,-0.016351183816833523,FiniteSolved,0.009981521062507093,NaN,D4_stage1_sqp_delta0.01
13,-0.05874961751863631,-0.016362307645305628,FiniteSolved,0.009992478262493847,NaN,D4_stage1_sqp_delta0.01
14,-0.058756499778563606,-0.016369189905232923,FiniteSolved,0.010020681165395326,NaN,D4_stage1_sqp_delta0.01
