seed,direction,block,algorithm,delta,best_g,gamma_prime,kappa_ratio,GT,incumbent_source,dlogA,dlogf,DeltaStar,status,wall
29,upper,gamma_only,active,0.0001,-0.043806931659930076,0.9571387328217003,0.9338782876558722,0.06612171234412778,cold_verified,0.0,0.0,9.857962087187897e-5,-100,23.842453002929688
29,upper,gamma_technology,active,0.0001,-0.042396034543593,0.9584901102028236,0.9347571050200837,0.06524289497991631,cold_verified,0.011415453778457265,0.0,9.793392626240495e-5,-200,8.039006233215332
29,upper,gamma_participation,active,0.0001,-0.042399128410779995,0.9584871447663099,0.9347551770125153,0.06524482298748469,cold_verified,0.0,0.016365989395077454,9.964452563317828e-5,-200,12.896475076675415
29,upper,full_joint,sqp,0.0001,-0.043810381061117405,0.957135431271913,0.933876140111092,0.06612385988890801,multistart:gamma_only_best,0.0036328922022246138,0.004572486855363412,9.974356652701249e-5,-101,35.101484060287476
29,upper,full_joint,cg,0.0001,-0.043943192081664625,0.9570083215794548,0.9337934577427007,0.06620654225729927,multistart:gamma_only_best,0.004982004929222626,0.004191454354479989,9.09837948155189e-5,-101,13.8209969997406
29,upper,gamma_only,active,0.0003,-0.04496951548819155,0.9560266253938351,0.9331547602159964,0.06684523978400359,cold_verified,0.0,0.0,0.0002983162167382241,-100,10.753176212310791
29,upper,gamma_technology,active,0.0003,-0.0424040895521599,0.9584823895878695,0.9347520853825687,0.06524791461743129,cold_verified,0.02059294335155213,0.0,0.0002997564548618529,-200,6.85027003288269
29,upper,gamma_participation,active,0.0003,-0.04240154151169039,0.9584848318428989,0.9347536732413457,0.06524632675865427,cold_verified,0.0,0.020572780644236115,0.0002908810023078816,-200,3.493288040161133
29,upper,full_joint,sqp,0.0003,-0.04497709115584566,0.9560193828812861,0.9331500473810085,0.06684995261899151,multistart:gamma_only_best,0.007922532713565873,0.010443243013615714,0.00029999999999999835,-101,38.6952908039093
29,upper,full_joint,cg,0.0003,-0.04559051197412624,0.955433120520299,0.9327685162889353,0.06723148371106469,multistart:gamma_only_best,0.01646604966825882,0.013885443728121652,0.00026776439611412726,-400,29.151089906692505
29,upper,gamma_only,active,0.001,-0.047189922381778576,0.9539062122455166,0.9317744599025719,0.0682255400974281,cold_verified,0.0,0.0,0.0009994674264994692,-100,11.903167009353638
29,upper,gamma_technology,active,0.001,-0.04242396106285653,0.9584633432840522,0.9347397021738845,0.06526029782611553,cold_verified,0.039798540419342186,0.0,0.0009999449030152438,-200,7.014873027801514
29,upper,gamma_participation,active,0.001,-0.042409921690414604,0.9584767996023595,0.9347484509873704,0.06525154901262964,cold_verified,0.0,0.034165708159777375,0.000999305549256999,-200,4.987338066101074
29,upper,full_joint,sqp,0.001,-0.04721115407308989,0.9538859594182799,0.931761271230775,0.06823872876922499,multistart:gamma_only_best,0.015365602638371128,0.01795196695984468,0.0009991698756928312,-400,27.75900101661682
29,upper,full_joint,cg,0.001,-0.04921356083070876,0.9519778028175628,0.930518257710926,0.069481742289074,multistart:gamma_only_best,0.027217659123943173,0.03221894198440932,0.0009964654260582624,-410,34.320388078689575
29,upper,gamma_only,active,0.003,-0.05103831494182278,0.9502422613579622,0.9293869679481723,0.07061303205182767,cold_verified,0.0,0.0,0.0029993330743115724,0,1.515674114227295
29,upper,gamma_technology,active,0.003,-0.042457956088048726,0.958430760852375,0.9347185180807875,0.06528148191921246,cold_verified,0.06381288246545071,0.0,0.0029994705846658827,-410,16.94393301010132
29,upper,gamma_participation,active,0.003,-0.04242256405353963,0.958464682267208,0.9347405727343383,0.0652594272656617,cold_verified,0.0,0.055083974197114326,0.0029979340875853897,-200,4.9524571895599365
29,upper,full_joint,sqp,0.003,-0.051045787223418335,0.9502351609067297,0.9293823381989468,0.07061766180105322,multistart:gamma_only_best,0.012903233209472648,0.016131590653081573,0.002998552754338592,-101,33.25737810134888
29,upper,full_joint,cg,0.003,-0.05302885082265093,0.9483526513334501,0.9281544671701317,0.07184553282986827,multistart:gamma_only_best,0.0390779172242315,0.04297056338618574,0.0029989154524610816,-410,31.47269892692566
29,upper,gamma_only,active,0.01,-0.05875451391804875,0.9429382189559788,0.9246183538085776,0.0753816461914224,cold_verified,0.0,0.0,0.009993749684559199,-100,12.403221130371094
29,upper,gamma_technology,active,0.01,-0.04251989190835063,0.9583714014952532,0.9346799238388026,0.0653200761611974,cold_verified,0.1196148583426714,0.0,0.009996527172269168,-200,9.270141839981079
29,upper,gamma_participation,active,0.01,-0.04243781589271372,0.9584500640294978,0.9347310684407345,0.0652689315592655,cold_verified,0.0,0.08582655072438401,0.009991827770611271,-200,1.478010892868042
29,upper,full_joint,sqp,0.01,-0.05877817444033576,0.9429159088091699,0.9246037692881589,0.0753962307118411,multistart:gamma_only_best,0.03173302483788182,0.03993252031084684,0.00999906723797654,-101,25.808055877685547
29,upper,full_joint,cg,0.01,-0.06386421387063687,0.938132376246739,0.9214740307924516,0.0785259692075484,multistart:gamma_only_best,0.07222571710970407,0.08944536369604701,0.009996297077813033,-400,32.1308810710907
29,upper,gamma_only,active,0.03,-0.07226188188792033,0.9302872385295495,0.9163296225750576,0.08367037742494243,cold_verified,0.0,0.0,0.029996472118208672,-100,10.390803813934326
29,upper,gamma_technology,active,0.03,-0.042595776175767375,0.9582986789428213,0.9346326400339852,0.06536735996601484,cold_verified,0.2042376641201073,0.0,0.029999078378239254,-200,8.457485914230347
29,upper,gamma_participation,active,0.03,-0.04247862101795108,0.958410955152528,0.9347056409077199,0.0652943590922801,cold_verified,0.0,0.16897785360373788,0.029990560101784143,-200,4.064064979553223
29,upper,full_joint,sqp,0.03,-0.07230358097212156,0.9302484472124456,0.9163041495250682,0.08369585047493178,multistart:gamma_only_best,0.051447799033242675,0.06200442370542249,0.02999881594925768,-400,31.41843318939209
29,upper,full_joint,cg,0.03,-0.08071285750122406,0.9224585304669746,0.911181552069138,0.08881844793086202,multistart:gamma_only_best,0.11048496421104162,0.1432200470408849,0.02994979491687332,-400,30.0453999042511
29,upper,gamma_only,active,0.1,-0.09985240617099947,0.9049709763110566,0.8996290098472397,0.1003709901527603,cold_verified,0.0,0.0,0.09997310771019778,-400,12.571094989776611
29,upper,gamma_technology,active,0.1,-0.04262189252575999,0.9582736520059321,0.9346163673802186,0.06538363261978142,cold_verified,0.24038652290329052,0.0,0.07345749324430738,-200,1.3383920192718506
29,upper,gamma_participation,active,0.1,-0.04250160470047359,0.958388927592547,0.9346913190323083,0.06530868096769171,cold_verified,0.0,0.2150110731794723,0.07880670612345303,-200,1.0791521072387695
29,upper,full_joint,sqp,0.1,-0.09990782556349809,0.9049208247590177,0.8995957725324408,0.10040422746755917,multistart:gamma_only_best,0.09101539438451678,0.10415194003670042,0.09999096828347093,-101,24.898785829544067
29,upper,full_joint,cg,0.1,-0.11284227138247811,0.893291546645501,0.8918719397047119,0.1081280602952881,multistart:gamma_only_best,0.15470671539095424,0.2078091302707862,0.09989618658880316,-400,30.11938714981079
29,upper,gamma_only,active,0.3,-0.13614764799860302,0.8727137685344235,0.8781220904727424,0.12187790952725763,cold_verified,0.0,0.0,0.2999846424882193,0,3.0203568935394287
29,upper,gamma_technology,active,0.3,-0.04262414662040955,0.9582714919688547,0.9346149629054384,0.06538503709456156,cold_verified,0.24359498063476373,0.0,0.05917647145021933,-200,1.2548258304595947
29,upper,gamma_participation,active,0.3,-0.04251261198070717,0.9583783783951073,0.9346844601179541,0.06531553988204586,cold_verified,0.0,0.23692359856165693,0.08795174050298178,-200,0.9911339282989502
29,upper,full_joint,sqp,0.3,-0.14415480804024364,0.8657537120490507,0.8734470700433604,0.12655292995663958,multistart:gamma_only_best,0.22312571552221605,0.23996894392438958,0.2942759761904274,-200,14.123392105102539
29,upper,full_joint,cg,0.3,-0.16041978990616518,0.8517861426784049,0.8640271666896714,0.1359728333103286,multistart:gamma_only_best,0.22915726485533802,0.3008873723308677,0.29993198194012327,-400,25.944159984588623
29,upper,gamma_only,active,1.0,-0.172157647998603,0.8418464472992432,0.8572923330500092,0.14270766694999082,cold_verified,0.0,0.0,0.9049249024287913,-200,24.170281887054443
29,upper,gamma_technology,active,1.0,-0.042648708155186205,0.9582479556393246,0.9345996593121226,0.06540034068787737,cold_verified,0.2775053491253486,0.0,0.16589391987273058,-200,1.7495110034942627
29,upper,gamma_participation,active,1.0,-0.042551485426494916,0.9583411236492855,0.9346602374947016,0.06533976250529838,cold_verified,0.0,0.30994486511608016,0.4029862331637634,-200,1.1790540218353271
29,upper,full_joint,sqp,1.0,-0.1722350342731239,0.8417813024596588,0.8572481057509942,0.1427518942490058,multistart:gamma_only_best,0.13697664813214444,0.1515892394865007,0.8717163129841035,-200,9.305404901504517
29,upper,full_joint,cg,1.0,-0.19844634099106434,0.8200037701495416,0.8423984974640422,0.15760150253595784,multistart:gamma_only_best,0.32049874144391866,0.3335566742387755,0.8568605197961328,-400,69.505686044693
29,lower,gamma_only,active,0.0001,-0.04097245494700874,0.9598555688561747,0.9356446602169339,0.06435533978306607,cold_verified,0.0,0.0,9.857023309250694e-5,-100,7.395282030105591
29,lower,gamma_technology,active,0.0001,-0.04237879274606771,0.9585066364377043,0.934767849676996,0.065232150323004,cold_verified,0.010563017197352188,0.0,9.831628019339686e-5,-200,5.0113279819488525
29,lower,gamma_participation,active,0.0001,-0.0423686192772386,0.9585163878246952,0.9347741895862163,0.06522581041378372,cold_verified,0.0,0.01899131456185461,9.967114386339639e-5,-101,11.775722026824951
29,lower,full_joint,sqp,0.0001,-0.04097141898154493,0.9598565632339094,0.9356453064141933,0.0643546935858067,multistart:gamma_only_best,0.001482105841838025,0.001625152919129648,9.975291360176522e-5,-200,26.88490104675293
29,lower,full_joint,cg,0.0001,-0.04096398533711566,0.959863698492824,0.9356499432620294,0.06435005673797056,multistart:gamma_only_best,0.0012506098968251933,0.0016357037994106929,9.510379342484155e-5,-400,16.17741084098816
29,lower,gamma_only,active,0.0003,-0.0400150909175453,0.9607749400675211,0.9362420191880206,0.06375798081197936,cold_verified,0.0,0.0,0.0002988171849868158,-200,28.510929107666016
29,lower,gamma_technology,active,0.0003,-0.04237075099961783,0.9585143445360383,0.934772861134454,0.06522713886554599,cold_verified,0.019167274900108187,0.0,0.00029980107288893787,-200,7.127490043640137
29,lower,gamma_participation,active,0.0003,-0.04236025487789047,0.9585244052720753,0.9347794021504977,0.0652205978495023,cold_verified,0.0,0.02766318976788603,0.0002997062090466168,-200,6.208850145339966
29,lower,full_joint,sqp,0.0003,-0.040010870365469645,0.9607789950767458,0.9362446534971917,0.06375534650280834,multistart:gamma_only_best,0.004562001003187887,0.005008058061735222,0.00029609892400103444,-101,34.33859300613403
29,lower,full_joint,cg,0.0003,-0.03997112922951061,0.9608171782841327,0.9362694587764971,0.06373054122350286,multistart:gamma_only_best,0.004486654569880172,0.004126697551743035,0.00027975752942713847,-101,28.200874090194702
29,lower,gamma_only,active,0.001,-0.038137321400686056,0.9625807488783017,0.9374147842450463,0.06258521575495368,cold_verified,0.0,0.0,0.0009995739811891338,0,1.3707079887390137
29,lower,gamma_technology,active,0.001,-0.042344096227544266,0.9585398938579253,0.9347894720537431,0.06521052794625692,cold_verified,0.037609185515522316,0.0,0.000999205590601063,-410,14.91882586479187
29,lower,gamma_participation,active,0.001,-0.0423229733249224,0.9585601412166032,0.9348026357910884,0.06519736420891165,cold_verified,0.0,0.05777779963560009,0.0009993030130061884,-200,6.43552303314209
29,lower,full_joint,sqp,0.001,-0.038127564592453346,0.9625901406398937,0.9374208817157331,0.06257911828426688,multistart:gamma_only_best,0.007988349309471064,0.009591426136470469,0.0009902491058674581,-101,33.45663094520569
29,lower,full_joint,cg,0.001,-0.03783858776757351,0.962868347078067,0.9376014943861161,0.06239850561388394,multistart:gamma_only_best,0.010942533438923773,0.009646382072637294,0.0009878200954426168,-400,29.28093385696411
29,lower,gamma_only,active,0.003,-0.035216193651799454,0.9653966810608536,0.9392421018359038,0.06075789816409616,cold_verified,0.0,0.0,0.002998620628713569,-200,21.931530952453613
