config,nStatus,terminal_reason,wall,n_fc,n_ga,n_inner_solved,n_above_cap,n_numerical_failure,dg,dlogA,dlogf,Delta,incumbent_source,cold_verified_theta,seed,delta_budget,direction,restriction
D4_seed29_delta0.001_upper_gamma_only,-410,iter_limit_infeas,12.499892467,26,26,24,0,0,-0.0015478955109889322,0.0,0.0,0.00012136510873719073,cold_verified,"-0.043935205384319616;0.31642355610118106;0.32516837717513347;0.3216076828679026;0.3896989062465908;0.5116314303045052;0.497218971661081;0.4544544901603991;0.3622652368004989;0.4650435063680411;0.43289965011631926;0.39939638165492336;0.5016253275200426;0.5113746753211489;0.46367366270198707;0.4256136843709238;-0.4712226008500106;-0.280505542112967;-0.2395556782688834;-0.6475676586598301;-0.745350970876133;-0.667688771341332;-0.7664178299180029;-0.5361890155498814;-0.6383558564893839;-0.2497637519821987;-0.632191408246899;-0.7002463028418913;-0.11401527598798658;-0.5841600896113464",29,0.001,upper,gamma_only
D4_seed29_delta0.001_upper_gamma_technology,-400,iter_limit_feas,3.343355356,26,26,26,0,0,-0.0010109312597869277,0.00017602854336674656,0.0,5.335621946976843e-5,cold_verified,"-0.04339824113311761;0.31639015194232917;0.32513404984420213;0.32157373143186263;0.38965776656555995;0.5115774184673901;0.49716648131643604;0.4544065143707098;0.36222699323334573;0.4649944127185317;0.43285394982504644;0.39935421823213;0.5015723720058228;0.5113206905891089;0.46362471366394714;0.4255687532434899;-0.4712226008500106;-0.280505542112967;-0.2395556782688834;-0.6475676586598301;-0.745350970876133;-0.667688771341332;-0.7664178299180029;-0.5361890155498814;-0.6383558564893839;-0.2497637519821987;-0.632191408246899;-0.7002463028418913;-0.11401527598798658;-0.5841600896113464",29,0.001,upper,gamma_technology
D4_seed29_delta0.001_upper_gamma_participation,-400,iter_limit_feas,3.376755421,26,26,26,0,0,-0.0008417291168641428,0.0,0.00018370302187646544,3.7446497912762216e-5,cold_verified,"-0.043229038990194826;0.31642355610118106;0.32516837717513347;0.3216076828679026;0.3896989062465908;0.5116314303045052;0.497218971661081;0.4544544901603991;0.3622652368004989;0.4650435063680411;0.43289965011631926;0.39939638165492336;0.5016253275200426;0.5113746753211489;0.46367366270198707;0.4256136843709238;-0.47118118099543377;-0.2804808860401442;-0.23953462163590558;-0.647510738303714;-0.7452854554938769;-0.667630082365545;-0.7663504627861992;-0.5361418852318327;-0.638299745838714;-0.2497417980728;-0.632135839443223;-0.7001847521013721;-0.11400525419331366;-0.5841087426981939",29,0.001,upper,gamma_participation
D4_seed29_delta0.001_lower_gamma_only,-200,infeasible,1.651915654,13,13,9,8,0,0.0016140621017011955,0.0,0.0,0.00013544490925093474,cold_verified,"-0.04077324777162949;0.31642355610118106;0.32516837717513347;0.3216076828679026;0.3896989062465908;0.5116314303045052;0.497218971661081;0.4544544901603991;0.3622652368004989;0.4650435063680411;0.43289965011631926;0.39939638165492336;0.5016253275200426;0.5113746753211489;0.46367366270198707;0.4256136843709238;-0.4712226008500106;-0.280505542112967;-0.2395556782688834;-0.6475676586598301;-0.745350970876133;-0.667688771341332;-0.7664178299180029;-0.5361890155498814;-0.6383558564893839;-0.2497637519821987;-0.632191408246899;-0.7002463028418913;-0.11401527598798658;-0.5841600896113464",29,0.001,lower,gamma_only
D4_seed29_delta0.001_lower_gamma_technology,-400,iter_limit_feas,3.340744683,26,26,26,0,0,0.0010760541827488299,0.00017212992769945356,0.0,6.677491357733316e-5,cold_verified,"-0.041311255690581854;0.3163908917653974;0.3251348101133473;0.3215744833758255;0.38965867771213847;0.5115786147017642;0.4971676438533525;0.4544075769209176;0.3622278402378555;0.4649955000266891;0.4328549619783492;0.39935515205216593;0.5015735448451445;0.5113218862231698;0.46362579776930274;0.4255697483616339;-0.4712226008500106;-0.280505542112967;-0.2395556782688834;-0.6475676586598301;-0.745350970876133;-0.667688771341332;-0.7664178299180029;-0.5361890155498814;-0.6383558564893839;-0.2497637519821987;-0.632191408246899;-0.7002463028418913;-0.11401527598798658;-0.5841600896113464",29,0.001,lower,gamma_technology
D4_seed29_delta0.001_lower_gamma_participation,-400,iter_limit_feas,3.39108789,26,26,26,0,0,0.0009020388317641029,0.0,0.00018085476717146347,4.818236829632279e-5,cold_verified,"-0.04148527104156658;0.31642355610118106;0.32516837717513347;0.3216076828679026;0.3896989062465908;0.5116314303045052;0.497218971661081;0.4544544901603991;0.3622652368004989;0.4650435063680411;0.43289965011631926;0.39939638165492336;0.5016253275200426;0.5113746753211489;0.46367366270198707;0.4256136843709238;-0.4711818231966043;-0.28048126832441317;-0.2395349481120481;-0.6475116208350434;-0.745286471288249;-0.6676309923187386;-0.7663515072913367;-0.5361426159718541;-0.6383006158158278;-0.2497421384609172;-0.6321367010191781;-0.700185706425283;-0.11400540957793139;-0.5841095388151303",29,0.001,lower,gamma_participation
D4_seed29_delta0.01_upper_gamma_only,-400,iter_limit_feas,3.501643491,31,26,27,0,0,-0.016359027599071818,0.0,0.0,0.00999162674171909,cold_verified,"-0.0587463374724025;0.31642355610118106;0.32516837717513347;0.3216076828679026;0.3896989062465908;0.5116314303045052;0.497218971661081;0.4544544901603991;0.3622652368004989;0.4650435063680411;0.43289965011631926;0.39939638165492336;0.5016253275200426;0.5113746753211489;0.46367366270198707;0.4256136843709238;-0.4712226008500106;-0.280505542112967;-0.2395556782688834;-0.6475676586598301;-0.745350970876133;-0.667688771341332;-0.7664178299180029;-0.5361890155498814;-0.6383558564893839;-0.2497637519821987;-0.632191408246899;-0.7002463028418913;-0.11401527598798658;-0.5841600896113464",29,0.01,upper,gamma_only
D4_seed29_delta0.01_upper_gamma_technology,-400,iter_limit_feas,3.270320936,26,26,26,0,0,-0.0010109312597869277,0.00017602854336674656,0.0,5.335621946976843e-5,cold_verified,"-0.04339824113311761;0.31639015194232917;0.32513404984420213;0.32157373143186263;0.38965776656555995;0.5115774184673901;0.49716648131643604;0.4544065143707098;0.36222699323334573;0.4649944127185317;0.43285394982504644;0.39935421823213;0.5015723720058228;0.5113206905891089;0.46362471366394714;0.4255687532434899;-0.4712226008500106;-0.280505542112967;-0.2395556782688834;-0.6475676586598301;-0.745350970876133;-0.667688771341332;-0.7664178299180029;-0.5361890155498814;-0.6383558564893839;-0.2497637519821987;-0.632191408246899;-0.7002463028418913;-0.11401527598798658;-0.5841600896113464",29,0.01,upper,gamma_technology
D4_seed29_delta0.01_upper_gamma_participation,-400,iter_limit_feas,3.231857196,26,26,26,0,0,-0.0008417291168641428,0.0,0.00018370302187646544,3.7446497912762216e-5,cold_verified,"-0.043229038990194826;0.31642355610118106;0.32516837717513347;0.3216076828679026;0.3896989062465908;0.5116314303045052;0.497218971661081;0.4544544901603991;0.3622652368004989;0.4650435063680411;0.43289965011631926;0.39939638165492336;0.5016253275200426;0.5113746753211489;0.46367366270198707;0.4256136843709238;-0.47118118099543377;-0.2804808860401442;-0.23953462163590558;-0.647510738303714;-0.7452854554938769;-0.667630082365545;-0.7663504627861992;-0.5361418852318327;-0.638299745838714;-0.2497417980728;-0.632135839443223;-0.7001847521013721;-0.11400525419331366;-0.5841087426981939",29,0.01,upper,gamma_participation
D4_seed29_delta0.01_lower_gamma_only,-200,infeasible,1.598201082,13,13,9,8,0,0.006514062101701197,0.0,0.0,0.002449828562662843,cold_verified,"-0.035873247771629486;0.31642355610118106;0.32516837717513347;0.3216076828679026;0.3896989062465908;0.5116314303045052;0.497218971661081;0.4544544901603991;0.3622652368004989;0.4650435063680411;0.43289965011631926;0.39939638165492336;0.5016253275200426;0.5113746753211489;0.46367366270198707;0.4256136843709238;-0.4712226008500106;-0.280505542112967;-0.2395556782688834;-0.6475676586598301;-0.745350970876133;-0.667688771341332;-0.7664178299180029;-0.5361890155498814;-0.6383558564893839;-0.2497637519821987;-0.632191408246899;-0.7002463028418913;-0.11401527598798658;-0.5841600896113464",29,0.01,lower,gamma_only
D4_seed29_delta0.01_lower_gamma_technology,-400,iter_limit_feas,3.383135497,26,26,26,0,0,0.0010760541827488299,0.00017212992769945356,0.0,6.677491357733316e-5,cold_verified,"-0.041311255690581854;0.3163908917653974;0.3251348101133473;0.3215744833758255;0.38965867771213847;0.5115786147017642;0.4971676438533525;0.4544075769209176;0.3622278402378555;0.4649955000266891;0.4328549619783492;0.39935515205216593;0.5015735448451445;0.5113218862231698;0.46362579776930274;0.4255697483616339;-0.4712226008500106;-0.280505542112967;-0.2395556782688834;-0.6475676586598301;-0.745350970876133;-0.667688771341332;-0.7664178299180029;-0.5361890155498814;-0.6383558564893839;-0.2497637519821987;-0.632191408246899;-0.7002463028418913;-0.11401527598798658;-0.5841600896113464",29,0.01,lower,gamma_technology
D4_seed29_delta0.01_lower_gamma_participation,-400,iter_limit_feas,3.3389688,26,26,26,0,0,0.0009020388317641029,0.0,0.00018085476717146347,4.818236829632279e-5,cold_verified,"-0.04148527104156658;0.31642355610118106;0.32516837717513347;0.3216076828679026;0.3896989062465908;0.5116314303045052;0.497218971661081;0.4544544901603991;0.3622652368004989;0.4650435063680411;0.43289965011631926;0.39939638165492336;0.5016253275200426;0.5113746753211489;0.46367366270198707;0.4256136843709238;-0.4711818231966043;-0.28048126832441317;-0.2395349481120481;-0.6475116208350434;-0.745286471288249;-0.6676309923187386;-0.7663515072913367;-0.5361426159718541;-0.6383006158158278;-0.2497421384609172;-0.6321367010191781;-0.700185706425283;-0.11400540957793139;-0.5841095388151303",29,0.01,lower,gamma_participation
