algorithm,delta,direction,wall,nStatus,n_fc,n_ga,n_inner_solved,n_infinite_delta_reject,n_above_cap_reject,n_numerical_failure_reject,g0,best_g,dg,norm_dlogA,norm_dlogf,best_Delta,best_GT
active_set,0.01,upper,19.442103327,-400,26,26,26,0,0,0,-0.042387309873330684,-0.04339577685762564,-0.0010084669842949576,0.0001755994510609053,0.00022009269819218567,5.4309242364247085e-5,NaN
active_set,0.01,lower,4.736475687,-400,26,26,26,0,0,0,-0.042387309873330684,-0.04129924324306453,0.0010880666302661504,0.00017405148681402886,0.00021815251201429755,6.85122552332901e-5,NaN
active_set,0.001,upper,4.863717171,-400,26,26,26,0,0,0,-0.042387309873330684,-0.04339577685762564,-0.0010084669842949576,0.0001755994510609053,0.00022009269819218567,5.4309242364247085e-5,NaN
active_set,0.001,lower,5.629265599,-400,26,26,26,0,0,0,-0.042387309873330684,-0.04129924324306453,0.0010880666302661504,0.00017405148681402886,0.00021815251201429755,6.85122552332901e-5,NaN
sqp,0.01,upper,8.496499427,-400,121,26,103,0,13,0,-0.042387309873330684,-0.06127435155340967,-0.018887041680078986,0.0191583450474322,0.0243130352801521,0.009999997082541614,NaN
sqp,0.01,lower,6.807235821,-400,82,26,73,0,9,0,-0.042387309873330684,-0.031138895826415814,0.01124841404691487,0.0019425017928889356,0.002435288916256954,0.009999850118530891,NaN
sqp,0.001,upper,7.321548821,-400,114,26,100,1,13,0,-0.042387309873330684,-0.048564116913330756,-0.006176807040000072,0.004013446639427662,0.004967159374177887,0.0009999999123377012,NaN
sqp,0.001,lower,13.520480461,-410,137,26,106,2,10,0,-0.042387309873330684,-0.038419340656173764,0.003967969217156919,0.0006415162631278797,0.0008039185277009137,0.00099973777778492,NaN
interior_cg,0.01,upper,5.903525306,-400,46,26,46,0,0,0,-0.042387309873330684,-0.059992914267976566,-0.017605604394645882,0.0031896868805322332,0.003997898710316127,0.00999939577878765,NaN
interior_cg,0.01,lower,6.741441919,-400,73,26,73,0,0,0,-0.042387309873330684,-0.03128130431485675,0.011106005558473936,0.0019830174770855604,0.0024789961685159796,0.009989447861687132,NaN
interior_cg,0.001,upper,6.459196928,-101,87,25,81,0,0,0,-0.042387309873330684,-0.04758068335049684,-0.005193373477166155,0.0009986856841538655,0.001250821512690329,0.0009995267179444551,NaN
interior_cg,0.001,lower,7.051991292,-400,114,26,97,0,0,0,-0.042387309873330684,-0.03842429329610678,0.0039630165772239,0.000636845093495627,0.000798226449925987,0.0009869798564720255,NaN
