point,direction,step_type,epsilon,obj_old,obj_new,improves_objective,Delta0,Delta_new,within_budget,delta_budget,status
seed29_delta0.001_upper_g-0.0472,upper,random_tangent_3,1.0e-6,-0.04721115407308989,-0.04721137492819614,false,0.0010036896813320265,0.0010036962118580497,false,0.001,FiniteSolved
seed29_delta0.001_upper_g-0.0472,upper,random_tangent_3,3.0e-6,-0.04721115407308989,-0.04721181663840865,true,0.0010036896813320265,0.000998819498718045,true,0.001,FiniteSolved
seed29_delta0.001_upper_g-0.0472,upper,random_tangent_3,1.0e-5,-0.04721115407308989,-0.04721336262415243,true,0.0010036896813320265,0.0009988666088712413,true,0.001,FiniteSolved
seed29_delta0.001_upper_g-0.0472,upper,random_tangent_3,3.0e-5,-0.04721115407308989,-0.04721777972627752,true,0.0010036896813320265,0.0009991424170215067,true,0.001,FiniteSolved
seed29_delta0.001_upper_g-0.0472,upper,random_tangent_3,0.0001,-0.04721115407308989,-0.047233239583715315,true,0.0010036896813320265,0.0009996698068208117,true,0.001,FiniteSolved
seed29_delta0.001_upper_g-0.0472,upper,projected_tangent,1.0e-6,-0.04721115407308989,-0.04721194962336312,false,0.0010036896813320265,0.0010062130644806653,false,0.001,FiniteSolved
seed29_delta0.001_upper_g-0.0472,upper,projected_tangent,3.0e-6,-0.04721115407308989,-0.0472135407239096,true,0.0010036896813320265,0.000998949996201819,true,0.001,FiniteSolved
seed29_delta0.001_upper_g-0.0472,upper,projected_tangent,1.0e-5,-0.04721115407308989,-0.04721910957582227,true,0.0010036896813320265,0.0009993018296949971,true,0.001,FiniteSolved
seed29_delta0.001_upper_g-0.0472,upper,projected_tangent,3.0e-5,-0.04721115407308989,-0.04723502058128702,false,0.0010036896813320265,0.0010028374610547256,false,0.001,FiniteSolved
seed29_delta0.001_upper_g-0.0472,upper,projected_tangent,0.0001,-0.04721115407308989,-0.04729070910041368,false,0.0010036896813320265,0.0010140544520092325,false,0.001,FiniteSolved
seed29_delta0.001_upper_g-0.0472,upper,pure_objective,1.0e-6,-0.04721115407308989,-0.04721215407308989,false,0.0010036896813320265,0.001006246198776314,false,0.001,FiniteSolved
