config,nStatus,terminal_reason,wall,n_fc,n_ga,n_inner_solved,n_above_cap,n_numerical_failure,dg,dlogA,dlogf,Delta,incumbent_source,cold_verified_theta,algorithm,seed,delta_budget,direction,external_incumbent_used,n_switches,local_poll_deltas,local_poll_confirms_local_opt
D4_joint_sqp_seed29_delta0.001_upper,-100,other(-100),9.551069298,232,45,199,33,0,-0.006176807328655942,0.004013447947223855,0.004967161006128941,0.0009999999999999996,cold_verified,"-0.048564117201986626;0.31556287631453317;0.3243900308354942;0.320928862461004;0.3887674843015027;0.5104099597359663;0.49603159265559993;0.4532757272117342;0.36139551595450903;0.46393073696622;0.43187224075570785;0.3984411833312729;0.5004232318304648;0.5101598847588239;0.46256311799027716;0.4246013688361221;-0.4700916787555106;-0.2798322246685547;-0.23898875161088948;-0.646103940917338;-0.7435323997889554;-0.6660591671350491;-0.7645643693685201;-0.5349030364459622;-0.6369005709350819;-0.2491631815876295;-0.6306756179403143;-0.698571511859752;-0.11374681700314912;-0.5828291325342714",sqp,29,0.001,upper,true,975,0.0009748850897497753;0.0010380207413554202;0.0008489928644990936;0.001184099375407876,false
D4_joint_sqp_seed29_delta0.001_lower,-200,infeasible,5.074737363,139,30,116,10,0,0.00396796921443221,0.0006415162583161386,0.0008039185675386666,0.0009997377816654929,cold_verified,"-0.038419340658898474;0.3163020435900268;0.32504325891519803;0.3214836338486553;0.38954895858782784;0.5114345710594133;0.4970276591122315;0.45427989066587643;0.3621258376736653;0.4648645712220403;0.43273309770119583;0.3992427098650202;0.5014323253036562;0.5111779204054523;0.4634952570913924;0.4254499278434642;-0.4710414658241523;-0.2803976962285249;-0.2394633220235531;-0.6473182393587192;-0.7450644973387384;-0.6674320674393684;-0.7661231136892602;-0.5359828854956264;-0.638109999453091;-0.24966773993770325;-0.631948344366682;-0.6999770534934853;-0.11397122798636838;-0.5839351139494257",sqp,29,0.001,lower,true,405,0.0010626037216831846;0.0009672676765215704;0.0012691531251605357;0.0007865566570383138,false
D4_joint_sqp_seed49_delta0.001_upper,-200,infeasible,6.871849734,103,27,65,37,0,-0.008321117991416473,0.00783150796983797,0.008921346885337413,0.0009977083397753141,cold_verified,"-0.06777558126557648;0.3033847614550558;0.3531200049455167;0.35723582843221763;0.48130328827965513;0.4670124133930939;0.47417928217730876;0.4286172905239836;0.4617421640099275;0.5117812445548211;0.4259209544717664;0.44410358204440326;0.6462766408591102;0.45966906256153583;0.578667833080431;0.5480932787603252;-0.6836671460902922;-0.7702519235747549;-0.31308492347746447;-0.5294399396809225;-0.4024158037979016;-0.6470085461457539;-0.691588040747414;-0.300418859913494;-0.5150416730581171;-0.5522832311189592;-0.3753055388503688;-0.8083328952852282;-0.3327340480505731;-0.4713666055506311",sqp,49,0.001,upper,true,1426,0.000978057552892751;0.0010218423557194663;0.0009059656336443258;0.00113303099688887,false
D4_joint_sqp_seed49_delta0.001_lower,-200,infeasible,5.584961071,68,18,44,14,0,0.002703845293911031,0.00047628876309231325,0.0005409852963821908,0.000986614247121575,cold_verified,"-0.056750617980248975;0.3049666915419164;0.3545288622003993;0.35865946208340105;0.483006094839918;0.4688827078928181;0.4760673925518451;0.43030682622000865;0.46381277995246817;0.5138212568420786;0.4276196060285586;0.445878713347118;0.6488899890700751;0.4614898544218448;0.5809756400905397;0.5502902374296114;-0.6865057088060007;-0.7734651120026829;-0.3143375975716738;-0.5313039956130124;-0.40402895089446517;-0.6496429920185316;-0.6945881925108887;-0.3016256356389157;-0.5168922959546115;-0.5545517607470296;-0.37681943049548056;-0.8116711052472053;-0.33407127512629853;-0.47310563829345414",sqp,49,0.001,lower,true,250,0.0010862842970779142;0.000920490968403352;0.001398907943239834;0.0006628252516144248,false
D4_joint_sqp_seed50_delta0.001_upper,-100,other(-100),13.349542074,332,46,184,66,0,-0.0038296156429446088,0.0012335164910327846,0.0018057827736429287,0.0009915266444391838,cold_verified,"-0.09802243190416446;0.28163033597224485;0.2857014163589181;0.3461894395559515;0.3422160174436516;0.488628191692119;0.4595495936840875;0.4644629481958205;0.5464407391425435;0.3802862928982267;0.43692897108156986;0.29468481227890087;0.46794973077751206;0.4113821072021955;0.4126856954712792;0.4955343677313208;-0.6290855071097123;-0.8014919461976118;-0.9009594773298293;-0.5472753629003833;-0.5250969801318809;-0.41864080657586134;-0.9860972826846224;-0.564349967205169;-0.5112056176777582;-0.3595501943408951;-0.5260579190780416;-0.579521820817714;-0.6163186127676201;-0.5283847979318352",sqp,50,0.001,upper,true,485,0.000923480384994581;0.0010590047272793495;0.0006792670385382094;0.0013325847801976657,false
D4_joint_sqp_seed50_delta0.001_lower,-200,infeasible,8.518791143,94,22,64,17,0,0.0021946021428825013,0.00036560364811925297,0.000535847200114201,0.0009864417437296122,cold_verified,"-0.09199821411833735;0.28182718016350217;0.28585113549530516;0.34634790195269693;0.3423955580030495;0.48888591907252454;0.4597999158350581;0.46470925489606973;0.5467314193556128;0.3804869519966462;0.4371858681123706;0.29484117335147153;0.4681988176427898;0.41160056927703487;0.41290902131281704;0.49580214901955416;-0.6294289327337396;-0.80192846119042;-0.9014520574209087;-0.5475494193352589;-0.5253816185301784;-0.41886705686320597;-0.9866391232662881;-0.5646551410321157;-0.5114674369546544;-0.35974489297723505;-0.526342437226298;-0.5798344898604573;-0.6166523585928914;-0.5286521905682092",sqp,50,0.001,lower,true,257,0.0010975579830562502;0.0009204808740905441;0.0014680774390829951;0.0006384606312520834,false
D4_joint_sqp_seed29_delta0.01_upper,-400,iter_limit_feas,25.221907535,707,121,492,213,0,-0.020117316580509984,0.011449648363820527,0.014511993781632659,0.009999986994045851,cold_verified,"-0.06250462645384067;0.31417584937433407;0.3229399095465039;0.3196095931910608;0.38702960813764475;0.5081231607649139;0.49382345446189785;0.45116286381735754;0.3597578433704668;0.46185090471697343;0.4299551786525315;0.39665665074508544;0.4981836868009674;0.5078731324937245;0.46049330268126976;0.4227136437574044;-0.4679276227341889;-0.2785775374540383;-0.23796229006896605;-0.6432773596914169;-0.7399939368711506;-0.662963551363331;-0.7609987453729882;-0.5324465166905828;-0.6341345769770995;-0.24804424436946532;-0.6277120582599088;-0.6952996237673982;-0.11328775455235064;-0.5803077354448303",sqp,29,0.01,upper,true,2936,0.009921341506922591;0.010116899948874358;0.009506714403861385;0.010572553540913328,false
D4_joint_sqp_seed29_delta0.01_lower,-200,infeasible,7.605690772,162,37,131,21,0,0.011248657589888474,0.0019428444105292011,0.0024357132495832325,0.009999894729177394,cold_verified,"-0.03113865228344221;0.3160677552290128;0.32478888935319733;0.3212231034786305;0.3892441051980819;0.5110343577696508;0.496638721029184;0.4539329160564288;0.3618424172071021;0.46450078676053747;0.4323944777967005;0.398930283635548;0.5010399703003593;0.5107778855148803;0.4631325530885808;0.42511699563181177;-0.470673041106742;-0.28017840268934013;-0.23927574234505913;-0.6468015067057797;-0.7444912575243113;-0.6669166441774292;-0.7655299923451233;-0.535563641378196;-0.6376021948792359;-0.249472498297966;-0.6314571099532432;-0.6994353586274001;-0.11388184587618444;-0.5834700087913205",sqp,29,0.01,lower,true,1176,0.010312327569933596;0.009927755764158145;0.01105468289165993;0.009083610308381994,false
D4_joint_sqp_seed49_delta0.01_upper,-200,infeasible,8.580635881,151,28,101,32,0,-0.027298008251976168,0.025911649436086065,0.029518193769423638,0.009995835150176675,cold_verified,"-0.08675247152613617;0.29976702966693547;0.3496336022884037;0.35371157403558;0.4771035531637285;0.4623878178265523;0.4695192439100847;0.4243433241076438;0.45683914336156045;0.5067342512133954;0.42173466427964384;0.43972346730879047;0.6397555946376047;0.45517472588865243;0.5729551201571534;0.5427387672726505;-0.676798940655628;-0.7624908283426904;-0.3098906476373038;-0.5246561425672981;-0.39824796722583755;-0.6404340030671367;-0.6845005846785714;-0.29734999542130974;-0.5103708932187531;-0.5466649477733299;-0.371448385188072;-0.8002545081994177;-0.32934382516132554;-0.4670596690751901",sqp,49,0.01,upper,true,4565,0.00993371042620827;0.010080166651068513;0.009652790847540862;0.010391983848032473,false
D4_joint_sqp_seed49_delta0.01_lower,-200,infeasible,26.187835492,84,18,51,19,0,0.006303385392803479,0.001096513364472913,0.0012454340440012062,0.009827395985148046,cold_verified,"-0.05315107788135653;0.3048633040784508;0.3544086863134834;0.3585378848994611;0.48284236197432767;0.46872377027433204;0.4759060172017928;0.4301609544493784;0.46365546396352686;0.5136470844213629;0.4274746511583752;0.4457275755155273;0.6486700185677946;0.46133341822892443;0.5807787010826686;0.5501037069939;-0.6862730404962459;-0.7732031024331512;-0.31423114291181087;-0.5311239613061457;-0.4038919927371331;-0.6494228371749086;-0.6943526843013029;-0.301523459482771;-0.5167170732862757;-0.5543638453876075;-0.3766917876958757;-0.8113959584944173;-0.33395809778342095;-0.47294511508887455",sqp,49,0.01,lower,true,582,0.010727040542788252;0.00953992825302351;0.014577209167183709;0.0075232616054161485,false
