label,technology,participation,direction,kind,g,Delta,kappa_ratio,GT,nStatus,n_fc,n_ga,n_above_cap,n_numerical_failure,dense_fallback,wall,incumbent_present
gamma_only,logA,logf,upper,restricted_gamma_only,-0.058754467028907055,0.009993737507481285,0.9246183827116188,0.07538161728838122,0,42,13,0,0,0,19.168593883514404,true
gamma_only,logA,logf,lower,restricted_gamma_only,-0.030072901785512224,0.009889765986615668,0.9424681603705882,0.057531839629411774,0,13,8,2,0,0,2.43340802192688,true
gamma_tech_only,logA,logf,upper,restricted_gamma_tech,-0.057783141602970316,0.009610209676195866,0.9252173135058706,0.07478268649412945,-410,73,26,67,0,0,30.273431062698364,true
gamma_participation_only,logA,logf,upper,restricted_gamma_participation,-0.061308724195989456,0.009995808397107179,0.9230452470688403,0.07695475293115972,-410,131,26,47,0,0,12.989635944366455,true
gamma_tech_only,logA,logf,lower,restricted_gamma_tech,-0.03245663262980503,0.008589764543085503,0.9409716228506582,0.05902837714934184,-200,60,20,42,0,0,12.790477991104126,true
gamma_participation_only,logA,logf,lower,restricted_gamma_participation,-0.023434363885877833,0.009880790285280506,0.9466484776801983,0.05335152231980167,-200,92,25,63,0,0,63.25169897079468,true
gamma_tech_only,logA,logcutoff,upper,restricted_gamma_tech,-0.07940926600717839,0.00997925097226243,0.91197376860873,0.08802623139126997,-410,114,26,13,0,0,14.373253107070923,true
gamma_participation_only,logA,logcutoff,upper,restricted_gamma_participation,-0.04919917357461185,0.004776009894884123,0.9305271828233795,0.06947281717662046,-410,51,26,24,0,0,5.685098886489868,true
gamma_tech_only,logA,logcutoff,lower,restricted_gamma_tech,-0.010907247149671237,0.009995882476689661,0.9545874329361286,0.04541256706387142,-400,185,26,13,0,0,22.065951824188232,true
gamma_participation_only,logA,logcutoff,lower,restricted_gamma_participation,-0.027309097895454663,0.009665601071602104,0.9442062926096568,0.05579370739034317,-410,148,26,105,0,0,12.163394927978516,true
gamma_tech_only,theta_logA,logf,upper,restricted_gamma_tech,-0.06514535852228774,0.009588535778894737,0.9206873391114313,0.0793126608885687,-410,77,26,5,0,0,11.138077020645142,true
gamma_participation_only,theta_logA,logf,upper,restricted_gamma_participation,-0.051025227854067434,0.004534342801375196,0.9293950766294173,0.07060492337058266,-410,70,26,49,0,0,30.77710509300232,true
gamma_tech_only,theta_logA,logf,lower,restricted_gamma_tech,-0.029177241075998728,0.008310712419262867,0.9430310828838632,0.05696891711613683,-410,52,26,18,0,0,7.149418830871582,true
gamma_participation_only,theta_logA,logf,lower,restricted_gamma_participation,-0.0251622443191945,0.009692904281228576,0.9455586419147985,0.05444135808520145,-410,75,26,55,0,0,6.326472997665405,true
gamma_tech_only,theta_logA,logcutoff,upper,restricted_gamma_tech,-0.0701043790767137,0.009996098603224446,0.9176485600425682,0.08235143995743177,-410,49,26,0,0,0,8.698348999023438,true
gamma_participation_only,theta_logA,logcutoff,upper,restricted_gamma_participation,-0.04919917357461189,0.004776009894883978,0.9305271828233795,0.06947281717662046,-410,51,26,24,0,0,6.247499942779541,true
gamma_tech_only,theta_logA,logcutoff,lower,restricted_gamma_tech,-0.020932762015749357,0.00999974703489271,0.9482285532887497,0.051771446711250335,-410,41,26,2,0,0,7.5046608448028564,true
gamma_participation_only,theta_logA,logcutoff,lower,restricted_gamma_participation,-0.027309097895454555,0.009665601071602147,0.9442062926096569,0.05579370739034306,-410,148,26,105,0,0,57.75456690788269,true
gamma_tech_only,sigma_minus_one_logA,logf,upper,restricted_gamma_tech,-0.062120384368806965,0.009313841774607659,0.922545916133532,0.07745408386646802,-410,70,26,73,0,0,3.940919876098633,true
gamma_participation_only,sigma_minus_one_logA,logf,upper,restricted_gamma_participation,-0.045038772991680444,0.00372657345137387,0.933111675897934,0.06688832410206602,-410,49,26,59,0,0,19.191534996032715,true
gamma_tech_only,sigma_minus_one_logA,logf,lower,restricted_gamma_tech,-0.026510861193687323,0.009181623611505577,0.9447088930737085,0.05529110692629147,-410,119,26,34,0,0,14.046926975250244,true
gamma_participation_only,sigma_minus_one_logA,logf,lower,restricted_gamma_participation,-0.025776727728286528,0.009953673009392153,0.9451713678461909,0.054828632153809065,-410,127,26,68,0,0,10.437874794006348,true
gamma_tech_only,sigma_minus_one_logA,logcutoff,upper,restricted_gamma_tech,-0.07953396955176763,0.009997230467891041,0.9118979541858707,0.08810204581412928,-410,54,26,7,0,0,8.410470008850098,true
gamma_participation_only,sigma_minus_one_logA,logcutoff,upper,restricted_gamma_participation,-0.049199173574611815,0.004776009894884055,0.9305271828233795,0.06947281717662046,-410,51,26,24,0,0,5.905250072479248,true
gamma_tech_only,sigma_minus_one_logA,logcutoff,lower,restricted_gamma_tech,-0.024431173757934955,0.009486387748981804,0.9460196009615692,0.05398039903843077,-410,56,26,11,0,0,8.968167781829834,true
gamma_participation_only,sigma_minus_one_logA,logcutoff,lower,restricted_gamma_participation,-0.027309097895454347,0.009665601071602472,0.944206292609657,0.05579370739034295,-410,148,26,105,0,0,12.539658784866333,true
full_six_way,logA,logf,upper,full_fair,-0.0619560844364638,0.005906120909347724,0.9226469711556116,0.07735302884438844,-410,66,26,34,0,0,7.735732078552246,true
full_six_way,logA,logf,lower,full_fair,-0.023434363885877833,0.009880790285280506,0.9466484776801983,0.05335152231980167,-410,72,26,61,0,0,5.465476036071777,true
full_six_way,logA,logcutoff,upper,full_fair,-0.07940926600717839,0.00997925097226243,0.91197376860873,0.08802623139126997,-410,66,26,66,0,0,3.795891046524048,true
full_six_way,logA,logcutoff,lower,full_fair,-0.010907247149671237,0.009995882476689661,0.9545874329361286,0.04541256706387142,-410,130,26,54,0,0,43.917617082595825,true
full_six_way,theta_logA,logf,upper,full_fair,-0.06514535852228774,0.009588535778894737,0.9206873391114313,0.0793126608885687,-410,63,26,45,0,0,31.160759925842285,true
full_six_way,theta_logA,logf,lower,full_fair,-0.0251622443191945,0.009692904281228576,0.9455586419147985,0.05444135808520145,-410,84,26,56,0,0,8.424662113189697,true
full_six_way,theta_logA,logcutoff,upper,full_fair,-0.0701043790767137,0.009996098603224446,0.9176485600425682,0.08235143995743177,-410,156,26,73,0,0,14.03482985496521,true
full_six_way,theta_logA,logcutoff,lower,full_fair,-0.020932762015749357,0.00999974703489271,0.9482285532887497,0.051771446711250335,-200,76,21,28,0,0,10.395375967025757,true
full_six_way,sigma_minus_one_logA,logf,upper,full_fair,-0.062120384368806965,0.009313841774607659,0.922545916133532,0.07745408386646802,-410,62,26,7,0,0,11.280687093734741,true
full_six_way,sigma_minus_one_logA,logf,lower,full_fair,-0.025776727728286528,0.009953673009392153,0.9451713678461909,0.054828632153809065,-410,78,26,41,0,0,9.275016784667969,true
full_six_way,sigma_minus_one_logA,logcutoff,upper,full_fair,-0.07953396955176763,0.009997230467891041,0.9118979541858707,0.08810204581412928,-200,57,19,17,0,0,6.106194972991943,true
full_six_way,sigma_minus_one_logA,logcutoff,lower,full_fair,-0.024431173757934955,0.009486387748981804,0.9460196009615692,0.05398039903843077,-410,119,26,57,0,0,35.5761981010437,true
