point,direction,step_type,epsilon,obj_improves,predicted_obj_change,realized_obj_change,delta_finite_after_step,predicted_delta_change,realized_delta_change,new_status,Delta0
D4_calibration,upper,pure_g,1.0e-8,true,-1.0e-8,-1.0000000001675335e-8,true,3.691683151022473e-11,-1.0064573658230406e-11,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,pure_g,3.0e-8,true,-3.0e-8,-2.999999999808711e-8,true,1.1075049453067419e-10,-3.018839070392733e-11,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,pure_g,1.0e-7,true,-1.0e-7,-1.0000000000287557e-7,true,3.691683151022473e-10,-1.0056577201594314e-10,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,pure_g,3.0e-7,true,-3.0e-7,-3.000000000016878e-7,true,1.1075049453067419e-9,-3.0116420202520275e-10,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,pure_g,1.0e-6,true,-1.0e-6,-1.000000000001e-6,true,3.691683151022473e-9,-6.380416818754496e-9,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,pure_g,3.0e-6,true,-3.0e-6,-3.0000000000030003e-6,true,1.1075049453067419e-8,-8.24209615778488e-9,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,pure_g,1.0e-5,true,-1.0e-5,-1.0000000000003062e-5,true,3.6916831510224736e-8,-1.4198429682658501e-8,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,pure_g,3.0e-5,true,-3.0e-5,-3.0000000000002247e-5,true,1.1075049453067419e-7,-2.206254468913991e-8,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,pure_g,0.0001,true,-0.0001,-0.00010000000000000286,true,3.691683151022473e-7,1.2496153260507497e-6,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,neg_DeltaStar_grad,1.0e-8,false,1.00900223718376e-9,1.0090022359299233e-9,true,-3.6587462494893796e-10,-6.210124628993035e-11,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,neg_DeltaStar_grad,3.0e-8,false,3.0270067115512795e-9,3.027006714728664e-9,true,-1.0976238748468138e-9,-1.8629711719650216e-10,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,neg_DeltaStar_grad,1.0e-7,false,1.0090022371837599e-8,1.0090022373177021e-8,true,-3.6587462494893794e-9,-6.209130927174885e-10,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,neg_DeltaStar_grad,3.0e-7,false,3.02700671155128e-8,3.027006711259217e-8,true,-1.0976238748468137e-8,-1.8620767063331562e-9,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,neg_DeltaStar_grad,1.0e-6,false,1.0090022371837599e-7,1.0090022371789242e-7,true,-3.658746249489379e-8,-6.199192160484444e-9,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,neg_DeltaStar_grad,3.0e-6,false,3.0270067115512797e-7,3.0270067115367727e-7,true,-1.0976238748468139e-7,-1.853131302552226e-8,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,neg_DeltaStar_grad,1.0e-5,false,1.00900223718376e-6,1.0090022371858631e-6,true,-3.6587462494893797e-7,-8.012419961028191e-7,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,neg_DeltaStar_grad,3.0e-5,false,3.02700671155128e-6,3.0270067115506505e-6,true,-1.0976238748468139e-6,-6.38968596478534e-7,FiniteSolved,7.554508757038378e-6
