index,singular_value
1,509.3198573106161
2,192.64449792149628
3,185.5166765373119
4,176.47889783677553
5,155.40714389630358
6,144.87004986771225
7,139.0657226327933
8,128.72891515407022
9,115.8005483253059
10,107.7900893916895
11,106.08826060502842
12,105.0566655200727
13,90.37815930928907
14,84.49705494509234
15,74.53232598073252
16,57.36212445685965
17,23.956552917541625
18,13.419564341028716
19,2.7623188578325313
20,2.0330059550187826e-15
21,2.3417896888038286e-16
22,8.851502344084986e-33
23,5.487868681841186e-34
24,1.015238671310427e-50
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
