point,direction,step,dGT_pp,pred_dDelta_assembled_gradient,pred_dDelta_block_secant,reoptimized_dDelta,n_switches,n_autarky_switches,classification
interior_Delta0.5,pure_gamma,1.0e-6,6.247288549765528e-5,2.5614217900542105e-5,NaN,3.898219584580476e-5,1,0,FiniteSolved
interior_Delta0.5,pure_gamma,1.0e-5,0.0006247269807575506,0.00025614217900542106,NaN,0.00026448728983374803,3,0,FiniteSolved
interior_Delta0.5,pure_gamma,0.0001,0.006247082393461945,0.0025614217900542108,NaN,0.0025894554764053224,28,0,FiniteSolved
interior_Delta0.5,technology_block,1.0e-6,0.0,-2.415952494874164e-8,NaN,8.636562494057642e-7,1,0,FiniteSolved
interior_Delta0.5,technology_block,1.0e-5,0.0,-2.415952494874162e-7,NaN,9.01657444990489e-6,13,0,FiniteSolved
interior_Delta0.5,technology_block,0.0001,0.0,-2.4159524948741686e-6,NaN,NaN,120,0,NumericalFailure
interior_Delta0.5,participation_block,1.0e-6,0.0,-9.399349783420297e-7,-2.2512689434872613e-8,-2.2512687603004622e-8,0,0,FiniteSolved
interior_Delta0.5,participation_block,1.0e-5,0.0,-9.399349783420296e-6,-2.827673895033911e-8,2.4745109094559403e-6,7,0,FiniteSolved
interior_Delta0.5,participation_block,0.0001,0.0,-9.399349783420296e-5,-4.6416469001608895e-5,-1.0830901702507667e-5,83,0,FiniteSolved
interior_Delta0.5,mixed_gamma_participation,1.0e-6,-5.61711923756647e-5,-2.848782529291639e-5,-1.9058341026390035e-5,-1.9057505059538737e-5,0,0,FiniteSolved
interior_Delta0.5,mixed_gamma_participation,1.0e-5,-0.0005617134389179768,-0.00028487825292916385,-0.00022411653140919086,-0.00022367832331049442,2,0,FiniteSolved
interior_Delta0.5,mixed_gamma_participation,0.0001,-0.0056172859078778,-0.00284878252929164,-0.003117693377548414,-0.0023899084741078602,31,0,FiniteSolved
nearbudget_Delta1,pure_gamma,1.0e-6,6.202267698363073e-5,5.705599679614926e-5,NaN,5.165297230402821e-5,0,0,FiniteSolved
nearbudget_Delta1,pure_gamma,1.0e-5,0.0006202249090980771,0.0005705599679614926,NaN,0.000562033598875078,2,0,FiniteSolved
nearbudget_Delta1,pure_gamma,0.0001,0.006202063027416216,0.005705599679614926,NaN,0.005701184597176945,24,0,FiniteSolved
nearbudget_Delta1,technology_block,1.0e-6,0.0,-1.0976051950103742e-5,NaN,8.048941898541884e-7,1,0,FiniteSolved
nearbudget_Delta1,technology_block,1.0e-5,0.0,-0.00010976051950103742,NaN,2.470543917987289e-5,10,0,FiniteSolved
nearbudget_Delta1,technology_block,0.0001,0.0,-0.0010976051950103741,NaN,0.00015157710516644496,136,0,FiniteSolved
nearbudget_Delta1,participation_block,1.0e-6,0.0,-3.6770929934033666e-6,9.656925794576665e-7,1.060717380596543e-6,1,0,FiniteSolved
nearbudget_Delta1,participation_block,1.0e-5,0.0,-3.677092993403368e-5,5.833304483893187e-7,7.672024651128595e-7,5,0,FiniteSolved
nearbudget_Delta1,participation_block,0.0001,0.0,-0.0003677092993403366,1.4393063990203459e-5,4.415524350309674e-5,79,0,FiniteSolved
nearbudget_Delta1,mixed_gamma_participation,1.0e-6,-1.575865157299461e-5,-0.00022456027556836815,-1.3131746097738706e-5,-1.3131511576780497e-5,0,0,FiniteSolved
nearbudget_Delta1,mixed_gamma_participation,1.0e-5,-0.00015758663577436494,-0.002245602755683682,-0.00013132548674621436,-0.0001313020355525607,0,0,FiniteSolved
nearbudget_Delta1,mixed_gamma_participation,0.0001,-0.0015758783696417922,-0.02245602755683682,-0.040835845407938165,-0.0014884281709551805,12,0,FiniteSolved
