label,technology,participation,direction,coord,registered_pred,fd_registered,sign_match,magnitude_ratio,fd_Delta,switch_count,eval_p_nStatus,eval_m_nStatus,eval_p_feasible,eval_m_feasible
logA__logf,logA,logf,gamma,1,-3.691683151022473,-5.360482813731582,true,0.6886848217413813,-0.005360482813731584,0,0,0,true,true
logA__logf,logA,logf,participation,17,0.0,0.0,true,NaN,0.0,0,0,0,true,true
logA__logcutoff,logA,logcutoff,gamma,1,-3.691683151021641,-5.3604828137221885,true,0.688684821742433,-0.00536048281372219,0,0,0,true,true
logA__logcutoff,logA,logcutoff,technology,2,-0.6458575300355429,-0.6459674573838606,true,0.9998298252534843,-0.0006459674573838671,0,0,0,true,true
logA__logcutoff,logA,logcutoff,participation,20,7.267655970243507,8.578009970945637,true,0.847242658245864,0.008578009970945634,0,0,0,true,true
logA__logcutoff,logA,logcutoff,mixed,-1,1.6917028509683623,0.4154036379837864,true,4.072431476958782,0.0004154036379837803,0,0,0,true,true
sigma_minus_one_logA__logcutoff,sigma_minus_one_logA,logcutoff,gamma,1,-3.6916831510207526,-5.360482813723923,true,0.6886848217420444,-0.0053604828137239265,0,0,0,true,true
sigma_minus_one_logA__logcutoff,sigma_minus_one_logA,logcutoff,technology,2,-0.43057168515706074,-0.43060425621854315,true,0.9999243596387819,-0.00043060425621854287,0,0,0,true,true
sigma_minus_one_logA__logcutoff,sigma_minus_one_logA,logcutoff,participation,20,7.267655970243259,8.578009970945065,true,0.8472426582458914,0.008578009970945067,0,0,0,true,true
sigma_minus_one_logA__logcutoff,sigma_minus_one_logA,logcutoff,mixed,-1,1.8159981914620391,0.5582195005179478,true,3.2531973350573615,0.0005582195005179497,0,0,0,true,true
theta_logA__logcutoff,theta_logA,logcutoff,gamma,1,-3.691683151021641,-5.3604828137221885,true,0.688684821742433,-0.00536048281372219,0,0,0,true,true
theta_logA__logcutoff,theta_logA,logcutoff,technology,2,-0.09497904794067423,-0.09497939754318004,true,0.9999963191753701,-9.497939754318746e-5,0,0,0,true,true
theta_logA__logcutoff,theta_logA,logcutoff,participation,20,7.267655970243507,8.578009970945637,true,0.847242658245864,0.008578009970945634,0,0,0,true,true
theta_logA__logcutoff,theta_logA,logcutoff,mixed,-1,2.009752690896607,0.7808362686791744,true,2.5738464919107935,0.0007808362686791723,0,0,0,true,true
