point,direction,step_norm,total_moment_change_norm,intensive_linear_norm,extensive_residual_norm,frac_extensive,n_switches,n_autarky_switches
D4_calibration,A_only,0.001,10.43920651050996,0.15888426850591889,10.435616372309784,0.999656090891912,71,0
D4_calibration,mixed_Af,0.001,8.846628555587937,0.11523896648916503,8.845429893635833,0.9998645063546443,54,0
D4_calibration,f_only,0.001,8.0854105797634,0.012742896455434366,8.085400543915325,0.9999987587707544,47,0
D4_calibration,pure_g,0.001,7.313412459044884,0.05882609779175727,7.313176053924248,0.9999676751281347,77,0
D4_near_boundary,A_only,0.001,10.252959202689892,0.158081843609158,10.249316229513592,0.9996446905615948,67,0
D4_near_boundary,mixed_Af,0.001,8.626216245111216,0.11357596070825378,8.62500900030557,0.9998600493227455,50,0
D4_near_boundary,f_only,0.001,7.682484388165687,0.012742896455434366,7.682473825962952,0.9999986251579306,38,0
D4_near_boundary,pure_g,0.001,6.065209068423759,0.05725311488449604,6.064939008599261,0.9999554739463303,42,0
D4_calibration_bigger_step,A_only,0.01,34.29369555186227,1.5888426850591888,34.182054499609926,0.9967445604664126,762,0
D4_calibration_bigger_step,mixed_Af,0.01,28.74935401467872,1.1523896648916503,28.712829219978005,0.9987295438122865,556,0
D4_calibration_bigger_step,f_only,0.01,26.064032373731614,0.12742896455434366,26.063723239808542,0.9999881394437116,473,0
D4_calibration_bigger_step,pure_g,0.01,23.3790977752305,0.5882609779175727,23.371753658853635,0.9996858682722717,790,0
