point,direction,step,total_fixed_dual_change,intensive_component,switching_component,intensive_plus_switching_check,reoptimized_dDelta,n_switches
interior_Delta0.5,participation_block,1.0e-6,-2.2512689434872613e-8,-9.399349783420297e-7,9.174222889071571e-7,-2.2512689434872613e-8,-2.2512687603004622e-8,0
interior_Delta0.5,participation_block,1.0e-5,-2.827673895033911e-8,-9.399349783420296e-6,9.371073044469957e-6,-2.827673895033911e-8,2.4745109094559403e-6,7
interior_Delta0.5,participation_block,0.0001,-4.6416469001608895e-5,-9.399349783420296e-5,4.757702883259406e-5,-4.6416469001608895e-5,-1.0830901702507667e-5,83
interior_Delta0.5,mixed_gamma_participation,1.0e-6,-1.9058341026390035e-5,-2.848782529291639e-5,9.429484266526355e-6,-1.9058341026390035e-5,-1.9057505059538737e-5,0
interior_Delta0.5,mixed_gamma_participation,1.0e-5,-0.00022411653140919086,-0.00028487825292916385,6.0761721519972996e-5,-0.00022411653140919086,-0.00022367832331049442,2
interior_Delta0.5,mixed_gamma_participation,0.0001,-0.003117693377548414,-0.00284878252929164,-0.0002689108482567741,-0.003117693377548414,-0.0023899084741078602,31
nearbudget_Delta1,participation_block,1.0e-6,9.656925794576665e-7,-3.6770929934033666e-6,4.642785572861033e-6,9.656925794576665e-7,1.060717380596543e-6,1
nearbudget_Delta1,participation_block,1.0e-5,5.833304483893187e-7,-3.677092993403368e-5,3.7354260382423e-5,5.833304483893187e-7,7.672024651128595e-7,5
nearbudget_Delta1,participation_block,0.0001,1.4393063990203459e-5,-0.0003677092993403366,0.0003821023633305401,1.4393063990203459e-5,4.415524350309674e-5,79
nearbudget_Delta1,mixed_gamma_participation,1.0e-6,-1.3131746097738706e-5,-0.00022456027556836815,0.00021142852947062945,-1.3131746097738706e-5,-1.3131511576780497e-5,0
nearbudget_Delta1,mixed_gamma_participation,1.0e-5,-0.00013132548674621436,-0.002245602755683682,0.0021142772689374677,-0.00013132548674621436,-0.0001313020355525607,0
nearbudget_Delta1,mixed_gamma_participation,0.0001,-0.040835845407938165,-0.02245602755683682,-0.018379817851101345,-0.040835845407938165,-0.0014884281709551805,12
