direction,h,pred,fd_registered,fd_Delta,fd_Delta_rescaled,ratio_pred_vs_fdDelta,ratio_fdreg_vs_fdDelta,switch_count,eval_p_nStatus,eval_m_nStatus,dual_dist,eval_p_Delta,eval_m_Delta
gamma,1.0e-6,-3.691683151022473,3.6979242725755648,0.003697924272575785,3.6979242725757846,-0.9983122635583437,0.9999999999999406,0,0,0,0.0003670566920953042,7.555524188764775e-6,7.5481283402196235e-6
gamma,3.0e-6,-3.691683151022473,1.8902844787260729,0.0018902844787260604,1.8902844787260604,-1.9529775505062859,1.0000000000000067,0,0,0,0.0005603451609277812,7.5576083677529494e-6,7.546266660880593e-6
gamma,1.0e-5,-3.691683151022473,1.257628742956868,0.0012576287429568683,1.2576287429568682,-2.9354315983131785,0.9999999999999998,0,0,0,0.0013450949994149551,7.565462902214857e-6,7.5403103273557194e-6
gamma,3.0e-5,-3.691683151022473,1.2593928926155593,0.001259392892615552,1.259392892615552,-2.9313196641561587,1.0000000000000058,0,0,0,0.004036372594446503,7.608009785906171e-6,7.532446212349238e-6
gamma,0.0001,-3.691683151022473,-5.360482813731582,-0.005360482813731584,-5.360482813731584,0.6886848217413811,0.9999999999999997,0,0,0,0.01984992753989972,7.732027520342811e-6,8.804124083089128e-6
gamma,0.0003,-3.691683151022473,-5.242468955482542,-0.0052424689554825404,-5.242468955482541,0.7041878897845898,1.0000000000000002,0,0,0,0.05984111708808627,1.1641280821756212e-5,1.4786762195045736e-5
gamma,0.001,-3.691683151022473,-1.4748372621651227,-0.0014748372621651228,-1.474837262165123,2.5031122048021266,0.9999999999999999,0,0,0,0.1761578536503562,5.223597989504024e-5,5.518565441937049e-5
technology,1.0e-6,5.185491795335534,-0.6458575375349781,-0.0006458575375349984,-0.6458575375349984,-8.028847685399255,0.9999999999999686,0,0,0,2.5720017526794006e-5,7.553867756772758e-6,7.555159471847828e-6
technology,3.0e-6,5.185491795335534,-0.6458576248079042,-0.0006458576248079087,-0.6458576248079086,-8.028846600483824,0.9999999999999931,0,0,0,7.716005257223399e-5,7.552614899604997e-6,7.556490045353844e-6
technology,1.0e-5,5.185491795335534,-0.6458586252380393,-0.000645858625238085,-0.6458586252380849,-8.028834163860536,0.9999999999999294,0,0,0,0.00025720017555214684,7.548535897914941e-6,7.561453070419703e-6
technology,3.0e-5,5.185491795335534,-3.0631039269646565,-0.003063103926964667,-3.063103926964667,-1.6928879721276753,0.9999999999999966,0,0,0,0.0024907914861414123,7.503747360078036e-6,7.687533595695916e-6
technology,0.0001,5.185491795335534,6.203845497748843,0.006203845497748841,6.203845497748841,0.8358512147372413,1.0000000000000004,0,0,0,0.02468005670410731,9.555837306731134e-6,8.315068207181366e-6
technology,0.0003,5.185491795335534,3.5750388277969893,0.003575038827796985,3.575038827796985,1.4504714620207202,1.0000000000000013,0,0,0,0.050068439839750754,1.6093785991649997e-5,1.3948762694971806e-5
technology,0.001,5.185491795335534,3.038974754320578,0.003038974754320581,3.038974754320581,1.7063293428032595,0.999999999999999,0,0,0,0.19700764476892577,0.00011426583905132132,0.00010818788954268016
participation,1.0e-6,0.0,0.0,0.0,0.0,NaN,NaN,0,0,0,0.0,7.554508757038379e-6,7.554508757038379e-6
participation,3.0e-6,0.0,0.0,0.0,0.0,NaN,NaN,0,0,0,0.0,7.554508757038379e-6,7.554508757038379e-6
participation,1.0e-5,0.0,0.0,0.0,0.0,NaN,NaN,0,0,0,0.0,7.554508757038379e-6,7.554508757038379e-6
participation,3.0e-5,0.0,0.0,0.0,0.0,NaN,NaN,0,0,0,0.0,7.554508757038379e-6,7.554508757038379e-6
participation,0.0001,0.0,0.0,0.0,0.0,NaN,NaN,0,0,0,0.0,7.554508757038379e-6,7.554508757038379e-6
participation,0.0003,0.0,-0.3185738632973008,-0.00031857386329730024,-0.31857386329730025,-0.0,1.0000000000000018,0,0,0,0.0012533749992667416,7.554508757038379e-6,7.745653075016759e-6
participation,0.001,0.0,-1.1153964069581468,-0.0011153964069581465,-1.1153964069581466,-0.0,1.0000000000000002,0,0,0,0.023911131388449858,7.535287179323527e-6,9.76607999323982e-6
mixed,1.0e-6,0.8624508229119359,0.2082437551209279,0.0002082437551209313,0.2082437551209313,4.141544712402509,0.9999999999999838,0,0,0,6.147964968615767e-5,7.554720882345691e-6,7.554304394835449e-6
mixed,3.0e-6,0.8624508229119359,1.042296652036268,0.0010422966520361302,1.0422966520361303,0.8274523584309084,1.0000000000001321,0,0,0,0.0004292770574193454,7.5551684227532225e-6,7.548914642841006e-6
mixed,1.0e-5,0.8624508229119359,0.4096252056184392,0.0004096252056184595,0.4096252056184595,2.105463265156723,0.9999999999999504,0,0,0,0.0008228755854451365,7.556979369608322e-6,7.548786865495953e-6
mixed,3.0e-5,0.8624508229119359,-1.4944632357133478,-0.0014944632357133693,-1.4944632357133694,-0.5770973833961545,0.9999999999999856,0,0,0,0.0023507091472358614,7.564250006184494e-6,7.653917800327296e-6
mixed,0.0001,0.8624508229119359,-1.292036303222029,-0.0012920363032220307,-1.2920363032220308,-0.6675128405921636,0.9999999999999987,0,0,0,0.007982973056166569,7.655431150488562e-6,7.913838411132968e-6
mixed,0.0003,0.8624508229119359,-1.3185215864401953,-0.0013185215864401961,-1.318521586440196,-0.654104439230623,0.9999999999999994,0,0,0,0.026263609909677074,9.64499026453916e-6,1.0436103216403277e-5
mixed,0.001,0.8624508229119359,1.4290220059251546,0.0014290220059251508,1.4290220059251508,0.6035252216802526,1.0000000000000027,0,0,0,0.09032998958708621,3.712612355987766e-5,3.4268079548027356e-5
