g,nStatus,verified,Delta,kappa_ratio,GT
0.0,-102,false,NaN,0.9615540116765573,0.038445988323442704
-0.005,-102,false,NaN,0.9583541676737913,0.041645832326208665
-0.01,-102,false,NaN,0.9551649720605259,0.04483502793947414
-0.015,-102,false,NaN,0.951986389401221,0.048013610598778955
-0.02,0,true,0.09063493506347135,0.9488183843782594,0.05118161562174062
-0.03,0,true,0.010109616249188061,0.9425139665581497,0.057486033441850326
-0.04,0,true,0.0003082675085980092,0.9362514384028114,0.06374856159718856
-0.05,0,true,0.0023486456790295217,0.9300305215766289,0.06996947842337109
-0.06,0,true,0.011346188508896583,0.9238509395933859,0.07614906040661407
-0.07,0,true,0.026004332931623762,0.9177124178039772,0.08228758219602283
-0.08,0,true,0.0455321416450128,0.9116146833842014,0.08838531661579863
-0.1,0,true,0.10061410038776099,0.899540494408593,0.10045950559140704
-0.12,0,true,0.18761272694646589,0.887626226112276,0.11237377388772396
-0.15,0,true,0.4482672663369963,0.870050049227535,0.12994995077246496
