g_target,g_final,nStatus,ok,Delta_min,kappa_ratio,GT,wall,n_fc,n_ga
0.0,0.0,-502,false,0.0,0.9615540116765573,0.038445988323442704,8.550005808,12,1
-0.005,-0.005,-502,false,0.0,0.9583541676737913,0.041645832326208665,3.585826173,12,1
-0.01,-0.01,-502,false,0.0,0.9551649720605259,0.04483502793947414,2.298597071,12,1
-0.015,-0.015,-502,false,0.0,0.951986389401221,0.048013610598778955,3.371912272,12,1
-0.02,-0.02,-400,false,0.005310754188302174,0.9488183843782594,0.05118161562174062,42.374160395,527,201
-0.03,-0.03,-400,false,0.0016192097719532744,0.9425139665581497,0.057486033441850326,39.249254775,487,201
-0.04,-0.04,-400,false,0.004501623066343897,0.9362514384028114,0.06374856159718856,37.896821046,486,201
-0.05,-0.05,-400,false,0.0069808283607164495,0.9300305215766289,0.06996947842337109,42.517566599,576,201
-0.06,-0.06,-400,false,0.0037966742576620305,0.9238509395933859,0.07614906040661407,38.316289579,482,201
-0.07,-0.07,-101,true,0.009200635454165919,0.9177124178039772,0.08228758219602283,37.371937306,491,193
-0.08,-0.08,-400,false,0.018844481404256246,0.9116146833842014,0.08838531661579863,41.137662352,624,201
-0.1,-0.1,-101,true,0.051287684912100916,0.899540494408593,0.10045950559140704,38.225302236,651,181
-0.12,-0.12,-102,false,0.09886763972858659,0.887626226112276,0.11237377388772396,31.770378449,531,144
-0.15,-0.15,-102,false,0.17029857958701983,0.870050049227535,0.12994995077246496,34.213080671,711,135
