label,technology,participation,direction,seed,delta,g,kappa_ratio,GT,nStatus,n_fc,n_ga,n_above_cap,n_numerical_failure,dense_fallback,wall,incumbent_present
delta1e-3_seed29,logA,logf,upper,29,0.001,-0.04878227743284977,0.9307858408944476,0.0692141591055524,-410,115,26,34,0,0,8.887976884841919,true
delta1e-3_seed29,logA,logf,lower,29,0.001,-0.034202396976602906,0.9398771167504315,0.06012288324956849,-400,183,26,65,0,0,17.152456045150757,true
delta1e-3_seed29,logA,logcutoff,upper,29,0.001,-0.051416068443798965,0.9291529446292296,0.0708470553707704,-410,81,26,20,0,0,8.2187020778656,true
delta1e-3_seed29,logA,logcutoff,lower,29,0.001,-0.03813760486975537,0.9374146070929986,0.06258539290700138,-410,86,26,28,0,0,11.866636991500854,true
delta1e-3_seed29,sigma_minus_one_logA,logcutoff,upper,29,0.001,-0.051532379093718245,0.9290809005005227,0.07091909949947728,-410,94,26,41,0,0,11.164202213287354,true
delta1e-3_seed29,sigma_minus_one_logA,logcutoff,lower,29,0.001,-0.03906124558594596,0.9368375619059994,0.06316243809400057,-410,89,26,90,0,0,9.860757827758789,true
delta1e-3_seed29,theta_logA,logcutoff,upper,29,0.001,-0.04728054297314732,0.9317181696345557,0.06828183036544433,-410,82,26,23,0,0,6.18552303314209,true
delta1e-3_seed29,theta_logA,logcutoff,lower,29,0.001,-0.03565951497992903,0.9389645521484754,0.061035447851524594,-410,133,26,63,0,0,14.845844984054565,true
delta1e-2_seedalt,logA,logf,upper,49,0.01,-0.08265753512465293,0.8965367726203838,0.10346322737961622,-410,72,26,32,0,0,8.437474012374878,true
delta1e-2_seedalt,logA,logf,lower,49,0.01,-0.03178895693043104,0.9274618816153959,0.07253811838460411,-410,87,26,53,0,0,11.605730056762695,true
delta1e-2_seedalt,logA,logcutoff,upper,49,0.01,-0.07339187280613271,0.9020919169813301,0.09790808301866993,-410,58,26,33,0,0,6.041316986083984,true
delta1e-2_seedalt,logA,logcutoff,lower,49,0.01,-0.038335450030642315,0.9234229530930712,0.07657704690692879,-200,67,20,33,0,0,11.623716115951538,true
delta1e-2_seedalt,sigma_minus_one_logA,logcutoff,upper,49,0.01,-0.07339187280613234,0.9020919169813303,0.09790808301866971,-410,68,26,33,0,0,11.042353868484497,true
delta1e-2_seedalt,sigma_minus_one_logA,logcutoff,lower,49,0.01,-0.029961115458783605,0.9285927393454075,0.07140726065459246,-410,89,26,53,0,0,12.114835977554321,true
delta1e-2_seedalt,theta_logA,logcutoff,upper,49,0.01,-0.08819402829583131,0.8932337589282872,0.10676624107171284,-410,92,26,73,0,0,7.550194978713989,true
delta1e-2_seedalt,theta_logA,logcutoff,lower,49,0.01,-0.05233667172878343,0.9148436891169919,0.08515631088300812,-410,59,26,63,0,0,3.693207025527954,true
