target_delta,g,direction,sign,step_norm,Delta0,result_type,Delta_after_step
0.5,-0.48546126592859407,af_random_1,1.0,0.05,0.4832764950468894,NumericalFailure,NaN
0.5,-0.48546126592859407,af_random_1,-1.0,0.05,0.4832764950468894,NumericalFailure,NaN
0.5,-0.48546126592859407,svd_near_null,1.0,0.05,0.4832764950468894,NumericalFailure,NaN
0.5,-0.48546126592859407,svd_steepest,1.0,0.05,0.4832764950468894,FiniteSolved,0.6046840248839506
0.5,-0.48546126592859407,svd_steepest,-1.0,0.05,0.4832764950468894,FiniteSolved,0.6161307176531553
0.8,-0.493534922310887,af_random_1,1.0,0.05,0.7626745479773996,NumericalFailure,NaN
0.8,-0.493534922310887,af_random_1,-1.0,0.05,0.7626745479773996,NumericalFailure,NaN
0.8,-0.493534922310887,svd_near_null,1.0,0.05,0.7626745479773996,NumericalFailure,NaN
0.8,-0.493534922310887,svd_steepest,1.0,0.05,0.7626745479773996,FiniteSolved,0.8866083549472599
0.8,-0.493534922310887,svd_steepest,-1.0,0.05,0.7626745479773996,FiniteSolved,0.8944706577231128
