W,coord_label,m,policy,h,cplus,cminus,secant,leverage
80000,lowest_leverage,394,B_alpha_half,0.0003742844836841116,25,30,0.15072805262938477,0.00033928668425038655
80000,lowest_leverage,394,C_target25,0.0003742844836841116,25,30,0.15072805262938477,0.00033928668425038655
80000,highest_leverage,261,B_alpha_half,0.0002756577678854182,25,25,0.004807324211287809,3.5962178853920426
80000,highest_leverage,261,C_target25,0.0002756577678854182,25,25,0.004807324211287809,3.5962178853920426
80000,ordinary,67,B_alpha_half,0.0003454717961245209,25,26,-0.03493386741121572,0.0869378606177365
80000,ordinary,67,C_target25,0.0003454717961245209,25,26,-0.03493386741121572,0.0869378606177365
80000,focal_origin_export,2,B_alpha_half,0.0003996370414275126,25,25,-0.18046002772892,0.14963205713144656
80000,focal_origin_export,2,C_target25,0.0003996370414275126,25,25,-0.18046002772892,0.14963205713144656
80000,focal_dest_import,21,B_alpha_half,0.000353102317940873,25,25,0.016438246797451997,0.010618360917129643
80000,focal_dest_import,21,C_target25,0.000353102317940873,25,25,0.016438246797451997,0.010618360917129643
320000,lowest_leverage,394,B_alpha_half,0.00010313630275780623,30,25,0.0388576803652779,0.00033928668425038655
320000,lowest_leverage,394,C_target25,0.00010313630275780623,30,25,0.0388576803652779,0.00033928668425038655
320000,highest_leverage,261,B_alpha_half,6.809890324876984e-5,26,25,0.008122422443599247,3.5962178853920426
320000,highest_leverage,261,C_target25,6.809890324876984e-5,26,25,0.008122422443599247,3.5962178853920426
320000,ordinary,67,B_alpha_half,0.0001009075328849811,25,27,0.05956636432891579,0.0869378606177365
320000,ordinary,67,C_target25,0.0001009075328849811,25,27,0.05956636432891579,0.0869378606177365
320000,focal_origin_export,2,B_alpha_half,9.450606407950591e-5,25,25,-0.17761236669463853,0.14963205713144656
320000,focal_origin_export,2,C_target25,9.450606407950591e-5,25,25,-0.17761236669463853,0.14963205713144656
320000,focal_dest_import,21,B_alpha_half,8.980925180391648e-5,25,25,-0.06533003186010228,0.010618360917129643
320000,focal_dest_import,21,C_target25,8.980925180391648e-5,25,25,-0.06533003186010228,0.010618360917129643
1280000,lowest_leverage,394,B_alpha_half,2.386258724884142e-5,28,25,-0.020169272660820223,0.00033928668425038655
1280000,lowest_leverage,394,C_target25,2.386258724884142e-5,28,25,-0.020169272660820223,0.00033928668425038655
1280000,highest_leverage,261,B_alpha_half,1.7320508075688774e-5,26,25,0.010878294424077981,3.5962178853920426
1280000,highest_leverage,261,C_target25,1.7320508075688774e-5,26,25,0.010878294424077981,3.5962178853920426
1280000,ordinary,67,B_alpha_half,2.4036995722397514e-5,25,25,-0.05267284492941046,0.0869378606177365
1280000,ordinary,67,C_target25,2.4036995722397514e-5,25,25,-0.05267284492941046,0.0869378606177365
1280000,focal_origin_export,2,B_alpha_half,2.4747470408947606e-5,26,25,-0.17207237744488643,0.14963205713144656
1280000,focal_origin_export,2,C_target25,2.4747470408947606e-5,26,25,-0.17207237744488643,0.14963205713144656
1280000,focal_dest_import,21,B_alpha_half,2.1707159136486636e-5,25,25,-0.013326960981670934,0.010618360917129643
1280000,focal_dest_import,21,C_target25,2.1707159136486636e-5,25,25,-0.013326960981670934,0.010618360917129643
